"GAMEPLAY_Pve_Travel_Reverse"	"Reise"
"MissionWnd_group_FARMERS"	"Farmer"
"MissionWnd_group_LADDER"	"Ranglistenspiel"
"MissionWnd_group_LADDER_desc"	"Die Spieler bekämpfen sich in Ranglistenspielen. Gegenwärtige Saison: $season$. "
"MissionWnd_group_LOST"	"Verlorene"
"MissionWnd_group_PVE"	"Raids"
"MissionWnd_group_PVE_MISSIONS"	"Raids"
"MissionWnd_group_RAIDERS"	"Raiders"
"MissionWnd_group_SPECIAL"	"Missionen"
"MissionWnd_Ladder_Param_Kills"	"Gegner zerstört"
"MissionWnd_Ladder_Param_Matches"	"Runden gespielt"
"MissionWnd_Ladder_Param_Wins"	"Siege"
"MissionWnd_Ladder_Place"	"$place$. Platz"
"MissionWnd_Ladder_Rating"	"Wertung"
"MissionWnd_Ladder_Season"	"$val$ Saison"
"MissionWnd_Ladder_Season_TimeLeft"	"$time$ übrig"
"MissionWnd_LOOT"	"Mögliche Beute:"
"MissionWnd_loot_bonus_info"	"+$val$%"
"MissionWnd_loot_dily"	"Du kannst diese Belohnung ein Mal alle 24 Stunden erhalten."
"MissionWnd_loot_dily_done"	"Du hast diese Belohnung bereits erhalten. Die nächste Belohnung ist in $time$ verfügbar."
"MissionWnd_loot_limits_info"	"$val$ / $max_value$ Einheiten erhalten. Limit wird in $time$ zurückgesetzt."
"MissionWnd_loot_supply_info"	"Du erhältst {$win_val$;Coupon;Coupons} für jeden Sieg und hast bereits $val$ von $max_value$ erhalten. Der Zähler wird in $time$ zurückgesetzt."
"MissionWnd_MAKE_ACTIVE"	"aktiv schalten"
"MissionWnd_mission_schedule"	"Wird freigeschaltet in: $time$"
"MissionWnd_not_scheduled"	"Dieser Modus ist zu einem anderen Zeitpunkt verfügbar."
"MissionWnd_require"	"Voraussetzungen: "
"MissionWnd_require_faction_level"	"Reputation ($level$) bei den $faction$"
"MissionWnd_require_label"	"Erforderlich:"
"MissionWnd_REQUIRE_LEVEL"	"Spieler-Level $level$"
"MissionWnd_require_many_factions_level_2"	"Reputation ($level$) bei $faction_1$/$faction_2$."
"MissionWnd_require_many_factions_level_3"	"Reputation ($level$) bei $faction_1$/$faction_2$/$faction_3$."
"MissionWnd_require_many_factions_level_4"	"Reputation ($level$) bei $faction_1$/$faction_2$/$faction_3$/$faction_4$."
"MissionWnd_REQUIRE_MISSION"	", abgeschlossene Missionen:"
"MissionWnd_REQUIRE_PERK"	" Hat $perk$ konstruiert"
"MissionWnd_resource_count"	"$val$ Stk."
"MissionWnd_resource_need_exp"	"Du erhältst je $val$ im Gefecht erspielte Reputation eine Einheit dieser Ressource."
"MissionWnd_resource_need_leviathan_killed"	"Für die Zerstörung von {$count$;Leviathan;Leviathanen} erhältst du {$val$;Ressourceneinheit;Ressourceneinheiten}."
"MissionWnd_restriction_any_faction_level"	"Level $level$"
"MissionWnd_restriction_gamers"	"3-4 Spieler"
"MissionWnd_restriction_gamers_tooltip"	"Drei oder vier Spieler erforderlich. Die fehlenden Überlebenden werden über den Matchmaker bestimmt."
"MissionWnd_restriction_gold_tooltip"	"Coins"
"MissionWnd_restriction_stamina"	"$stamina$ $texture name gasoline$"
"MissionWnd_restriction_stamina_tooltip"	"Du brauchst $stamina$ Benzin, um diese Mission zu beginnen."
"MissionWnd_restriction_universal_rating"	"PS $rating$"
"MissionWnd_restriction_universal_rating_tooltip"	"Du brauchst ein Fahrzeug mit mindestens $rating$ PS."
"MissionWnd_reward_gold_tooltip"	"Coins"
"MissionWnd_reward_label"	"Belohnungen:"
"MissionWnd_stamina_cost"	"Kosten: $stamina$$texture name gasoline$|"
"MissionWnd_time_in_queue"	"Wartezeit: $time$"
"MissionWnd_TIP"	"Wähle eine Mission aus, um Belohnungen für Gefechte zu erhalten."
"MissionWnd_TITLE"	"Missionen"
"MissionWnd_ToLadderLeaderboard"	"Bestenlisten"
"MissionWnd_weekly_loot_label"	"WÖCHENTLICHE BELOHNUNG:"
"Mission_BigCannon_EX_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_BigCannon_EX_Name"	"Hol' dir das Geschütz!"
"Mission_Blue_PVP_Desc"	"Durch den Sieg im Gefecht erhältst du ein zufälliges gewöhnliches Bauteil oder Drähte.|Verfügbar  für Fahrzeuge mit  @ffffff003000@ffffffff Power Score.|"
"Mission_Blue_PVP_Name"	"Hol' dir Drähte!"
"Mission_Booster_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten.|Gleichzeitig erhältst du eine Einheit Benzin je @ffffff00$exp_to_Gasoline$@ffffffff Punkten gewonnener Reputation, sofern ein Benzinfass an dein Fahrzeug montiert ist."
"Mission_Booster_Name"	"Hol' dir das Triebwerk!"
"Mission_Bumper1_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_Bumper1_Name"	"Hol' dir die Stoßstange!"
"Mission_BumperSpikeMini_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_BumperSpikeMini_Name"	"Hol' dir die Dornen!"
"Mission_Cabin_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_Cabin_Name"	"Hol' dir die Fahrerkabine!"
"Mission_ClanWar_Desc"	"Die Clan-Kriege um Uranerz sind ausgebrochen! Nur die Stärksten werden in der LAge sein, die Kontrolle über diese Ressource zu erringen. Stelle ein Team aus vier Clan-Mitgliedern auf und besiege deine Gegner!"
"Mission_Coop_Desc"	"Ein menschliches Team gegen Bots. Durch die Teilnahme an dieser Mission erhältst du Bauteile gewöhnlicher Rarität.|Du erhältst ein Bauteil je @ffffff00$exp_to_loot$@ffffffff Reputation."
"Mission_Coop_Name"	"Menschen vs. Bots"
"Mission_Deathmatch_Desc"	"Der erste Überlebende, der 10 Abschüsse erreicht, gewinnt. Du kannst dich mit deinem Fahrzeug selbst zerstören, um massiven Schaden an allen Gegnern im Umkreis anzurichten."
"Mission_Deathmatch_Name"	"Jeder gegen Jeden"
"Mission_DestructionDerby_Desc"	"Vergiss irgendwelche Regeln!||Ein Sturm, der zunehmend das Gefechtsfeld überzieht, beginnt nach 30 Sekunden. Vom Sturm erfasste Spielerfahrzeuge werden zerstört."
"Mission_DestructionDerby_Name"	"Sturmwarnung"
"Mission_Engine_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_Engine_Name"	"Hol' dir den Motor!"
"Mission_Gasoline_PVP_Desc"	"Jeder Spieler erhält für den Sieg in dieser Mission Benzin."
"Mission_Gasoline_PVP_Name"	"Hol' dir Benzin!"
"Mission_Ladder_desc"	"Konstruiere ein mächtiges Fahrzeug und verdiene deine Ranglisten-Wertung im Kampf gegen andere Spieler."
"Mission_Ladder_Name"	"Ranglistenspiele"
"Mission_Lom_Desc"	"Hier bekommst du nur Schrott.|Du erhältst ein Metallschrottteil je  @ffffff0050@ffffffff Reputation.|"
"Mission_Lom_Name"	"Nur Schrott"
"mission_loot_drop_rate"	"Wahrscheinlichkeit — %rate%."
"mission_loot_global"	"Ein zufälliges Bauteil gewöhnlicher Seltenheit."
"Mission_Machinegun_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_Machinegun_Name"	"Hol' dir das Maschinengewehr!"
"Mission_ModuleRadio_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_ModuleRadio_Name"	"Hol' dir das Funkgerät!"
"Mission_ModuleTank_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_ModuleTank_Name"	"Hol' dir den Treibstofftank!"
"Mission_Practice_Desc"	"Achtung! Für die Teilnahme an dieser Mission erhältst du @ffffff00Übungs-Bauteile@ffffffff die nicht verkauft werden können."
"Mission_Practice_Name"	"Übungsmission"
"Mission_Purple_PVP_Desc"	"Durch den Sieg im Gefecht erhältst du ein zufälliges gewöhnliches Bauteil oder Elektronikteile."
"Mission_Purple_PVP_Name"	"Hol' dir Elektronikteile!"
"Mission_PVE_Defense_Leviathan_Desc"	"Raider greifen unsere Ölbohrtürme an und haben dieses Mal gewaltige Monstermaschinen im Schlepptau. Zerstöre sie!"
"Mission_PVE_Defense_Leviathan_Name"	"Invasion"
"Mission_Race_Desc"	"Acht Überlebende nehmen an einem Rennen mit schwierigen Kurven und Hindernissen teil. Ziel ist es, als erster und damit einziger Gewinner alle Checkpoints zu erreichen. Alle montierten Waffen sind deaktiviert."
"Mission_Race_Name"	"Rennen"
"Mission_RadarSmall_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_RadarSmall_Name"	"Hol' dir das Radar!"
"Mission_Radiator_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_Radiator_Name"	"Hol' dir den Passivkühler!"
"Mission_Random_Desc"	"Durch den Abschluss dieser Mission erhältst du Bauteile gewöhnlicher Rarität."
"Mission_Random_Name"	"Zufällig"
"Mission_Scrap_Epic_Desc"	"Durch den Sieg im Gefecht erhältst du Elektronikteile."
"Mission_Scrap_Epic_Name"	"Hol' dir die Elektronikteile!"
"Mission_Scrap_PVP_Desc"	"Durch den Sieg im Gefecht erhältst du ein zufälliges gewöhnliches Bauteil oder Schrott."
"Mission_Scrap_PVP_Name"	"Hol' dir Schrott!"
"Mission_Scrap_Rare_Desc"	"Durch den Sieg im Gefecht erhältst du Drähte."
"Mission_Scrap_Rare_Name"	"Hol' dir die Drähte!"
"Mission_Shotgun_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_Shotgun_Name"	"Hol' dir die Schrotflinte!"
"Mission_Tournament_Desc"	"Gamescom-Turnier"
"Mission_Tournament_Name"	"Gamescom"
"Mission_Weapon_Desc"	"Garantiert, dass sich in der Beute eine Waffe befindet."
"Mission_Weapon_Name"	"Schwere Mission"
"Mission_Wheels_Desc"	"Durch den Sieg im Gefecht erhältst du die Chance, einen der aufgelisteten Gegenstände zu erhalten."
"Mission_Wheels_Name"	"Hol' dir die Reifen!"
"Accept"	"Akzeptieren"
"eula1_text_1"	"HINWEISE FÜR DIE BENUTZER: DIES IST EIN VERTRAG. DIESE LIZENZVEREINBARUNG MIT DEM ENDBENUTZER STELLT EINEN RECHTLICH VERBINDLICHEN VERTRAG DAR, DEN MAN IM VOLLEN UMFANG DURCHLESEN MUSS. AM ENDE DES TEXTES DER VEREINBARUNG WERDEN SIE UM ZUSTIMMUNG ZU DIESER VEREINBARUNG GEBETEN UND ANSCHLIESSEND KÖNNEN SIE MIT DER INSTALLATION FORTSETZEN, ODER WENN SIE DEN BEDINGUNGEN DIESER VEREINBARUNG NICHT ZUSTIMMEN, KÖNNEN SIE DIESE ABLEHNEN, IN DIESEM FALL WERDEN SIE JEDOCH DAS DEFINIERTE PRODUKT NICHT INSTALLIEREN, BENUTZEN UND AUCH NICHT BETREIBEN KÖNNEN. DURCH DIE INSTALLATION DIESER SOFTWARE AKZEPTIEREN SIE ALLE BEDINGUNGEN DIESER VEREINBARUNG. DIESER PROZESS DER INSTALLATION (MIT HILFE EINER DVD ROM ODER DURCH HERUNTERLADEN VOM WEB ODER AUCH ANDERS) WIRD IHNEN ERMÖGLICHEN, DIE AKTUELLE VERSION DER SOFTWARE ZU INSTALLIEREN."
"eula1_text_10"	"3. Einschränkungen||3.1. Verbot der Übertragung. Unter keinen Umständen dürfen Sie ohne vorhergehende schriftliche Zustimmung von Gaijin das Produkt und auch keine seiner Kopien, vollständig oder zum Teil, verkaufen, verleihen, mieten, vermieten, zu ihm eine Lizenz oder Unterlizenz anbieten, sie veröffentlichen, abbilden, verbreiten oder sie anders auf eine dritte Partei übertragen, insofern Ihnen jedoch das entsprechende Gesetz in Ihrer Rechtssprechung ein solches nicht ausschließbares Recht erteilt, können Sie Ihre Rechte, die aus dieser Vereinbarung hervorgehen, dauerhaft auf eine andere Person oder ein Subjekt unter der Voraussetzung übertragen, dass a) Sie auch auf eine solche Person oder ein Subjekt diese Vereinbarung, das Produkt und die gesamte beigelegte Dokumentation und auch die gesamte Software oder Hardware im Paket mit dem Produkt oder vorinstalliert mit dem Produkt, einschließlich aller Kopien und vorhergehender Versionen übertragen; b) sich keine Kopien belassen, einschließlich von Abspeicherungen und Kopien, die auf dem Clientgerät abgespeichert sind; und c) der Empfänger die Bedingungen dieser Vereinbarung und jegliche andere Bedingungen akzeptiert, für die sie legitim die Lizenz zum Produkt kauften. Ungeachtet der vorhergehenden Bestimmung dürfen Sie keine Lehrkopien des Produkts, seine vorläufigen Kopien oder Kopien, die nicht für den Weiterverkauf bestimmt sind, übertragen. In keinem Fall dürfen Sie Dritten ermöglichen, damit sie einen Vorteil aus der Benutzung oder der Funktionalität des Produkts mittels Timesharing, externer IT Dienstleistungen oder eines anderen Systems erlangen, insofern eine solche Benutzung hinsichtlich des Produkts nicht in der Preisliste der Applikation, der Einkaufsbestellung oder im Paket des Produkts spezifiziert ist."
"eula1_text_11"	"3.2. Verbote. Soweit es in dieser Vereinbarung nicht ausdrücklich anders bestimmt ist, dürfen Sie keinen Teil dieses Produkts benutzen, kopieren, emulieren, klonen, mieten, vermieten, verkaufen, modifizieren, dekompilieren, auseinandernehmen, rückentwickeln oder es auf menschlich lesbare Form reduzieren, weder das lizenzierte Produkt oder jegliche Komponente des lizenzierten Produkts übertragen, noch dies einer dritten Partei ermöglichen, wenn die vorhergehende Einschränkung ausdrücklich nicht durch das entsprechende Gesetz verboten ist. Ungeachtet der Bestimmung des vorhergehenden Satzes ist die Dekompilierung der Software erlaubt, wenn Ihnen die Gesetze Ihrer Gesetzgebung das nicht ausschließbare Recht zur Dekompilierung erteilt, mit dem Ziel der Erlangung von Informationen, die deshalb notwendig sind, damit die Software mit einer anderen Software funktionieren kann; jedoch unter der Voraussetzung, dass Sie zuerst Gaijin um solche Informationen ersuchen müssen, und Gaijin kann Ihnen nach ihrer Erwägung entweder diese Informationen gewähren (auf der Grundlage der Bedingungen, die sich auf die Vertraulichkeit von Informationen beziehen) oder es kann geeignete Bedingungen festlegen, einschließlich einer angemessenen Gebühr für eine solche Benutzung der Software, damit der Schutz der Eigentumsrechte von Gaijin und seiner Lieferanten und/oder Lizenzgeber zur Software sichergestellt ist. Sie dürfen auch keine abgeleiteten Teile auf der Grundlage des Produkts, weder vollständig noch zum Teil, modifizieren und schaffen. Jegliche unerlaubte Benutzung wird die sofortige und automatische Kündigung dieser Vereinbarung und der Lizenz, die gemäß dieser Vereinbarung erteilt wurde, zur Folge haben, und es kann zu einer strafrechtlichen und/oder zivilrechtlichen Verfolgung kommen. Zur Neubildung des Algorithmus des Programms, der die Eigentumsinformation darstellt, kann man weder den Binarcode noch den Quelltext des Produkts benutzen, auch an diesen kann man die Rückentwicklung ohne schriftliche Erlaubnis von Gaijin nicht applizieren. Gaijin und/oder seine Lieferanten und Lizenzgeber behalten sich gemäß der Situation alle Rechte vor, die hier nicht ausdrücklich erteilt wurden."
"eula1_text_12"	"3.3. Informationen über das Eigentum und Kopien. Sie dürfen keine Informationen über das Eigentum und auch keine Kennzeichnung auf dem Produkt entfernen. Sie dürfen das Produkt nicht kopieren, außer in den Fällen, die in Absatz 2 oben ausdrücklich aufgeführt sind.||3.4. Verbot der Übertragung von Rechten. Soweit hier nichts anderes ausdrücklich bestimmt ist, dürfen Sie keines der Rechte, die Ihnen gemäß dieser Vereinbarung erteilt wurden, übertragen oder abtreten, und auch keine der Pflichten, die für Sie aus dieser Vereinbarung hervorgehen.||3.5. Einklang mit dem Gesetz. Sie verpflichten sich, dass Sie bei der Handhabung mit dem Produkt und mit jeglichen Nachrichten und Informationen, die infolge der Handhabung mit dem Produkt erlangt werden, alle entsprechende internationale, nationale, staatliche, regionale und örtliche Gesetze und Verordnungen, einschließlich und ohne Einschränkung von Gesetzen für den Datenschutz, der Urhebergesetze der Gesetze für die die Exportkontrolle und der Gesetze gegen Pornographie einhalten werden.||3.6. Schadensersatz. Sie verpflichten sich, Gaijin und ihren zuständigen Leitern, Direktoren, Mitarbeiter, Vertreter, Nachfolger und Erwerber unter Berücksichtigung auf jegliche Verluste, Haftung, Schäden und Ansprüche und alle zusammenhängenden Ausgaben (einschließlich angemessener Rechtsgebühren und Ausgaben und Kosten für Ermittlung, gerichtliche Streits, Vergleiche, Verfahren, und auch von Zinsen und Strafen) und Kosten, die mit Ansprüchen einer jeglichen dritten Partei zusammenhängen oder aus ihnen entstehen, oder in Verbindung mit diesen auf der Grundlage einer tatsächlichen oder angeblichen:||(i) Verletzung durch den Lizenzbenutzer (insofern eine solche Verletzung nicht ausschließlich dem Produkt zuzuschreiben ist) von jeglichem Recht des geistigen Eigentums einer dritten Partei und/oder des geistigen Eigentums einer dritten Partei, einschließlich und ohne Einschränkung von Patenten, Warenzeichen, Urheberrecht, Geschäftsgeheimnissen, Publikationsrecht oder Datenschutzrecht,|(ii) Verletzung von Personen (einschließlich Tod) oder eines Sachschadens aufgrund einer ernsthaften Vernachlässigung oder absichtlichen unrichtigen Handlung des Lizenzbenutzers, und/oder|(iii) Verletzung durch den Lizenzbenutzer von jeglicher seiner Erklärungen, Garantien, Pflichten und/oder Abmachungen, die in dieser Vereinbarung enthalten sind, entstehen, zu entschädigen, zu schützen und der Haftung zu entledigen."
"eula1_text_13"	"3.7. Weitere Schutzmaßnahmen. Ausschließlich für die Zwecke der Verhinderung der unberechtigten Benutzung des Produkts kann die Software auf Ihren Computer technologische Maßnahmen installieren, deren Ziel es ist, eine unberechtigte Benutzung zu verhindern, und Gaijin kann diese Technologie benutzen, damit sie sichergeht, dass Sie eine lizenzierte Kopie des Produkts benutzen. Gaijin wird während dieses Prozesses aus Ihrem Computer keine persönlich identifizierbaren Informationen sammeln.||3.8. Aussetzung der Vereinbarung. OHNE EINSCHRÄNKUNG ALLER WEITEREN RECHTSMITTEL HAT GAIJIN DAS RECHT, DIE KONTEN ODER DEN ZUGANG ZUM PRODUKT ODER SEINES TEILS EINZUSCHRÄNKEN, AUSZUSETZEN, ZU BEENDEN, ZU MODIFIZIEREN ODER ZU LÖSCHEN, WENN GAIJIN BEGRÜNDET ANNEHMEN WIRD, AUF DER GRUNDLAGE ANGEMESSENER GRÜNDE, DASS SIE IRGENDWELCHE BEDINGUNGEN DIESER VEREINBARUNG NICHT ERFÜLLEN, ODER DASS SIE TATSÄCHLICH ODER VERMEINTLICH DAS PRODUKT AUF GESETZESWIDRIGE ODER UNRICHTIGE ART BENUTZEN, UND DAS KANN SIE AUCH OHNE VORHERGEHENDEN HINWEIS MACHEN. SIE KÖNNEN UM IHREN BENUTZERNAMEN UND DIE PERSON AUFGRUND DER BEENDIGUNG ODER EINSCHRÄNKUNG DES KONTOS KOMMEN, ODER AUCH UM ALLE VORTEILE, PRIVILEGIEN, ERLANGTE POSTEN UND GEKAUFTE POSTEN, DIE MIT IHRER BENUTZUNG DES PRODUKTS UND/ODER DES SPIELS ZUSAMMENHÄNGEN, UND GAIJIN IST NICHT VERPFLICHTET, IHNEN DIESE VERLUSTE ODER FOLGEN AUF IRGENDEINE WEISE ZU ERSTATTEN.||3.9. Ihre Garantien. HIERMIT GARANTIEREN SIE, DASS:||(i) ALLE INFORMATIONEN, DIE SIE GAIJIN IN ZUSAMMENHANG MIT DIESER VEREINBARUNG GEWÄHRTEN, WAHRHAFTIG UND GENAU SIND,|(ii) SIE VOLL BERECHTIGT ODER BEAUFTRAGT SIND, DIESE VEREINBARUNG ABZUSCHLIESSEN;|(iii) SIE ALLE IHRE PFLICHTEN ERFÜLLEN WERDEN, DIE AUS DIESER VEREINBARUNG IN EINKLANG MIT DEN GÜLTIGEN GESETZEN HERVORGEHEN."
"eula1_text_14"	"4. KEINE GARANTIEN UND HAFTUNGSAUSSCHLUSS||4.1. Rechte des Kunden. Die gesamte Haftung von Gaijin und ihrer Lieferanten und Ihr ausschließliches Rechtsmittel für jegliche Verletzung der vorhergehenden Garantie wird nach eigener Erwägung von Gaijin sein:||(i) Rückzahlung des Kaufpreises, der für die gemäß diesem Vertrag erteilte Lizenz bezahlt wurde, oder|(ii) die Reparatur von Mängeln, Programmfehlern oder Fehlern während einer angemessenen Frist. Diese eingeschränkte Garantie gilt nicht, wenn der Fehler infolge eines Unfalls, durch Missbrauch oder falsche Benutzung entstand."
"eula1_text_15"	"4.2. KEINE KONKLUDENTEN NOCH ANDERE GARANTIEN. AUSSER DER OBEN AUFGEFÜHRTEN EINGESCHRÄNKTEN GARANTIEN, BEDINGUNGEN, ERKLÄRUNGEN ODER BESTIMMUNGEN, DIE NICHT DURCH DAS GESETZ, DASS IN IHRER RECHTSSPRECHUNG GÜLTIG IST, AUSGESCHLOSSEN WERDEN KANN ODER AUSGESCHLOSSEN WERDEN DARF, WIRD DAS PRODUKT SO GEWÄHRT, „WIE ES IST“, OHNE JEGLICHE GARANTIE, UND GAIJIN GIBT KEINE VERSPRECHEN, ERKLÄRUNGEN UND AUCH KEINE GARANTIEN, GEÄUSSERTE ODER KONKLUDENTE, EGAL, OB AUS DEM GESETZ, DEM GEWOHNHEITSRECHT, GEBRÄUCHEN, USUS ODER ANDERS, HINSICHTLICH DES PRODUKTS ODER SEINES INHALTS ODER IN ZUSAMMENHANG MIT DIESEM ODER JEGLICHES ANDERES MATERIAL, DAS IHNEN GEMÄSS DIESER VEREINBARUNG ODER ANDERS GELIEFERT ODER GEWÄHRT WIRD. SIE ÜBERNEHMEN ALLE RISIKEN UND VERANTWORTUNGEN FÜR DIE AUSWAHL DES PRODUKTS FÜR DIE ERZIELUNG IHRER ERWARTUNG UND FÜR DIE INSTALLATION DES PRODUKTS, SEINER BENUTZUNG UND FÜR DIE ERGEBNISSE, DIE MITTELS DES PRODUKTS ERLANGT WERDEN. GAIJIN GIBT KEINE GARANTIEN, DASS DAS PRODUKT OHNE MÄNGEL SEIN WIRD ODER DASS ES NICHT ZU EINEM AUSFALL ODER VERSAGEN KOMMT, AUCH NICHT, DASS ES MIT JEGLICHER KONKRETER HARDWARE ODER SOFTWARE KOMPATIBEL SEIN WIRD. IM MAXIMALEN UMFANG, DER DURCH DAS ENTSPRECHENDE GESETZ ERLAUBT IST, VERZICHTET GAIJIN AUF ALLE GARANTIEN, GEÄUSSERTER ODER KONKLUDENTER, EINSCHLIESSLICH JEDOCH KEINESFALLS AUSSCHLIESSLICH AUF GARANTIEN DER VERKÄUFLICHKEIT, DER NICHTVERLETZUNG VON RECHTEN DRITTER PARTEIEN, DER KOMPATIBILITÄT (INTEGRATION), ZUFRIEDENSTELLENDER QUALITÄT ODER EIGNUNG FÜR JEGLICHEN KONKRETEN ZWECK HINSICHTLICH DES PRODUKTS UND DER BEILIEGENDEN DOKUMENTATION ODER IHRER BENUTZUNG. EINIGE RECHTSSPRECHUNGEN ERMÖGLICHEN NICHT DIE EINSCHRÄNKUNG KONKLUDENTER GARANTIEN, ES IST ALSO MÖGLICH, DASS SIE SICH AUF DIE OBEN AUFGEFÜHRTE EINSCHRÄNKUNG NICHT BEZIEHEN WIRD. HIERMIT NEHMEN SIE ZUR KENNTNIS, DASS ES MÖGLICH IST, DASS DAS PRODUKT AUFGRUND EINER GEWISSEN ANZAHL VON FAKTOREN, EINSCHLIESSLICH UND OHNE EINSCHRÄNKUNG DER REGELMÄSSIGEN WARTUNG DES SYSTEMS, GEPLANT UND AUCH UNGEPLANT, VON HÖHERER GEWALT, EINES TECHNISCHEN VERSAGEN DER SOFTWARE, DER TELEKOMMUNIKATIONSINFRASTRUKTUR, VERSPÄTUNG ODER VERSAGENS, DIE DURCH EINEN VIRENANGRIFF; DURCH ANGRIFFE, DIE AUF DAS VERSAGEN DER DIENSTLEISTUNG AUSGERICHTET SIND, DURCH WACHSENDE ODER SICH ÄNDERNDER NACHFRAGE UND JEGLICHER HANDLUNG ODER UNTERLASSEN DRITTER VERURSACHT WURDEN, NICHT ZUR VERFÜGUNG STEHEN WIRD. AUS DIESEM GRUND BEFREIT SICH GAIJIN AUSDRÜCKLICH AUF ALLE GEÄUSSERTEN ODER KONKLUDENTEN GARANTIEN HINSICHTLICH DER ZUGÄNGLICHKEIT ODER DER LEISTUNG DES SYSTEMS UND/ODER DER SOFTWARE. GAIJIN BEFREIT SICH JEGLICHER VERANTWORTUNG FÜR EINEN VERLUST VON DATEN WÄHREND DES PROZESSES DER KOMMUNIKATION UND DER VERANTWORTUNG, DIE AUS EINEM VERSAGEN VON SEITEN DER GAIJIN ENTSTEHEN, IHNEN GENAUE UND VOLLSTÄNDIGEN INFORMATIONEN ODER DIE MIT DIESEM VERSAGEN ZUSAMMENHÄNGEN, ZU ÜBERMITTELN."
