"2STEP_AUTHORIZATION_ENABLED"	"귀하의 계정을 보호하고 있습니다."
"CarPart_WheelDouble_RS_epic_name"	"이중 바퀴 ST"
"CarPart_WheelDouble_R_epic_desc"	"스캐빈저의 함대에서 나온 부품입니다. 강력한 트럭이 원정 정찰을 지휘합니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelDouble_R_epic_name"	"이중 바퀴"
"CarPart_WheelDroneDeployer_Desc"	"반경 내의 모든 대상을 공격하는 이동식 지상 전투 드론을 내보냅니다."
"CarPart_WheelDroneDeployer_Name"	"사이드킥"
"CarPart_WheelMed_RS_rare_desc"	"황무지의 끝없는 계곡과 높다란 모래 언덕의 당당한 정복자입니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelMed_RS_rare_name"	"중형 바퀴 ST"
"CarPart_WheelMed_R_rare_desc"	"황무지의 끝없는 계곡과 높다란 모래 언덕의 당당한 정복자입니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelMed_R_rare_name"	"중형 바퀴"
"CarPart_WheelMilitary_Desc"	"군용 APC에서 확보한 튼튼하고 안정적인 바퀴입니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelMilitary_Name"	"APC 바퀴"
"CarPart_WheelMilitary_S_Desc"	"군용 APC에서 확보한 튼튼하고 안정적인 바퀴입니다. 조향 강화. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelMilitary_S_Name"	"APC 바퀴 ST"
"CarPart_WheelSmallChains_Desc"	"미치광이들은 접지력에는 관심이 없습니다. 이 바퀴는 불꽃과 소음, 적의 시체만을 남깁니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelSmallChains_Name"	"사슬 달린 바퀴"
"CarPart_WheelSmallChains_S_Desc"	"미치광이들은 접지력에는 관심이 없습니다. 이 바퀴는 불꽃과 소음, 적의 시체만을 남깁니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelSmallChains_S_Name"	"사슬 달린 바퀴 ST"
"CarPart_WheelSmallSpiked_Desc"	"징 박힌 타이어가 달린 바퀴입니다. 멀리 북부에서 얼음을 깨지 않고, 미치광이들이 좋아하는 간식 거리의 얼음을 깹니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelSmallSpiked_Name"	"징 박힌 바퀴"
"CarPart_WheelSmallSpiked_S_Desc"	"징 박힌 타이어가 달린 바퀴입니다. 멀리 북부에서 얼음을 깨지 않고, 미치광이들이 좋아하는 간식 거리의 얼음을 깹니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelSmallSpiked_S_Name"	"징 박힌 바퀴 ST"
"CarPart_WheelSmall_RS_desc"	"복잡한 대도시에서 사용되던, 날렵한 소형 차량의 바퀴입니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelSmall_RS_name"	"소형 바퀴 ST"
"CarPart_WheelSmall_R_desc"	"복잡한 대도시에서 사용되던, 날렵한 소형 차량의 바퀴입니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelSmall_R_name"	"소형 바퀴"
"CarPart_WheelSmall_Starter_desc"	"트레드 마모, 내구성 감소. 이 바퀴를 교체해야 합니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelSmall_Starter_name"	"스타터 바퀴"
"CarPart_WheelSmall_S_Starter_desc"	"트레드 마모, 내구성 감소. 이 바퀴를 교체해야 합니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_WheelSmall_S_Starter_name"	"스타터 바퀴 ST"
"CarPart_Wheel_AviaSmall_desc"	"차량의 중량을 극한까지 감소시키려는 노력의 일환으로, 유목민은 헬리콥터나 작은 비행기에 사용되었던 이 바퀴를 사용합니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_Wheel_AviaSmall_name"	"랜딩 기어"
"CarPart_Wheel_AviaSmall_S_desc"	"차량의 중량을 극한까지 감소시키려는 노력의 일환으로, 유목민은 헬리콥터나 작은 비행기에 사용되었던 이 바퀴를 사용합니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_Wheel_AviaSmall_S_name"	"랜딩 기어 ST"
"CarPart_Wheel_Baloon_desc"	"특허 등록된 기술자들의 기술로 타이어가 없는 바퀴를 만들 수 있었습니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_Wheel_Baloon_name"	"저압 타이어"
"CarPart_Wheel_Baloon_S_desc"	"특허 등록된 기술자들의 기술로 타이어가 없는 바퀴를 만들 수 있었습니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_Wheel_Baloon_S_name"	"저압 타이어 ST"
"CarPart_Wheel_Drag_desc"	"평균 이상의 내구성과 톤수를 갖춘 경량 바퀴입니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_Wheel_Drag_name"	"경주용 바퀴"
"CarPart_Wheel_Drag_S_desc"	"평균 이상의 내구성과 톤수를 갖춘 경량 조향 바퀴입니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_Wheel_Drag_S_name"	"경주용 바퀴 ST"
"CarPart_Wheel_Medieval_Desc"	"우아하면서도 튼튼한 중세의 바퀴입니다."
"CarPart_Wheel_Medieval_Name"	"화기 장착 바퀴"
"CarPart_Wheel_Medieval_S_Desc"	"우아하면서도 튼튼한 중세의 바퀴입니다."
"CarPart_Wheel_Medieval_S_Name"	"화기 장착 바퀴 ST"
"CarPart_Wheel_Proto_IronSmall_desc"	"건드리는 모든 것에 피해를 줍니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_Wheel_Proto_IronSmall_name"	"파괴자"
"CarPart_Wheel_Proto_IronSmall_S_desc"	"건드리는 모든 것에 피해를 줍니다. 바퀴를 장착할 때마다 캐빈 동력이 감소합니다."
"CarPart_Wheel_Proto_IronSmall_S_name"	"파괴자 ST"
"CarPart_Wing_Desc"	"차량의 기능에는 영향을 주지 않지만, 아주 멋집니다!"
"CarPart_Wing_Name"	"스포일러"
"CarPart_WitchDuck_Desc"	"이 축제 장식을 만들던 도중에 뭔가 잘못됐는데, 고칠 시간은 없었던 모양입니다."
"CarPart_WitchDuck_Name"	"공포 쇼"
"Chassis_Basic_desc"	"외장을 완전히 벗겨낸 캐빈으로 미치광이들과 그 신봉자들에게 식지 않는 인기를 끌고 있습니다.||속도가 최고 수준이지만 톤수가 매우 낮습니다."
"Chassis_Basic_name"	"으르렁"
"Chassis_ChevyPickup_Desc"	"외형이 어딘가 조금 어색하고 후드에는 때운 흔적이 아주 많지만, 이 캐빈은 긍정적인 의미로 깜짝 놀랄 만한 부품입니다."
"Chassis_ChevyPickup_Name"	"자키"
"Chassis_FordPickup_Alpha_Desc"	"픽업 캐빈의 특수한 형태입니다. 특수 코팅으로 운전자의 다리가 손상될 확률이 10% 감소합니다."
"Chassis_FordPickup_Alpha_Name"	"써그"
"Chassis_FordPickup_Desc"	"가볍고 민첩한 캐빈입니다. 열띤 기관총 전투에 아주 잘 어울립니다."
"Chassis_FordPickup_name"	"헌츠맨"
"Chassis_Gazelle_China_Desc"	"미지의 예술가가 개조한 소형 트럭 캐빈입니다. 황무지를 여행하기에 충분한 성능을 보여줍니다.||톤수가 높지만 속도가 느립니다."
"Chassis_Gazelle_China_Name"	"도커 CX"
"Chassis_Gazelle_desc"	"안정성을 중시하는 생존자에게 적합한 소형 트럭 캐빈입니다.||톤수가 훌륭하지만 속도가 느립니다."
"Chassis_Gazelle_name"	"도커"
"Chassis_Kamaz_desc"	"스캐빈저의 기술 기반으로 활용됩니다. 진지한 생존자를 위한 진지한 캐빈입니다.||톤수가 훌륭하고 외형도 무시무시하지만, 속도가 느립니다."
"Chassis_Kamaz_name"	"트러커"
"Chassis_Maz_Desc"	"황무지에서 가장 커다란 캐빈입니다. 그 정도 크기엔 분명히 의미가 있습니다.||넓은 형태에 톤수가 경이롭지만, 속도가 느립니다."
"Chassis_Maz_Name"	"험프백"
"Chassis_Military_Desc"	"높이가 낮고 강인한 외형을 보면 군용이었다는 사실이 잘 드러납니다.||높이가 낮고 균형 잡힌 캐빈이지만, 속도에는 아쉬움이 남습니다."
"Chassis_Military_Name"	"조브레이커"
"Chassis_Mustang_Desc"	"시험용 캐빈"
"Chassis_Mustang_Name"	"무스탕"
"Chassis_Panzer_desc"	"세상이 잿더미가 되었더라도 탱크는 탱크입니다.||특징이 두드러지고 크기도 편안할 정도이지만, 속도가 매우 느립니다."
"Chassis_Panzer_name"	"갑각"
"Chassis_Rage_Desc"	"군용 오프로드 차량의 캐빈입니다. 이름과 외형이 완벽하게 어울립니다.||높이가 낮은 다용도 캐빈입니다."
"Chassis_Rage_Name"	"분노"
"Chassis_Small_Desc"	"녹이 슨 바닥과 있으나 마나 한 현가장치. 가능하면 다른 걸 선택하십시오.||모든 파라미터가 평균 이하입니다."
"Chassis_Small_name"	"게릴라"
"Chassis_Spider_Desc"	"황무지에서 몇 주를 보내고도 무사히 살아 돌아온 전쟁 영웅의 설계도를 사용하여 제작되었습니다."
"Chassis_Spider_Name"	"평원 거미"
"Chassis_SportCustom_Desc"	"시험용 캐빈"
"Chassis_SportCustom_Name"	"사용자 지정 캐빈"
"Chassis_VWT1_Desc"	"상당히 튼튼하고 안정적입니다. 게다가 세련된 멋이 있습니다!||균형 잡힌 캐빈으로 톤수가 향상되어 있습니다."
"Chassis_VWT1_name"	"WWT1"
"Chassis_Wyvern_Desc"	"한때 비행기에 장착되었던 캐빈입니다. 다시 하늘을 날 수는 없겠지만, 빠른 전투에 적합합니다.|대부분의 전투 상황에 어울립니다. 게다가 좁은 형태 덕분에 다양한 전술적 선택이 가능합니다."
"Chassis_Wyvern_Name"	"와이번"
"Decal_default_Desc"	"스티커는 어떤 표면에든 부착할 수 있으며, 회전하거나 크기를 변경할 수도 있습니다.|스티커는 차량에 두 개 이상 부착할 수 없습니다."
"Decal_fire1_Name"	"불1"
"Decal_fire2_Name"	"불2"
"Decal_noheart_name"	"검은 심장"
"Decal_nyear2018_bomb_Name"	"새해 복 많이 받으세요!"
"Decal_nyear2018_bullfinch_Name"	"피리새"
"Decal_nyear2018_cookie_Name"	"쿠키"
"Decal_nyear2018_croissant_Name"	"크루아상"
"Decal_nyear2018_deer2_Name"	"수사슴"
"Decal_nyear2018_deer_back_Name"	"엉덩이"
"Decal_nyear2018_deer_mg_Name"	"축제 복수자"
"Decal_nyear2018_deer_Name"	"저리 비켜!"
"Decal_nyear2018_defeat_list_Name"	"사슴 세기"
"Decal_nyear2018_feltboots_Name"	"선물이 담긴 양말"
"Decal_nyear2018_grenade_bow_Name"	"크리스마스 폭탄"
"Decal_nyear2018_lollipop_exhaust_Name"	"굴뚝"
"Decal_nyear2018_magicancat_Name"	"쾅, 당신의 승리!"
"Decal_nyear2018_moonsanta_Name"	"달 산타"
"Decal_nyear2018_snowflake_asid_Name"	"바이러스눈송이"
"Decal_nyear2018_snowflake_fall_Name"	"행복한 눈송이"
"Decal_nyear2018_snowman_eng_Name"	"눈사람 XO"
"Decal_nyear2018_snowman_lunatic_Name"	"눈사람 피트"
"Decal_nyear2018_snowman_nomad_Name"	"눈사람"
"Decal_nyear2018_tachanka_Name"	"손수레"
"Decal_redstar_Name"	"별 "
"Decal_thailand_q_name"	"Q"
"Decal_tribal01_Desc"	"스티커는 어떤 표면에든 부착할 수 있으며, 회전하거나 크기를 변경할 수도 있습니다.|스티커는 차량에 두 개 이상 부착할 수 없습니다."
"Decal_tribal01_Name"	"염소자리"
"Decal_wwi_dog01_Name"	"전쟁의 개들"
"Dye_23feb2016_Desc"	"특별한 축제 색상입니다."
"Dye_23feb2016_Name"	"조국의 수호자"
"Dye_AcidGreen_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_AcidGreen_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_AcidGreen_glossy_Name"	"동위 원소 239 금속"
"Dye_AcidGreen_Name"	"동위 원소 239"
"Dye_Aircraft_Desc"	"페인트 및 재질|대부분의 부품을 처리할 수 있습니다."
"Dye_Aircraft_Name"	"재질: 알루미늄"
"Dye_Black01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Black01_Name"	"검은색 1"
"dye_BlackScratch_Desc"	"페인트와 도안입니다.|대부분의 부품에 색을 칠할 수 있습니다."
"dye_BlackScratch_Name"	"패턴: 불타버린 지구"
"Dye_Black_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Black_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Black_glossy_Name"	"한밤 금속"
"Dye_Black_Name"	"한밤"
"Dye_Blue01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Blue01_Name"	"파란색"
"Dye_Blue02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Blue02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Blue02_glossy_Name"	"오아시스 금속"
"Dye_Blue02_Name"	"오아시스"
"Dye_Blue03_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Blue03_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Blue03_glossy_Name"	"황혼 금속"
"Dye_Blue03_Name"	"황혼"
"Dye_Brown01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Brown01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Brown01_glossy_Name"	"황무지 금속"
"Dye_Brown01_Name"	"황무지"
"Dye_Brown02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Brown02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Brown02_glossy_Name"	"브롬 금속"
"Dye_Brown02_Name"	"브롬"
"Dye_Carbon_Desc"	"페인트 및 재질|대부분의 부품을 처리할 수 있습니다."
"Dye_Carbon_Name"	"재질: 카본"
"Dye_checker_Desc"	"페인트와 도안입니다.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_checker_Name"	"패턴: 체커"
"Dye_CherryNine_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_CherryNine_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_CherryNine_glossy_Name"	"체리 금속"
"Dye_CherryNine_Name"	"체리"
"Dye_Chrome_Desc"	"페인트 및 재질|대부분의 부품을 처리할 수 있습니다."
"Dye_Chrome_Name"	"재질: 크롬"
"Dye_Crimson01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Crimson01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Crimson01_glossy_Name"	"회오리바람 금속"
"Dye_Crimson01_Name"	"회오리바람"
"Dye_Crimson02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Crimson02_Name"	"진홍색 2"
"Dye_Cyan01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Cyan01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Cyan01_glossy_Name"	"극광 금속"
"Dye_Cyan01_Name"	"극광"
"Dye_Cyan02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Cyan02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Cyan02_glossy_Name"	"자기장 금속"
"Dye_Cyan02_Name"	"자기장"
"Dye_DangerStripes_Desc"	"페인트와 도안입니다.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_DangerStripes_Name"	"패턴: 위험!"
"dye_Eraser_Desc"	"페인트를 제거하여 부품의 원래 외형을 복원합니다."
"dye_Eraser_Name"	"페인트 시너"
"Dye_ForestCamuflage_Desc"	"페인트와 도안입니다.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_ForestCamuflage_Name"	"패턴: 숲"
"Dye_Gold_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Gold_Name"	"재질: 황금"
"Dye_Gray_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Gray_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Gray_glossy_Name"	"재 금속"
"Dye_Gray_Name"	"재"
"Dye_Green01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Green01_Name"	"산들바람"
"Dye_Green02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Green02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Green02_glossy_Name"	"아뮬렛 금속"
"Dye_Green02_Name"	"아뮬렛"
"Dye_Green03_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Green03_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Green03_glossy_Name"	"에메랄드 금속"
"Dye_Green03_Name"	"에메랄드"
"Dye_Green04_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Green04_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Green04_glossy_Name"	"이구아나 금속"
"Dye_Green04_Name"	"이구아나"
"Dye_GreenKhaki_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_GreenKhaki_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_GreenKhaki_glossy_Name"	"카키 2 금속"
"Dye_GreenKhaki_Name"	"카키색 2"
"Dye_Grey01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Grey01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Grey01_glossy_Name"	"연무 금속"
"Dye_Grey01_Name"	"연무"
"Dye_Grey02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Grey02_Name"	"건메탈"
"Dye_Grey03_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Grey03_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Grey03_glossy_Name"	"먹구름 금속"
"Dye_Grey03_Name"	"먹구름"
"Dye_Grid_Desc"	"페인트 및 재질|대부분의 부품을 처리할 수 있습니다."
"Dye_Grid_Name"	"재질: 그리드"
"Dye_Khaki01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Khaki01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Khaki01_glossy_Name"	"카키 1 금속"
"Dye_Khaki01_Name"	"카키색 1"
"Dye_Khaki02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Khaki02_Name"	"카키색 2"
"Dye_Khaki03_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Khaki03_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Khaki03_glossy_Name"	"카키 3 금속"
"Dye_Khaki03_Name"	"카키색 3"
"Dye_NewYear2016_Desc"	"새해 복 많이 받으세요!"
"Dye_NewYear2016_Name"	"새해"
"Dye_Orange01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Orange01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Orange01_glossy_Name"	"수선화 금속"
"Dye_Orange01_Name"	"수선화"
"Dye_Orange02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Orange02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Orange02_glossy_Name"	"마지막 땅거미 금속"
"Dye_Orange02_Name"	"마지막 땅거미"
"Dye_Orange_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Orange_Name"	"주황색"
"Dye_Pink01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Pink01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Pink01_glossy_Name"	"감마선 금속"
"Dye_Pink01_Name"	"감마선"
"Dye_Pink02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Pink02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Pink02_glossy_Name"	"산호 금속"
"Dye_Pink02_Name"	"산호"
"Dye_Red01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Red01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Red01_glossy_Name"	"붉은 거인 금속"
"Dye_Red01_Name"	"붉은 거인"
"Dye_Red02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Red02_Name"	"빨간색 2"
"Dye_Red03_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Red03_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Red03_glossy_Name"	"승리 금속"
"Dye_Red03_Name"	"승리"
"Dye_Red4_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Red4_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Red4_glossy_Name"	"붉은 달"
"Dye_Red4_Name"	"암적색"
"Dye_RedBlue_Desc"	"페인트 및 재질|대부분의 부품을 처리할 수 있습니다."
"Dye_RedBlue_Name"	"차가운 불길"
"Dye_Rusted_Desc"	"페인트 및 재질|대부분의 부품을 처리할 수 있습니다."
"Dye_Rusted_Name"	"재질: 녹"
"Dye_Sand01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Sand01_Name"	"모래색 1"
"Dye_Sand02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Sand02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Sand02_glossy_Name"	"신기루 금속"
"Dye_Sand02_Name"	"신기루"
"Dye_SandCamuflage_Desc"	"페인트와 도안입니다.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_SandCamuflage_Name"	"패턴: 사구"
"Dye_Sand_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Sand_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Sand_glossy_Name"	"모래 폭풍 금속"
"Dye_Sand_Name"	"모래 폭풍"
"Dye_SeaCamuflage_Desc"	"페인트와 도안입니다.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_SeaCamuflage_Name"	"패턴: 바다"
"Dye_SkyBlue_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_SkyBlue_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_SkyBlue_glossy_Name"	"맑은 하늘 금속"
"Dye_SkyBlue_Name"	"맑은 하늘"
"Dye_UrbanCamouflage_Desc"	"페인트와 도안입니다.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_UrbanCamouflage_Name"	"패턴: 도심"
"Dye_Valentine2016_Desc"	"특별한 축제 색상입니다."
"Dye_Valentine2016_Name"	"발렌타인"
"Dye_Violet01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Violet01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Violet01_glossy_Name"	"전자 금속"
"Dye_Violet01_Name"	"전자"
"Dye_Violet02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Violet02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Violet02_glossy_Name"	"바다 금속"
"Dye_Violet02_Name"	"바다"
"Dye_WarmRed_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_WarmRed_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_WarmRed_glossy_Name"	"잉걸불 금속"
"Dye_WarmRed_Name"	"잉걸불"
"Dye_White01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_White01_Name"	"흰색 1"
"Dye_White_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_White_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_White_glossy_Name"	"하얀 태양"
"Dye_White_Name"	"흰색"
"Dye_Yellow01_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Yellow01_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Yellow01_glossy_Name"	"불꽃 금속"
"Dye_Yellow01_Name"	"불꽃"
"Dye_Yellow02_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Yellow02_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Yellow02_glossy_Name"	"타오르는 태양 금속"
"Dye_Yellow02_Name"	"타오르는 태양"
"Dye_Yellow03_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Yellow03_glossy_Desc"	"스프레이 깡통.|대부분의 부품에 색을 칠할 수 있습니다."
"Dye_Yellow03_glossy_Name"	"범블비 금속"
"Dye_Yellow03_Name"	"범블비"
"GarbageGun_Spread_Decreasing_DESC"	"차량의 속도가 빠르면 빠를수록, 무기의 정확도가 증가합니다."
"GazelleBase_desc"	"캐빈, 바퀴 외에는 없습니다."
"GazelleBase_name"	"미니밴 차대"
"ItemDesc_ConstructionBonus"	"차량의 내구성이 @ff00ff00$car_health$@ffffffff 증가합니다."
"ItemDesc_ExpBonus"	"전투 후 평판 획득량 @ff00ff00$exp_reward_bonus$@ffffffff% 증가"
"item_test_piece_desc"	"슈퍼 총을 제작합니다. 10개의 구성품을 모아 기술자 장인과 함께 총을 제작하십시오."
"item_test_piece_name"	"슈퍼 총 구성품"
"KamazBase_desc"	"캐빈, 바퀴 외에는 없습니다."
"KamazBase_name"	"트럭 차대"
"KamazGrad_desc"	"복잡한 무기 및 모듈이 포함된 고급 설계입니다."
"KamazGrad_name"	"헤일 트럭"
"mat_KhakiDark01_Desc"	"페인트 및 재질|대부분의 부품을 처리할 수 있습니다."
"mat_KhakiDark01_Name"	"패턴: 소나무"
