"2STEP_AUTHORIZATION_ENABLED"	"あなたのアカウントは保護されています。"
"CONNECTED"	"接続済"
"CONNECTING"	"接続中"
"CONNECTING_TO"	"接続中"
"CONNECTING_TOOLTIP"	"サーバーに接続"
"Consumable_InventoryCapacity_Desc"	"ストレージスペースを拡張するためのツール。検出器付の電動リフト。"
"Consumable_InventoryCapacity_name"	"ストレージ拡張マシン"
"Craftsman_BaseCommon_Desc"	"新しいコモンパーツを製造できる。"
"Craftsman_BaseCommon_Name"	"エンジニアの作業台"
"Craftsman_BaseRare_Desc"	"これを使用して新しいレアパーツを製造できる。"
"Craftsman_BaseRare_Name"	"エンジニアのプレス機"
"Craftsman_BaseRelic_Desc"	"新しいレリックパーツを製造できる。"
"Craftsman_BaseRelic_Name"	"エンジニア CNC マシン"
"Craftsman_FirestartersEpic_Desc"	"新しいエピックパーツを製造できる。"
"Craftsman_FirestartersLegend_Desc"	"新しいレジェンダリーパーツを製造できる。"
"Craftsman_FirestartersRare_Desc"	"これを使用して新しいレアパーツを製造できる。"
"Craftsman_FirestartersReleaseCraftsman_Desc"	"ここでは荒野で役立つアイテムへライターと交換することができます。"
"Craftsman_FrenziedEpic_Desc"	"新しいエピックパーツを製造できる。"
"Craftsman_FrenziedEpic_Name"	"ルナティックのスローターハウス"
"Craftsman_FrenziedLegend_Desc"	"新しいレジェンダリーパーツを製造できる。"
"Craftsman_FrenziedLegend_Name"	"ルナティックの祭壇"
"Craftsman_FrenziedRare_Desc"	"新しいレアパーツを製造できる。"
"Craftsman_FrenziedRare_Name"	"ルナティックのカッティングボード"
"craftsman_hire_need_perk"	"建物が必要です：$perk$"
"Craftsman_MilitaryEpic_Desc"	"新しいエピックパーツを製造できる。"
"Craftsman_MilitaryEpic_Name"	"キャンプ修理工場"
"Craftsman_MilitaryLegend_Desc"	"新しいレジェンダリーパーツを製造できる。"
"Craftsman_MilitaryLegend_Name"	"HQ デリバリー"
"Craftsman_MilitaryRare_Desc"	"新しいレアパーツを製造できる。"
"Craftsman_MilitaryRare_Name"	"ポータブル式作業台"
"Craftsman_NewYearCraftsman_Name"	"サンタのおもちゃ工場"
"Craftsman_ScavengersEpic_Desc"	"新しいエピックパーツを製造できる。"
"Craftsman_ScavengersEpic_Name"	"スカベンジャー・キャンプ"
"Craftsman_ScavengersLegend_Desc"	"新しいレジェンダリーパーツを製造できる。"
"Craftsman_ScavengersLegend_Name"	"スカベンジャー・HQ"
"Craftsman_ScavengersRare_Desc"	"新しいレアパーツを製造できる。"
"Craftsman_ScavengersRare_Name"	"スカベンジャー前哨基地"
"Craftsman_ScientistsEpic_Desc"	"新しいエピックパーツを製造できる。"
"Craftsman_ScientistsEpic_Name"	"自動工場"
"Craftsman_ScientistsLegend_Desc"	"新しいレジェンダリーパーツを製造できる。"
"Craftsman_ScientistsLegend_Name"	"ラボ 51"
"Craftsman_ScientistsRare_Desc"	"これを使用して新しいレアパーツを製造できる。"
"Craftsman_ScientistsRare_Name"	"テストベンチ"
"Craftsman_TradersEpic_Desc"	"新しいエピックパーツを製造できる。"
"Craftsman_TradersEpic_Name"	"ノーマッド・HQ"
"Craftsman_TradersLegend_Desc"	"新しいレジェンダリーパーツを製造できる。"
"Craftsman_TradersLegend_Name"	"ノーマッドLab."
"Craftsman_TradersRare_Desc"	"これを使用して新しいレア部品を製造。"
"Craftsman_TradersRare_Name"	"ノーマッドテント"
"CRAFT_CRAFTSMAN_REQUIRE_FACTION"	"選択されたパーツを製造するには、プレイヤーがこのファクションに協力している必要があります。"
"craft_info_1"	"はっきり言って、エンジニアにおけるキミの台頭ぶりには怖さを覚えるわ。旧世界では政治家でもやってたのかしら？以前とは逆で、持たざる者がすべてを手に入れる時代になったのよ…ってフフッ。ひょっとして、おしゃべりは嫌いだったりする？"
"craft_info_2"	"ミッション、報酬、銃撃戦を眺めながらのおしゃべり。それがエンジニアのすべてじゃない。作業台を使ってスクラップから新しいパーツを製造することもできるの。バトルで目当てのパーツが見つからない？そんな時は自分で作るのよ。"
"craft_rare_info_1"	"資源が日々少なくなってる。だから危険を冒して荒野の奥地へ向かうの。当然敵も強くなるわね。レアな銃を持ってる敵に会った事はある？それならヤツらがどれほど危険か身にしみてるでしょう？"
"craft_rare_info_2"	"これで、キミは古き良き時代のマシンガンよりも強力な物を作る事ができるようになったってわけ…なんだけど、作業台の数がね、その、ちょっと…と、いうわけで、ご利用の際は作業台をレンタルして頂きます…大丈夫よ。不必要な物は売り払えるから！最終的には大黒字！"
"CUSTOM_GAME_AI_TITLE"	"AI"
"CUSTOM_GAME_BOTLIST_TITLE"	"敵"
"CUSTOM_GAME_DIFFICULTY_TITLE"	"難易度"
"CUSTOM_GAME_EMPTY_SLOT"	"空"
"CUSTOM_GAME_INVITED_MSG"	"「カスタムバトル」に招待されました。"
"CUSTOM_GAME_INVITE_BTN"	"招待"
"CUSTOM_GAME_LEAVE_BTN"	"離脱"
"CUSTOM_GAME_LEAVE_WARNING"	"退出しますか？"
"CUSTOM_GAME_MAP_TITLE"	"マップ"
"CUSTOM_GAME_MENU_KICK"	"キック"
"CUSTOM_GAME_MENU_SET_OBSERVER"	"観戦モードに移行"
"CUSTOM_GAME_MENU_SET_TEAM1"	"チーム 1 に移動"
"CUSTOM_GAME_MENU_SET_TEAM2"	"チーム 2 に移動"
"CUSTOM_GAME_MODE_TITLE"	"ゲームモード"
"CUSTOM_GAME_OBSERVERS"	"観戦モード"
"CUSTOM_GAME_PARAM_TITLE"	"パラメーター"
"CUSTOM_GAME_PLAY_BTN"	"プレイ"
"CUSTOM_GAME_QUIT_DESC"	"ルームオーナーがガレージに戻りました — あなたはガレージに戻りました。"
"CUSTOM_GAME_QUIT_HEADER"	"オーナーがガレージに帰還"
"CUSTOM_GAME_REGION_TITLE"	"リージョン"
"CUSTOM_GAME_SEND_INVITE_MSG"	"プレイヤー名を入力"
"CUSTOM_GAME_SEND_INVITE_TITLE"	"プレイヤーを招待"
"CUSTOM_GAME_TEAM1"	"チーム 1"
"CUSTOM_GAME_TEAM2"	"チーム 2"
"DailyChallengeEventQuest1_Desc"	"ミッションを 10 個、完了する"
"DailyChallengeEventQuest1_Name"	"生存者：ミッション"
"DailyChallengeEventQuest2_Desc"	"5 個のミッションに勝利する"
"DailyChallengeEventQuest2_Name"	"勝利者"
"DailyChallengeEventQuest3_Desc"	"マシンガンでミッションを 7 個、完了する"
"DailyChallengeEventQuest3_Name"	"マシンガンナー：ミッション"
"DailyChallengeEventQuest4_Desc"	"敵を 7 体撃破する"
"DailyChallengeEventQuest4_Name"	"エクスターミネーター"
"DailyChallengeEventQuest5_Desc"	"ショットガンでミッションを 7 個、完了する"
"DailyChallengeEventQuest5_Name"	"ショットガン：ミッション"
"DailyChallengeEventQuest6_Desc"	"7 個のミッションに勝利する"
"DailyChallengeEventQuest6_Name"	"勝利者"
"DailyChallengeEventQuest7_Desc"	"キャノンでミッションを 7 個、完了する"
"DailyChallengeEventQuest7_Name"	"ガンナー：ミッション"
"DailyRewardDayNumber"	"第 $val$ 日"
"DailyRewardDescription"	"明日もログインして次のボーナスを受け取ろう！"
"DailyRewardGrabReward"	"ボーナスを受け取る"
"DailyRewardHelp"	"ボーナス内容は毎月アップデートされます。すべての報酬を獲得するには、1 か月に最低15回、ゲームにログインする必要があります。"
"DailyRewardTitle"	"ログインボーナス"
"DailyRewardToday"	"今日"
"Daily_1_Login_desc"	"1日に1回ゲームにログインする。"
"Daily_2_WinsPvp_desc"	"ミッションで$required_value$回勝利する"
"Daily_3_WinsPve_desc"	"レイドで $required_value$回勝利する。"
"Daily_4_Wins_Machinegun_desc"	"マシンガンを使用して、ミッションまたはレイドで  $required_value$  回勝利する。"
"Daily_4_Wins_Shotgun_desc"	"ショットガンを使用して、ミッションまたはレイドで  $required_value$ 回勝利する。"
"daily_quest_info_1"	"エンジニアのメンバーはいいヤツばかりよ。仲間は決して見捨てない。仕事をうまくこなせば、報酬がもらえる。アタシ達が簡単な仕事の報酬としてスクラップを分け与えてる事に、気が付いてたでしょ？"
"DamageBlast_German_Desc"	"ミッション中に $required_value$ の爆発ダメージを与える。"
"DamageBlast_German_Name"	"ビッグバーサ"
"DamageMelee_German_Desc"	"ミッション中に激突し、$required_value$ のダメージを与える。"
"DamageMelee_German_Name"	"ランサー"
"DamageRange_German_Desc"	"ミッション中に弾丸で $required_value$ のダメージを与える。"
"DamageRange_German_Name"	"ゼロミス"
"Damage_German_Desc"	"ミッション中、手段を問わず、 $required_value$ のダメージを与える。"
"Damage_German_Name"	"排気"
"DAMAGE_TITLE"	"ダメージ"
"DEBRIEFING_TITLE"	"バトル結果"
"DEBR_ANTIADDICT_EXP_PERCENT"	"タイムペナルティ："
"DEBR_BASE_EXP"	"基本名声："
"DEBR_BUY_STAMINA"	"必要な $gasoline$ の燃料容器を購入しますか？"
"DEBR_CAFE_EXP_PERCENT"	"サイバーカフェ・ボーナス"
"DEBR_CRAFT_COMP_COMPLETE"	"全部品を収集済"
"DEBR_CRAFT_REQUIRED_ITEMS_TITLE"	"必要パーツ"
"DEBR_CRAFT_REQUIRED_RES_TITLE"	"必要リソース"
"DEBR_CRAFT_RES_COMPLETE"	"全リソースを収集済"
"DEBR_DAILY_COMPLETE"	"目標完了"
"DEBR_DAILY_EXP_PERCENT"	"エネルギーブースト："
"DEBR_DAILY_TITLE"	"チャレンジ"
"DEBR_DRAW_DESC"	"引き分け。"
"DEBR_DRIVER_EXP_PERCENT"	"ナビゲーター $name$"
"DEBR_DRIVER_LVL"	"レベル$level$"
"DEBR_DRIVER_MAXED"	"取得可能なスキルはすべて取得済です！"
"DEBR_DRIVER_NEW_LVL"	"新スキル利用可能"
"DEBR_DRIVER_TITLE"	"ナビゲーター"
"DEBR_EQUIP_EXP_PERCENT"	"装飾ボーナス："
"DEBR_EQUIP_EXP_PERCENT_FACTION_Base"	"エンジニア名声への個人ボーナス"
"DEBR_EQUIP_EXP_PERCENT_FACTION_Firestarters"	"ファイスターター名声の個人ボーナス"
"DEBR_EQUIP_EXP_PERCENT_FACTION_Frenzied"	"ルナティック名声への個人ボーナス"
"DEBR_EQUIP_EXP_PERCENT_FACTION_Military"	"ステッペンウルフ名声への個人ボーナス"
"DEBR_EQUIP_EXP_PERCENT_FACTION_Scavengers"	"スカベンジャー名声への個人ボーナス"
"DEBR_EQUIP_EXP_PERCENT_FACTION_Scientists"	"ドーンチルドレン名声への個人ボーナス"
"DEBR_EQUIP_EXP_PERCENT_FACTION_Traders"	"ノーマッド名声への個人ボーナス"
"DEBR_EQUIP_EXP_PERCENT_TEAM_FACTION_Base"	"エンジニアの評判へのチームボーナス"
"DEBR_EQUIP_EXP_PERCENT_TEAM_FACTION_Firestarters"	"ファイスターター名声のチームボーナス"
"DEBR_EQUIP_EXP_PERCENT_TEAM_FACTION_Frenzied"	"ルナティック名声へのチームボーナス"
"DEBR_EQUIP_EXP_PERCENT_TEAM_FACTION_Military"	"ステッペンウルフの評判へのチームボーナス"
"DEBR_EQUIP_EXP_PERCENT_TEAM_FACTION_Scavengers"	"スカベンジャーの評判へのチームボーナス"
"DEBR_EQUIP_EXP_PERCENT_Team_FACTION_Scientists"	"ドーンチルドレン名声へのチームボーナス"
"DEBR_EQUIP_EXP_PERCENT_TEAM_FACTION_Traders"	"ノマドの名声へのチームボーナス"
"DEBR_EXP_BONUS_TOOLTIP_TITLE"	"@ffff9f00名声ボーナス@ffffffff"
"DEBR_EXP_TOOLTIP_TITLE"	"@ffff9f00名声@ffffffff"
"DEBR_EXP_TOOLTIP_TOTAL"	"@ffff9f00合計名声@ffffffff:"
"DEBR_FACTION_EXP_TITLE"	"獲得名声"
"DEBR_FINISH_REASON"	"終了理由："
"DEBR_GAMEPLAY_PLACE_TITLE"	"順位"
"DEBR_GAME_FINISHED"	"ゲーム終了"
"DEBR_GARAGE"	"ガレージへ"
"DEBR_GASOLINE_HINT"	"ドラム缶やバレルを車両に装着して燃料を集めよう！"
"DEBR_GASOLINE_TITLE"	"燃料"
"DEBR_HEADER_ASSISTS"	"支援"
"DEBR_HEADER_DEATHS"	"被撃破数"
"DEBR_HEADER_KILLS"	"撃破"
"DEBR_HEADER_PLAYERS"	"プレイヤー"
"DEBR_HEADER_PLAYERS_PS4"	"オンライン ID"
"DEBR_HEADER_SCORE"	"スコア"
"DEBR_LADDER_POS"	"$pos$ 位"
"DEBR_LADDER_RATING_TITLE"	"評価"
"DEBR_LADDER_TITLE"	"獲得評価"
"DEBR_LOSEREASON_DERBY_ENEMIES_DEAD"	"車両が破壊された。"
"DEBR_LOSEREASON_ENOUGH_FRAG"	"他の生存者がより多くの敵を倒した。"
"DEBR_LOSEREASON_MORE_BASE_CAPTURED"	"我々の基地が占領された。"
"DEBR_LOSEREASON_MORE_BASE_CAPTURED_TIMER"	"時間切れだ。敵の方が上手く基地を占領した！"
"DEBR_LOSEREASON_MORE_CARS_LEFT"	"味方がすべて撃破された。"
"DEBR_LOSEREASON_MORE_CARS_LEFT_TIMER"	"時間切れだ。我々の方が残っている車両が少ない。"
"DEBR_LOSEREASON_MOST_FRAG_TIMER"	"時間切れだ。他の生存者がより多くの敵を倒した。"
"DEBR_LOSEREASON_OBJECTIVE_FAILED"	"ミッション失敗。"
"DEBR_LOSEREASON_RACE_FIRST"	"敵の方が早かった。"
"DEBR_LVLUP_NEW_LVL"	"レベルUP"
"DEBR_LVLUP_NEW_PARAGON_LVL"	"名誉レベルアップ"
"DEBR_LVLUP_NEW_PARTS"	"ストレージに新しいパーツがあります"
"DEBR_MEDALS_TITLE"	"ワッペン"
"DEBR_NEXT_STAMINA_MISSION"	" "
"DEBR_NOT_ENOUGH_GASOLINE"	"補給できるだけのガソリンが不足しています。ガレージに戻ります。"
"DEBR_NO_DAILY_QUESTS"	"アクティブなデイリーチャレンジがありません。"
"DEBR_NO_ITEMS"	"リワードにアイテムがありません"
"DEBR_NO_MEDALS"	"獲得したワッペンなし"
"DEBR_NO_SEASON"	"アクティブなシーズンクエストがありません。"
"DEBR_PLATINUM_TITLE"	"銅"
"DEBR_QUEUE_EXP_PERCENT"	"訓練："
"DEBR_RESULT_DEFEAT"	"DEFEAT"
"DEBR_RESULT_DISBAND"	"ゲームが中断されました。"
"DEBR_RESULT_DRAW"	"DRAW"
"DEBR_RESULT_UNFINISHED"	"未完了"
"DEBR_RESULT_VICTORY"	"VICTORY"
"DEBR_RETURN_TO_HANGAR"	"次のラウンドは自動的に始まります（Esc — ハンガーに戻る）"
"DEBR_REWARD_DEPLETED_PENALTY"	"車両のパーツが壊れています"
"DEBR_REWARD_EQUIP_BONUS"	"装備ボーナス"
"DEBR_REWARD_EXP_MEDALS"	"ステッカーを獲得"
"DEBR_REWARD_FOR_GAME"	"ゲームボーナス"
"DEBR_REWARD_FOR_WIN"	"勝利ボーナス"
"DEBR_REWARD_OBJECTIVE"	"チャレンジ完了中"
"DEBR_REWARD_SCORE"	"達成したスコア"
"DEBR_REWARD_TITLE"	"報酬"
"DEBR_RWD_TYPE_EXP"	"名声"
"DEBR_RWD_TYPE_SCRAP"	"$texture name icon_Scrap_Common$"
"DEBR_SALVAGE_TITLE"	"戦利品"
"DEBR_SCORE_ASSISTS"	"撃破アシスト — $val$"
"DEBR_SCORE_CAPTURE"	"占領 — $val$"
"DEBR_SCORE_FIRST_DAMAGE"	"最初のダメージ － $val$"
"DEBR_SCORE_KILLS"	"撃破 — $val$"
"DEBR_SCORE_LIFTING"	"同盟相手の支援 － $val$"
"DEBR_SCORE_OBJECTIVE"	"ミッションタスク完了 － $val$"
"DEBR_SCORE_PARTS_DETACH"	"パーツ破壊 － $val$"
"DEBR_SCORE_TOOLTIP_TITLE"	"合計ポイント"
"DEBR_SCORE_TO_LOOT"	"ドラム缶やバレルを車両に装着して燃料を集めよう！"
"DEBR_SCRAP_TITLE"	"スクラップ（50名声ごと）"
"DEBR_SEASON_QUESTS_TITLE"	"「$name$」 シーズンクエスト — 完了済 $curVal$ / $maxVal$"
"DEBR_SEASON_QUESTS_TITLE_MAIN_PAGE"	"$name$（$curVal$ / $maxVal$）"
"DEBR_SEASON_TOTAL_DESC"	"シーズンチャレンジ進行状況。"
"DEBR_STAMINA"	"バトルへ"
"DEBR_TAB_QUESTS"	"達成状況"
"DEBR_TAB_QUESTS_TOOLTIP"	"チャレンジの達成状況"
"DEBR_TAB_REWARD"	"結果"
"DEBR_TAB_REWARD_TOOLTIP"	"獲得したトロフィーと名声値"
"DEBR_TAB_STATS"	"スコア表"
"DEBR_TAB_STATS_TOOLTIP"	"最後のバトルの結果"
"DEBR_TIMER_TITLE"	"次のバトルまで"
"DEBR_TOTAL_EXP"	"名声の合計"
"DEBR_TOTAL_MONEY"	"合計金額："
"DEBR_TOTAL_POINTS_TITLE"	"獲得ポイント"
"DEBR_TRACKED_ITEM"	"進捗状況表示選択済パーツ"
"DEBR_WEEKEND_EXP_PERCENT"	"ボーナス XP："
"DEBR_WINREASON_DERBY_ENEMIES_DEAD"	"すべての敵が排除された。"
"DEBR_WINREASON_ENOUGH_FRAG"	"すべての敵が排除された。"
"DEBR_WINREASON_LAST_STAND"	"きみが最後のひとりだ。"
"DEBR_WINREASON_MORE_BASE_CAPTURED"	"敵基地を占領した。"
"DEBR_WINREASON_MORE_BASE_CAPTURED_TIMER"	"時間切れだ。敵より多くの基地を占領した。"
"DEBR_WINREASON_MORE_CARS_LEFT"	"すべての敵が排除された。"
"DEBR_WINREASON_MORE_CARS_LEFT_TIMER"	"時間切れだ。我々の車両の方が多い。"
"DEBR_WINREASON_MOST_FRAG"	"我々の方が多くの敵を倒した。"
"DEBR_WINREASON_MOST_FRAG_TIMER"	"時間切れだ。我々の方が多くの敵を撃破した。"
"DEBR_WINREASON_OBJECTIVE_COMPLETE"	"ミッション完了"
"DEBR_WINREASON_RACE_FIRST"	"勝利した。"
"DEBR_WIN_REASON"	"勝利理由："
"DEFECTS_NOT_ALL_PARTS_AVAILABLE"	"使用できないパーツがあります。ストレージにスペアがあるパーツだけが取り付けられます。|部分的な交換を実行しますか？"
"DEPLOY_AMMO_BURST_UNIT"	"個"
"DIFFICULTY_EASY"	"イージー"
"DIFFICULTY_HARD"	"ハード"
"DIFFICULTY_MEDIUM"	"ノーマル"
"disassemble_info_1"	"名声値は拡大し、ワンダラーと同等の大きさの車両をビルドすることができる。それだけでなく、自由に使えるパーツの数が増え、これらのパーツを車両に使用すると耐久値が増える。"
"disassemble_info_2"	"なんの役にも立たないガラクタをため込んでも意味ないでしょ？分解するパーツを一つ選んでみて。後、まだキミには早いかもしれないけど、ブラックマーケットで余分なパーツを売り払うこともできるわ。もちろん何かを買う事もできるけど…"
"DISCONNECT_KICK_INSUFFICIENT_STAMINA"	"パトロールを開始するための燃料不足"
"DISCONNECT_KICK_NO_PARTICIPATION_IN_GAME"	"一定時間操作がないためキックされました。"
"DISCONNECT_MISSION_NOT_SCHEDULED"	"現在ミッションは利用不可。"
"DMM_LOGIN_BUTTON"	"ログイン"
"driverswnd_faction"	"「$faction_name$」ファクション"
"driverswnd_faction_lock"	"$faction$ レベル $level$"
"driverswnd_level"	"経験値："
"driverswnd_need_driver_level"	"ナビゲーターレベル $val$ で利用可能。|ナビゲータースキルが必要。"
"driverswnd_need_resources"	"必要リソース："
"driverswnd_next_level"	"次のレベルまで"
"driverswnd_reputation"	"$val$ 名声ポイント"
"driverswnd_request_layer_buy"	"スキル取得に次のリソースが使用される："
"driverswnd_select"	"キャビンに入れる"
"drivers_current"	"@ffff6600運転中"
"Driver_Base_Desc"	"自分の身は自分で守れる、まあまあ友好的な人物。いろんなことに手を出すが、本当の天職は何なのか、まだわかっていない。"
"Driver_Default_Desc"	"自分の身は自分で守れる、まあまあ友好的な人物。いろんなことに手を出すが、本当の天職は何なのか、まだわかっていない。"
"Driver_Frenzied_Desc"	"頭がおかしい危険なヤツ。とがったものを渡してはいけない。爆発物にも近づけるな！"
"driver_level_up"	"ナビゲーター $name$ レベルアップ！"
"driver_level_up_skill"	"スキル $name$ 利用可能"
"driver_max_level"	"最高レベル"
"Driver_Military_Desc"	"経験豊かなナビゲーター兼砲手。あらゆる種類の武器の扱いに長じている。目指す故郷は遥か西。長い旅路に疲れ果ててはいるが、真の兵士として常に戦いへ備えている。"
"Driver_Scavengers_Desc"	"戦車のターレットで長い年月を過ごしてきた。耳は遠く、理解力にも乏しい。しかしキャノンを扱う腕は確かだ。"
"Driver_Scientists_Desc"	"エネルギー武器の開発に深く関わった人物として、プロトタイプの実戦テストを今かと待ち望んでいる。"
"Driver_Traders_Desc"	"かつては恐れ知らずのドライバーだったが、荒野で暮らすうちに用心することを覚えた。マシンガンとドローンを使ったミドルレンジでの高機動戦闘を好む。"
"Dye_Valentine2018_Desc"	"スプレー缶。|ほとんどのパーツへ塗ることが出来る。"
"engineers_10lvl_vehicle_Desc"	"荒野における実習生とはつまり、プロの殺し屋への道を歩み出したドライバーだ。"
"engineers_10lvl_vehicle_Name"	"アプレンティス"
"engineers_15lvl_vehicle_Desc"	"「死のチャリオット」、「ストリート・ラット」、「歩行者殺し」などの悪名でしられた車両。現在では武装され、さらに凶悪になっている為、当然の事ではあるが、大災害を経てもなお、忌み嫌われている。"
"engineers_15lvl_vehicle_Name"	"ルート063"
"engineers_20lvl_vehicle_Name"	"アルマジロ"
"engineers_3lvl_vehicle_Desc"	"比較的に遅い車両速度、そして搭載されたソードオフショットガン 2  個。その名の通り、蛇のように狡猾な奇襲戦法に頼るしか選択肢は無い。"
"engineers_3lvl_vehicle_Name"	"ヴァイパー"
"engineers_5lvl_vehicle_Desc"	"小型だが強力なトラック。車両自身と積み荷を守る力がある。正面から近づいてはいけない。"
"engineers_5lvl_vehicle_Name"	"ワークホース"
"ERROR_CARDESIGN_GEAR_LEVEL_NOT_ENOUGH"	"$leviathan_min_gear_level$ 個以上のパーツを持つリヴァイアサンのみ、バトルに送り出すことができます。"
"ERROR_CARDESIGN_UR_NOT_ENOUGH"	"$leviathan_min_universal_rating$ 以上のパワースコアを持つリヴァイアサンのみ、バトルに送り出すことができます。"
"ERROR_CLAN_MOTD_OBSCENE"	"本日送信された不適切なメッセージです。"
"ERROR_CLAN_NAME_OBSCENE"	"不適切な名前です。"
"ERROR_CLAN_TAG_OBSCENE"	"不適切な名前です。"
"ERROR_GAIJIN_BAD_CREDENTIALS_FIRST"	"Gaijin.Net プロフィールのパスワードまたは名前が間違っています。または、メール経由でプロフィールをアクティブ化されていない可能性があります。"
"ERROR_PROMO_ACCOUNT_RESTRICTION"	"このデモ版では、いくつかの機能が無効になっています。||この操作は行えません。"
"EventBanner_name_CHINA_CRAFT"	"ドラゴンの道"
"EventBanner_name_GERMAN_CRAFT"	"ナイトライダーズ"
"EventBanner_name_HALLOWEEN"	"ウィッチハント"
"EventBanner_name_LEVEL_RUSH"	"名声ラッシュ"
"EventBanner_name_SPECIAL_OFFER"	"特別パック"
"EventLevelRushBaseFaction"	"$faction_name$ ファクションで名声レベル $level$ を獲得する"
"EventLevelRushCompleted"	"ミッション完了！"
"EventLevelRushFailed"	"タスク失敗！"
"EventLevelRushReward"	"報酬： $items$"
"EventLevelRushSideFaction"	"いずれかのサイドファクションで名声レベル $level$ を獲得する"
"EventNotificationWnd_craftsman"	"製造"
"EventNotificationWnd_mission"	"バトルへ"
"event_notification_desc_ANNIVERSARY"	"1周年を祝し、チャレンジや報酬を準備しました。『CROSSOUT』の世界を征服し、荒野からのニュースを見逃さないようにしてください！"
"event_notification_desc_GERMAN_CRAFT"	"マーティンと手下たちが谷に戻ってきました！旅から多数の武器を持ち帰り、これらの武器をターレルと交換しようとしています。ナイトのチャレンジを完了すると、特別な報酬が貰えます。詳細はウェブサイトをご覧ください。"
"event_notification_desc_TANKS"	"『CROSSOUT』の戦勝記念日です！イベントチャレンジを完了すると、ユニークなステッカーを入手できます。"
"ExhibitionCardWnd_Next"	"次の設計図"
"ExhibitionCardWnd_Prev"	"前の設計図"
"EXHIBITION_AUTHOR"	"設計者： $name$"
"EXHIBITION_BATTLELOCK_TOOLTIP"	"本当にギャラリーから設計図を取り下げますか？"
"EXHIBITION_DOWNLOADS"	"ダウンロード"
"EXHIBITION_DOWNLOAD_SUCCESS"	"設計図「$name$」をロードしました。設計図の保存データの中に入っています。"
"EXHIBITION_FILTER_RESET"	"リセット"
"EXHIBITION_LIKES"	"いいね！"
"EXHIBITION_MENU_BAN_EX_OWNER"	"アクセス制限"
"EXHIBITION_MENU_CHAT_LINK"	"リンクをコピーする"
"EXHIBITION_MENU_REMOVE"	"削除"
"EXHIBITION_MENU_RENAME"	"名前変更"
"EXHIBITION_MENU_REPORT"	"違反の報告"
"EXHIBITION_MENU_SAVE_DESIGN"	"設計図をスロットに保存"
"EXHIBITION_OWNED_BLUEPRINT"	"自分の設計図"
"EXHIBITION_PREVIEW"	"テストドライブ"
"EXHIBITION_REFRESH"	"更新"
"EXHIBITION_REMOVE_WARNING"	"本当にギャラリーから設計図を取り下げますか？"
"EXHIBITION_RENAME_TEXT"	"ギャラリーの設計図名を変更。"
"EXHIBITION_SEARCH"	"検索"
"EXHIBITION_SORT"	"並べ替え"
"EXHIBITION_SORT_DOWNLOAD"	"ダウンロード"
"EXHIBITION_SORT_LIKED"	"いいね！"
"EXHIBITION_SORT_NEW"	"New"
"EXHIBITION_TIME"	"時間"
"EXHIBITION_TIME_ALL"	"全体"
"EXHIBITION_TIME_DAYS_7"	"週"
"EXPPENALTY_TITLE"	"名声ペナルティ"
"EXPPENALTY_TOOLTIP"	"車両に取り付けられたパーツが破損するたびに、バトルで得られる名声が減少していきます。"
"FactionCraftWnd_free_craftsman_no_stamina"	"あと$time_left$回、作業台を使用してパーツを製造することができます。イベントが終了したら、事前にレンタルしていた作業台が使用可能になります。"
"FactionWnd_Paragon_Info"	"ファクションの最大レベルに達した後、限界を超えた名誉レベルを上昇させることができ、毎回報酬を獲得できます。|コンテナは各レベルで授与され、パーツは限られています。"
"faction_0_Desc"	"新世界で人々が生きていけるように支援している半公式的な組織。|財力やイデオロギーには左右されず、すべての者を平等に救おうと全力を尽くしている。||しかし、彼らの援助を期待しすぎてはいけない。時には新しいパーツや設計図を提供してくれたり、大型車両の操縦方法を教えてくれたりすることがある。"
"faction_0_Name"	"エンジニア"
"faction_1_Desc"	"スピード、爆発、乱戦…そのすべてをこよなく愛する彼らは、|軽量パーツで構成されたバギーを駆り、古い追撃砲のパーツを再利用して作られたミサイルランチャーや爆発性スピア、シャープネルショットガンをぶっ放す。||もちろん、威嚇用のスパイクやスカルのインパクトも絶大だ。"
"faction_1_Name"	"ルナティック"
"faction_2_Desc"	"あまりにも多くの人類がいるため大喪失とは呼べないが、この世界における「人類」とは、かつての「人類」とは違うモノで、ノーマッドは荒野の僻地を恐れる事なく探検している。|彼らの車両は戦闘機とビンテージカーの特徴を組み合わせたハイブリッド車両である。"
"faction_2_Name"	"ノーマッド"
"faction_3_Desc"	"他のファクションに旧世界の遺物を提供している。|破棄された軍事倉庫を漁り、コンテナを溶断し、工場をネジの1本に至るまで分解する。||稼働しているものすべては彼ら流の「食物連鎖」の餌食となるか、ブラックマーケットで売り払われる。|そうした後、残ったパーツがあれば、修理して自分たちの車両に搭載している。"
"faction_3_Name"	"スカベンジャー"
"faction_4_Desc"	"人道から逸脱したレベルでの危険な作戦でさえも難なく遂行するエリート部隊。|軍隊のリソースやテクノロジーを流用している。迅速な行軍速度を誇り、困難な地形を乗り越える事ができる。| |遠距離戦闘を重視し、遮蔽物の背後からの射撃を好む。"
"faction_4_Name"	"ステッペンウルフ"
