"2STEP_AUTHORIZATION_ENABLED"	"Dein Konto ist geschützt."
"ERROR_AFK_KICKED"	"Deine Verbindung wurde getrennt, da du zu lange inaktiv warst."
"ERROR_AH_DONT_OWN_ENOUGH"	"Unzureichende Anzahl an Gegenständen für den Verkauf."
"ERROR_AH_HAVE_ACTIVE_OPERATION"	"Bitte warte einen Moment, bevor du die Aktion auf dem Markt wiederholst."
"ERROR_AH_ITEM_NOT_TRADEABLE"	"Dieser Gegenstand kann nicht gehandelt werden."
"ERROR_AH_LOT_IS_OWNED"	"Du kannst deine eigenen Gegenstände nicht kaufen oder verkaufen."
"ERROR_AH_LOW_PRICE"	"Der gewählte Preis ist zu niedrig."
"ERROR_AH_NOT_AVAILABLE"	"Der Markt ist vorübergehend nicht erreichbar."
"ERROR_AH_NOT_ENOUGH_FREE_SLOTS"	"Maximale Anzahl freier Handelsplätze erreicht."
"ERROR_AH_NO_FREE_BLUEPRINT_SLOT"	"Keine freien Plätze für Blaupausen verfügbar."
"ERROR_AH_OPERATION_CONDITION_BROKEN"	"Markt-Transaktionsfehler."
"ERROR_AH_ORDER_LOCKED"	"Dieser Auftrag wird bereits bearbeitet."
"ERROR_AH_ORDER_NOT_FOUND"	"Auftrag nicht gefunden."
"ERROR_AH_REFUND_KICKED"	"Du hast deinen Zugriff zum spielinternen Marktplatz verloren, da du einen gekauften Artikel zurückerstatten lassen hast. Bitte setze dich mit dem Kundendienst in Verbindung."
"ERROR_AH_SERVICE_UNAVAILABLE"	"Der Markt ist gegenwärtig nicht verfügbar."
"ERROR_AH_WRONG_RESOURCE_PACK"	"Ingültiges Ressourcenpaket."
"ERROR_ALPHA_TEST_WINDOW_CLOSED"	"Die Spielserver sind in der Testphase täglich nur zu bestimmten Stunden geöffnet. Bitte versuche es später noch einmal."
"ERROR_ARC_API"	"Arc-Server-Fehler."
"ERROR_ARC_FORBIDDEN"	"Arc-Autorisierung fehlgeschlagen."
"ERROR_ARC_NOT_LOGGED_IN"	"Du musst dich mit Arc verbinden."
"ERROR_AUTH_METHOD_DISABLED"	"Die ausgewählte Authentifizierungsmethode ist nicht verfügbar."
"ERROR_AUTH_REGION_LOCK"	"Das Spiel ist in deiner Region nicht verfügbar"
"ERROR_AVATAR_ISNT_OWNED"	"Portrait nicht verfügbar."
"ERROR_BAD_CREDENTIALS"	"Login oder Passwort ungültig. Bitte erneut versuchen."
"ERROR_BANNED"	"Dein Account wurde ausgeschlossen."
"ERROR_BANNED_FOR_CHEATING"	"Lieber Spieler,||Hiermit möchten wir dich darüber in Kenntnis setzen, dass dein Konto aufgrund eines Verstoßes gegen Paragraph 1.4 und/oder 1.6m der Endnutzer-Lizenzvereinbarung (EULA) permanent von der Teilnahme am Spiel ausgeschlossen wurde.||Endnutzer-Lizenzvereinbarung (Auszug):|1.4. Verbot von Modifikationen. Sie verpflichten sich, dass Sie das Produkt auf keine Art modifizieren oder ändern werden. Sie dürfen keine Informationen über die Urheberrechte oder andere Informationen über das Eigentum von irgendwelchen Kopien der Produkte beseitigen oder ändern.||1.6 m). [Sie verpflichten sich, dass Sie] unberechtigte Verbindungen zum Produkt nicht benutzen, unterstützen, schaffen oder erhalten werden, einschließlich und ohne Einschränkung (1) jeglicher Verbindung zu einem unautorisiertem Server, der jeglichen Teil des Produkts emuliert oder zu emulieren versucht; oder (2) jeglicher Verbindung, die Programme, Instrumente oder Software benutzen, die ausdrücklich nicht von Seiten der Gaijin genehmigt sind.||Beste Grüße,|das Crossout-Team"
"ERROR_BLUEPRINT_ALREADY_LIKED"	"Du kannst einer Blaupause nicht ein zweites Mal einen Daumen hoch geben."
"ERROR_BLUEPRINT_CANT_SAVE_EMPTY"	"Eine leere Blaupause kann nicht gespeichert werden."
"ERROR_BLUEPRINT_COUNT_LIMIT_REACHED"	"Du kannst nicht mehr als $maxValue$ Blaupausen in der Galerie ausstellen."
"ERROR_BLUEPRINT_EXHIBITION_BANNED"	"Du wurdest von der Nutzung der Galerie ausgeschlossen."
"ERROR_BLUEPRINT_FORBIDEN_NAME"	"Ungültiger Name der Blaupause."
"ERROR_BLUEPRINT_NAME_TOO_LONG"	"Der Name dieser Blaupause ist zu lang."
"ERROR_BLUEPRINT_NAME_TOO_SHORT"	"Der Name der Blaupause ist zu kurz."
"ERROR_BLUEPRINT_NOT_ENOUGHT_ITEMS"	"Um diese Blaupause in der Galerie zu teilen, müssen sich alle benötigten Bauteile im Lager befinden."
"ERROR_BLUEPRINT_NOT_FOUND"	"Blaupause nicht gefunden."
"ERROR_BLUEPRINT_NOT_LIKED"	"Du hast dieser Blaupause nie einen Daumen hoch gegeben."
"ERROR_BLUEPRINT_NOT_OWNED"	"Du bist nicht der Besitzer dieser Blaupause."
"ERROR_BLUEPRINT_SERVICE_UNAVAILABLE"	"Die Galerie ist vorübergehend nicht verfügbar"
"ERROR_BLUEPRINT_STORAGE_FULL"	"Du hast keine Plätze für Blaupausen übrig."
"ERROR_BLUEPRINT_UNAVAILABLE_PARTS"	"Diese Blaupause verfügt über nicht verfügbare Bauteile und kann daher nicht in die Galerie gestellt werden."
"ERROR_BLUEPRINT_WRONG_ITEM_ORIENTATION"	"Kann Blaupause nicht hochladen, da ein Bauteil inkorrekt platziert wurde."
"ERROR_BUNDLE_ALREADY_OWNED"	"Du besitzt dieses Paket bereits."
"ERROR_CAPTCHA_NOT_REQUIRED"	"Die Texteingabe aus dem Bild ist nicht erforderlich."
"ERROR_CARDESIGN_CRITICAL_MASS"	"Der Grenzwert für das Fahrzeuggewicht wurde überschritten. Verringere das Gewicht oder montiere eine Kabine mit höherem Grenzwert."
"ERROR_CARDESIGN_ENGINE_COUNT_EXCEEDED"	"Diese Blaupause darf nur über einen Motor verfügen, bevor du sie verwenden darfst."
"ERROR_CARDESIGN_EXPIRED_ITEM"	"Achtung! Einige deiner zeitbeschränkten Bauteile sind abgelaufen."
"ERROR_CARDESIGN_GEAR_LEVEL_EXCEEDED"	"Maximale Bauteilanzahl erreicht."
"ERROR_CARDESIGN_GENERATOR_COUNT_EXCEEDED"	"Je Fahrzeug kann nur ein Generator installiert werden. Entferne die überschüssigen Generatoren, bevor du dich ins Gefecht begibst."
"ERROR_CARDESIGN_HEAVY_COUNT_EXCEEDED"	"Ungültige Anzahl schwerer Bewaffnung."
"ERROR_CARDESIGN_HEAVY_NOT_UNIQUE"	"Ungültige Anzahl schwerer Bewaffnung."
"ERROR_CARDESIGN_INVALID_ITEM"	"Ungültiger oder unbekannter Gegenstand."
"ERROR_CARDESIGN_ITEM_NOT_OWNED"	"Diese Blaupause verwendet ein nicht verfügbares Teil."
"ERROR_CARDESIGN_ITEM_REQUIRE_LEVEL"	"Dein Fahrzeug verfügt über Bauteile, die du nicht verwenden kannst, da deine Reputation mit den 'Engineers' zu niedrig ist. Entferne sie, bevor du ins Gefecht ziehst."
"ERROR_CARDESIGN_LEVI_NOT_ALLOWED"	"In diesem Modus sind Leviathane nicht verfügbar."
"ERROR_CARDESIGN_NO_CABIN"	"Fahrerkabine fehlt!"
"ERROR_CARDESIGN_POWER_EXCEEDED"	"Der Energieverbrauch ist zu hoch."
"ERROR_CARDESIGN_SKILL_COUNT_EXCEEDED"	"Zu viele Module."
"ERROR_CARDESIGN_SKILL_NOT_UNIQUE"	"Zwei oder mehr Module wurden verwendet."
"ERROR_CARDESIGN_UNWELDED_PART"	"Einige Bauteile sind nicht verbunden."
"ERROR_CARDESIGN_WRONG_ITEM_ORIENTATION"	"Kann nicht ins Gefecht ziehen, da ein Bauteil ungültig platziert wurde."
"ERROR_CAR_EDITOR_CANT_LOAD_DESIGN"	"Blaupause konnte nicht zusammengebaut werden."
"ERROR_CAR_EDITOR_NOT_ACTIVE"	"Blaupause kann bei inaktivem Baumodus nicht zusammengebaut werden."
"ERROR_CHEATS_DISABLED"	"Cheats sind deaktiviert."
"ERROR_CLAN_ALREADY_IN_CLAN"	"Dieser Spieler ist bereits in einem Clan."
"ERROR_CLAN_ALREADY_MEMBER"	"Dieser Spieler ist bereits in einem Clan."
"ERROR_CLAN_CANT_INVITE_SELF"	"Es ist nicht möglich, dich selbst in den Clan einzuladen."
"ERROR_CLAN_CANT_KICK"	"Dieser Spieler kann nicht ausgeschlossen werden."
"ERROR_CLAN_CANT_KICK_SELF"	"Du kannst dich nicht selbst aus dem Clan ausschließen."
"ERROR_CLAN_CANT_LEAVE"	"Clan kann nicht verlassen werden."
"ERROR_CLAN_DUPLICATE_NAME_TAG"	"Ein Clan mit diesem Namen/Kürzel existiert bereits."
"ERROR_CLAN_INVALID_NAME"	"Nur Buchstaben des lateinischen Alphabets, Zahlen und Leerstellen sind gestattet. Verfügbarer Platz: 3 bis 16 Symbole."
"ERROR_CLAN_INVALID_TAG"	"Nur Buchstaben des lateinischen Alphabets sind gestattet. Verfügbarer Platz: 2 bis 4 Symbole."
"ERROR_CLAN_JOIN_LOCKOUT_INVITEE"	"Dieser Spieler kann nicht in einen Clan eingeladen werden, da er kürzlich einen anderen Clan verlassen hat. Bitte warte für $time_left$ und versuche es erneut."
"ERROR_CLAN_MAX_SIZE_REACHED"	"Die maximale Clangröße wurde erreicht."
"ERROR_CLAN_MOTD_TOO_LONG"	"Die maximale Länge der Nachricht wurde überschritten."
"ERROR_CLAN_NOT_INVITED"	"Du wurdest nicht eingeladen."
"ERROR_CLAN_NOT_IN_CLAN"	"Du bist kein Mitglied in einem Clan."
"ERROR_CLAN_NOT_LEADER"	"Diese Aktion ist dem Clanleader vorbehalten."
"ERROR_CLAN_NOT_MEMBER"	"Dieser Spieler ist kein Clanmitglied."
"ERROR_CLAN_PLAYER_OFFLINE"	"Dieser Spieler ist offline."
"ERROR_CLAN_WARS_WRONG_SEASON"	"Ungültige Clan-Wars-Saison."
"ERROR_CONNECTION_LOST"	"Verbindung zum Server verloren."
"ERROR_CONTENT_UPDATE_FAILED"	"Aktualisierung der Inhalte fehlgeschlagen."
"ERROR_CONTENT_UPDATE_NOT_AVAILABLE"	"Content-Update verfügbar."
"ERROR_CONTENT_UPDATE_WRITE_FILE_FAILED"	"Dateischreibfehler. Versuche, mehr Speicherplatz freizugeben."
"ERROR_CRAFT_CRAFTSMAN_BUSY"	"Der Craftsman ist beschäftigt."
"ERROR_CRAFT_CRAFTSMAN_BUSY craft"	"Der Craftsman ist bereits mit der Herstellung eines Bauteils beschäftigt."
"ERROR_CRAFT_CRAFTSMAN_HIRED_ALREADY"	"Dieser Craftsman wurde bereits angeworben."
"ERROR_CRAFT_CRAFTSMAN_LOW_GRADE"	"Die Herstellung erfordert ein höheres Craftsman-Level."
"ERROR_CRAFT_CRAFTSMAN_MAX_GRADE"	"Der Craftsman ist bereits auf dem höchsten Level."
"ERROR_CRAFT_CRAFTSMAN_NOT_HIRED"	"Der Craftsman wurde nicht angeworben."
"ERROR_CRAFT_CRAFTSMAN_NOT_WORKING"	"Herstellung nicht verfügbar."
"ERROR_CRAFT_CRAFTSMAN_REQUIRE_FACTION"	"Der Craftsman muss zu einer bestimmten Fraktion gehören."
"ERROR_CRAFT_CRAFTSMAN_REQUIRE_LEVEL"	"Der Craftsman erfordert ein bestimmtes Level."
"ERROR_CRAFT_INSUFFICIENT_COMPONENTS"	"Unzureichende Komponenten."
"ERROR_CRAFT_NOT_DONE"	"Der Konstruktionsauftrag wurde noch nicht abgeschlossen."
"ERROR_CRAFT_NO_STAMINA"	"Dem Craftsman ist die Energie ausgegangen."
"ERROR_CRAFT_RECIPE_CRAFT_LIMIT"	"Du hast die maximale Anzahl an Bauteilen dieses Typs gebaut."
"ERROR_CRAFT_RECIPE_REQUIRE_LEVEL"	"Unzureichende Reputation."
"ERROR_CRAFT_VERSION_ERROR"	"Craft Setting Versionsfehler."
"ERROR_DAILY_LOGIN_ALREADY_REWARDED"	"Die tägliche Belohnung wurde bereits erhalten."
"ERROR_DATABASE"	"Unbekannter Datenbankfehler."
"ERROR_DISCONNECT_CLIENT_QUIT"	"Client gentle quit"
"ERROR_DOUBLE_LOGIN_KICKED"	"Ein anderer PC ist gerade mit diesem Konto verbunden."
"ERROR_DSFARM_FAILED_TO_SPAWN"	"DS Farm: Server kann nicht gespawnt werden."
"ERROR_DSFARM_NO_ACTIVE_SERVERS"	"DS Farm: Keine Aktiven Server."
"ERROR_DSFARM_NO_DS_PROCESS_FOUND"	"Interner Serverfehler."
"ERROR_DYE_NOT_FUSIBLE"	"Diese Farbe kann nicht gemischt werden."
"ERROR_ENTER_CAPTCHA"	"Du musst den Text aus dem Bild eingeben."
"ERROR_FACTION_CHANGE_TIMEOUT"	"Du kannst die Fraktion nicht zu häufig wechseln. Versuche es erneut in: $time_left$."
"ERROR_FL_ACCEPTS_ONLY_FROM_FRIENDS"	"Dieser Spieler akzeptiert nur Anfragen von Freunden."
"ERROR_FL_ALREADY_FRIENDS"	"Der Spieler befindet sich bereits auf der Freundesliste."
"ERROR_FL_CANT_FRIEND_SELF"	"Du kannst dich nicht zu deiner eigenen Freundesliste hinzufügen."
"ERROR_FL_NOT_FOUND"	"Spieler nicht gefunden."
"ERROR_FL_NOT_FRIENDS"	"Der Spieler ist nicht auf der Freundesliste."
"ERROR_FL_REQUEST_ALREADY_SENT"	"Freundschaftsanfrage wurde bereits versendet."
"ERROR_FL_WRONG_STATE"	"Kann Freund nicht auf die Blacklist setzen."
"ERROR_FL_YOU_ARE_IN_BLACK_LIST"	"Dieser Überlebende hat dich auf die Blacklist gesetzt."
"ERROR_FORBIDDEN_IN_MM_QUEUE"	"Diese Aktion kann in der Warteschlange nicht ausgeführt werden."
"ERROR_GAIJIN_2STEP_ERROR"	"Fehler bei der Zwei-Stufen-Autorisierung mit Gaijin.Net."
"ERROR_GAIJIN_2STEP_REQUIRED"	"Zwei-Stufen-Autorisierung mit Gaijin.Net erforderlich."
"ERROR_GAIJIN_ALREADY_STEAM_LINKED"	"Fehler bei der Verknüpfung der Konten. Bitte den Kundendienst kontaktieren."
"ERROR_GAIJIN_BAD_CREDENTIALS"	"Gaijin.net Login oder Passwort ungültig."
"ERROR_GAIJIN_FROZEN"	"Dieses Gaijin.net Konto wurde gesperrt. Bitte setzen Sie sich mit dem Kundendienst in Verbindung."
"ERROR_GAIJIN_GENERIC_ERROR"	"Gaijin.net-Fehler."
"ERROR_GAIJIN_NOT_FOUND_DMM"	"Dein DMM-Konto hat die Datenverbindung mit dem Gaijin-Konto noch nicht beendet. Um \"Crossout\" spielen zu können, sind Gaijin Account und Datenlink erforderlich.||Bitte stelle die Datenverbindung zwischen DMM-Mitgliedskonto und dem Gaijin-Konto her, indem du den folgenden Link und die enthaltenen Anweisungen befolgst:||$url href=\"http://crossout.dmm.com/lp/register\"  text=\"http://crossout.dmm.com/lp/register\"$\""
"ERROR_GAIJIN_REFUND_KICKED"	"Dein Konto wurde deaktiviert, da du '$bundle_name$' rückerstatten lassen hast. Bitte wende dich an den $url href=\"https://support.gaijin.net/hc/en-us/categories/200612042-CROSSOUT\" text=\"Kundendienst\"$"
"ERROR_GAMEDATA_ERROR"	"Fehler in den Spieldateien."
"ERROR_GARAGE_SLOT_LEVIATHAN_EXPECTED"	"Du kannst den Fahrzeug Slot nicht auswählen."
"ERROR_GARAGE_SLOT_NO_LEVIATHAN_EXPECTED"	"Du kannst den Leviathan Slot nicht auswählen."
"ERROR_GENERIC"	"Unbekannter Fehler."
"ERROR_GENERIC_NOT_FOUND"	"Netzwerkverbindung unterbrochen. Bitte erneut versuchen."
"ERROR_HTTP_ERROR_WITH_META"	"Verbosity-Fehler."
"ERROR_HTTP_UNKNOWN"	"Unerwarteter HTTP-Fehler."
"ERROR_INSUFFICIENT_CONSUMABLE"	"Unzureichende Verbrauchsgüter."
"ERROR_INSUFFICIENT_MONEY"	"Unzureichende Coins. Verkaufe Beute oder hergestellte Bauteile auf dem Markt um Coins zu verdienen.|Alternativ kannst du sie im Shop kaufen."
"ERROR_INSUFFICIENT_MONEY_PS4"	"Unzureichende Coins. Verkaufe Beute oder hergestellte Bauteile auf dem Markt um Coins zu verdienen.|Alternativ kannst du sie im PlayStation™Store kaufen."
"ERROR_INSUFFICIENT_MONEY_XBONE"	"Unzureichende Coins. Verkaufe Beute oder hergestellte Bauteile auf dem Markt um Coins zu verdienen.|Alternativ kannst du sie im Xbox Store kaufen."
"ERROR_INSUFFICIENT_REPAIR_KIT"	"Unzureichende Reparaturkits."
"ERROR_INSUFFICIENT_RESOURCES"	"Unzureichende Ressourcen. Erwerbe Ressourcen auf dem Markt oder erhalte sie durch die Teilnahme an Gefechten."
"ERROR_INSUFFICIENT_STAMINA"	"Unzureichendes Benzin für den Start eines Raids. Kaufe Benzin auf dem Markt oder erspiele es im PvP-Modus durch ein Benzinfass."
"ERROR_INVALID_CAR_DESIGN"	"Ungültige Blaupause."
"ERROR_INVALID_FINGERPRINT"	"Zugriff aufgrund abweichender PC-Konfiguration verweigert. Bitte $url href=\"https://support.gaijin.net/hc/en-us/categories/200612042-CROSSOUT\" text=\"kontaktiere den Kundendienst\"$"
"ERROR_INVALID_FUNCTION"	"Ungültiger Funktionsname."
"ERROR_INVALID_GARAGE_SLOT"	"Ungültiger Garagenplatz."
"ERROR_INVALID_PARAMS"	"Ungültige Parameter."
"ERROR_INVALID_TOKEN_PROVIDED"	"Ungültiges Token."
"ERROR_INVENTORY_FULL"	"Lager voll."
"ERROR_INVENTORY_NOT_ENOUGH_ITEMS"	"Unzureichende Gegenstände."
"ERROR_INVENTORY_NO_SUCH_ITEM"	"Dieser Gegenstand existiert nicht."
"ERROR_INVENTORY_UNIQUE_ITEM"	"Du kannst nur einen Gegenstand dieser Art besitzen."
"ERROR_IP_BANNED"	"Deine IP-Adresse ist blockiert."
"ERROR_ITEM_NON_SALVAGEABLE"	"Dieses Objekt kann nicht zerlegt werden."
"ERROR_ITEM_NOT_FUSEABLE"	"Kein Upgrade für dieses Bauteil möglich."
"ERROR_ITEM_NOT_FUSIBLE"	"Dieses Bauteil kann nicht verbessert werden."
"ERROR_ITEM_SAME_FLAG_ALREADY_ACTIVE"	"Du hast bereits eine aktive Flagge - warte, bis sie ausläuft."
"ERROR_KICKED"	"Du wurdest blockiert."
"ERROR_LB_NOT_AVAILABLE"	"Wertung nicht verfügbar."
"ERROR_LEVIATHAN_ALREADY_ACTIVE"	"Der Leviathan des Spielers ist bereits aktiv."
"ERROR_LEVIATHAN_LOCKED"	"Ein aktiver Leviathan kann nicht bearbeitet werden."
"ERROR_LEVIATHAN_MIN_PLAYER_LEVEL"	"Du benötigst ein höheres Level bei den \"Engineers\", um diesen Modus spielen zu können."
"ERROR_LEVIATHAN_NOT_ACTIVE"	"Der Leviathan des Spielers ist inaktiv."
"ERROR_LEVIATHAN_SERVICE_UNAVAILABLE"	"Leviathane sind gegenwärtig nicht verfügbar."
"ERROR_LEVIATHAN_WRONG_STATE"	"Ungültiger Zustand des Leviathans."
"ERROR_LOBBY_ALREADY_INVITED"	"Spieler wurde bereits eingeladen."
"ERROR_LOBBY_ALREADY_MEMBER"	"Spieler befindet sich bereits in der Lobby."
"ERROR_LOBBY_CANT_CREATE"	"Lobbyerstellung fehlgeschlagen."
"ERROR_LOBBY_COOP_FORBIDDEN"	"Gefechte gegen die KI sind in diesem Modus nicht verfügbar."
"ERROR_LOBBY_DIFFICULTY_NOT_AVAILIABLE"	"Schwierigkeitseinstellung nicht verfügbar."
"ERROR_LOBBY_FULL"	"Lobby ist voll."
"ERROR_LOBBY_GAMEMODE_NOT_AVAILABLE"	"Dieser Spielmodus ist nicht verfügbar."
"ERROR_LOBBY_MAP_NOT_AVAILABLE"	"Diese Karte ist nicht verfügbar."
"ERROR_LOBBY_NOT_AVAILIABLE_FOR_MODE"	"Einstellung für gewählten Spielmodus nicht verfügbar."
"ERROR_LOBBY_USER_IN_BATTLE"	"Spieler befindet sich im Gefecht"
"ERROR_LOBBY_USER_IN_PARTY"	"Spieler befindet sich in einer Gruppe"
"ERROR_LOBBY_USER_IN_QUEUE"	"Spieler befindet sich in der Warteschlange"
"ERROR_LOBBY_USER_NOT_FOUND"	"Benutzer nicht gefunden."
"ERROR_LOBBY_USER_OFFLINE"	"Spieler offline"
"ERROR_LOBBY_VALIDATION_ERROR"	"Einer der Spieler konnte für diese Lobby nicht validiert werden."
"ERROR_LTOKEN_ALREADY_HAS_LEADER"	"Service Leader existiert bereits."
"ERROR_LTOKEN_LEADERSHIP_LOST"	"Service hat Leadership verloren."
"ERROR_LTOKEN_NO_LEADER_FOUND"	"Service Leader existiert nicht."
"ERROR_MALICIOUS_KICKED"	"Du wurdest wegen unangebrachten Verhaltens entfernt."
"ERROR_MISSION_NOT_SCHEDULED"	"Die gewählte Mission ist momentan nicht verfügbar."
"ERROR_MISSION_NOT_SELECTED"	"Die Auswahl einer Mission ist erforderlich."
"ERROR_MISSION_REQUIRE_GEAR_LEVEL"	"Unuzreichende Power Score für die ausgewählte Mission."
"ERROR_MISSION_REQUIRE_LEVEL"	"Diese Mission erfordert ein bestimmtes Level."
"ERROR_MISSION_REQUIRE_MISSION"	"Erfordert die Erfüllung der vorausgehenden Mission."
"Error_MISSION_REQUIRE_MONEY_BET"	"Unzureichende Ressourcen für eine Wette."
"ERROR_MISSION_REQUIRE_PERK"	"Diese Mission erfordert ein bestimmtes Gebäude."
"ERROR_MM_ALREADY_IN_GAME"	"Der Spieler ist bereits im Spiel."
"ERROR_MM_ALREADY_IN_QUEUE"	"Der Spieler befindet sich bereits in der Warteschlange."
"ERROR_MM_CANT_RESERVE_SLOTS"	"Plätze können nicht reserviert werden."
"ERROR_MM_CANT_SPAWN_GAME"	"Starten einer Sitzung fehlgeschlagen."
"ERROR_MM_CANT_START_CUSTOM"	"Start der benutzerdefinierten Spielsitzung fehlgeschlagen."
"ERROR_MM_CARDESIGN_CHECK"	"Das Ändern des Fahrzeugs oder seiner Bauteile ist nach dem Einreihen in die Warteschlange verboten."
"ERROR_MM_CLAN_WARS_ACCESS"	"Zugriff auf Clan-Gefechte eingeschränkt."
"ERROR_MM_CLAN_WARS_EXACT_PLAYERS"	"4 Spieler pro Team notwendig."
"ERROR_MM_CLAN_WARS_SAME_CLAN"	"Die Spieler müssen dem selben Clan angehören."
"ERROR_MM_FAILED_ADD_IN_QUEUE"	"Einreihen in die Warteschlange fehlgeschlagen."
"ERROR_MM_INVALID_ACTION"	"Ungültige Aktion."
"ERROR_MM_INVALID_USER"	"Ungültiger Nutzer."
"ERROR_MM_LADDER_SEASON_OUTDATED"	"Wertungen aktualisiert. Bitte erneut in die Warteschlange einreihen."
"ERROR_MM_MAINTENANCE_ACTIVE"	"Die Server werden momentan Wartungsarbeiten unterzogen."
"ERROR_MM_MISSION_CHECK"	"Missions-Validierungsfehler."
"ERROR_MM_NOT_IN_QUEUE"	"Spieler ist nicht in der Warteschlange."
"ERROR_MM_NO_DSFARMS_AVAILABLE"	"Keine DS-Farms verfügbar."
"ERROR_MM_NO_SERVERS_FOR_REGION"	"Keine verfügbaren Server in der ausgewählten Region."
"ERROR_MM_OTHER_CLAN_RESERVE_FAILED"	"Der gegnerische Clan konnte nicht validiert werden."
"ERROR_MM_PARTY_CONFLICTED_QUEUES"	"Die Mitglieder der Gruppe befinden sich in unterschiedlichen Warteschlangen."
"ERROR_MM_PARTY_TO_FFA"	"Dieser Mission kann sich nicht in einer Gruppe angeschlossen werden."
"ERROR_MM_ROTATION_CHANGED"	"Die Missionsrotation hat sich geändert."
"ERROR_MM_TOO_FEW_PLAYERS"	"Nicht genügend Spieler in der Gruppe, um an diesem Modus teilzunehmen."
"ERROR_MM_TOO_MANY_PLAYERS"	"Zu viele Spieler in der Gruppe, um an diesem Modus teilzunehmen."
"ERROR_MM_UNAVAILABLE"	"Matchmaking ist gegenwärtig nicht verfügbar."
"ERROR_MM_USER_CLAN_CHANGED"	"Der Clan eines Spielers hat sich geändert."
"ERROR_MM_USER_WAS_IN_GAME"	"Spieler bereits im Gefecht."
"ERROR_NETWORK"	"Verbindung zu den Crossout-Servern fehlgeschlagen. Bitte später erneut versuchen oder den Kundendienst kontaktieren."
"ERROR_NICKNAME_INVALID"	"Unzulässiger Name"
"ERROR_NICKNAME_TAKEN"	"Dieser Nickname ist bereits vergeben."
"ERROR_NOT_LOGGED_IN"	"Du musst dich erst autorisieren."
"ERROR_NO_CAR_DESIGN"	"Diese Blaupause existiert nicht."
"ERROR_NO_QUEST_REPICK_TODAY"	"Heute können keine Missionen mehr gewechselt werden."
"ERROR_NO_SUCH_QUEST"	"Quest nicht gefunden."
"ERROR_OK"	"Absolut keine Fehler aufgetreten!"
"ERROR_OPERATION_CANCELLED"	"Operation abgebrochen."
"ERROR_PARSE_ERROR"	"Parsing-Fehler bei Anfrage."
"ERROR_PARTY_ALREADY_MEMBER"	"Der Spieler befindet sich bereits in der Gruppe."
"ERROR_PARTY_CANT_INVITE_SELF"	"Du kannst dich nicht in deine eigene Gruppe einladen."
"ERROR_PARTY_FULL"	"Diese Gruppe ist bereits voll."
"ERROR_PARTY_INVALID_STATE"	"Dem Gefecht kann sich nicht als Gruppe angeschlossen werden, da ein Spieler deine Einladung nicht angenommen hat."
"ERROR_PARTY_MISSION_FORBIDDEN"	"Diese Mission ist nicht verfügbar."
"ERROR_PARTY_NOT_INVITED"	"Der Spieler wurde nicht in die Gruppe eingeladen."
"ERROR_PARTY_NOT_LEADER"	"Spieler ist nicht Anführer der Gruppe."
"ERROR_PARTY_NOT_MEMBER"	"Der Spieler ist nicht in der Gruppe."
"ERROR_PARTY_PLAYER_IN_LOBBY"	"Die Einladung zu einer Gruppe kann in der Lobby nicht angenommen werden"
"ERROR_PARTY_PLAYER_OFFLINE"	"Dieser Spieler ist offline."
"ERROR_PARTY_SOMEONE_LEAVE"	"Ein Spieler hat die Gruppe verlassen."
"ERROR_PARTY_VALIDATION_ERROR"	"Die Gruppe konnte sich nicht der Warteschlange anschließen."
"ERROR_PENDING"	"Asynchrone Operation läuft."
"ERROR_PERK_CONFLICT_OTHER_PERK"	"Kann nicht bauen.||Du musst $exclude_perk$ abreißen, da es den Bau blockiert."
"ERROR_PERK_INALIENABLE"	"Das Hauptgebäude des Basislagers kann nicht entfernt werden."
"ERROR_PERK_INUSE_CRAFTSMAN"	"Das Gebäude kann nicht abgerissen werden, da es gerade von einem Craftsman genutzt wird.||Du musst den Craftsman erst entlassen."
"ERROR_PERK_INUSE_TRADE"	"Kann Gebäude nicht abreißen, da davon bereitgestellte Handelsplätze genutzt werden.|Entferne zuerst einige der Verkaufsaufträge."
"ERROR_PERK_INUSE_WORKPLACE"	"Dieses Gebäude kann nicht abgerissen werden, da es als Werkstatt genutzt wird."
"ERROR_PERK_MAX_GRADE"	"Gebäude @ff00ff00$perk_name$$restore$ ist bereits auf maximaler Stufe."
"ERROR_PERK_NO_GRADE"	"Kann ein Gebäude, das noch nicht gebaut wurde, nicht abreißen."
"ERROR_PERK_NO_POINTS"	"Unzureichende Bevölkerungspunkte des Basislagers für den Bau.||Erhöhe dein Level in Gefechten, um weitere Menschen anzulocken."
"ERROR_PERK_OTHER_REQUIRE"	"Kann @ff00ff00$perk_name$$restore$ nicht abreißen, da es für die fehlerfreie Funktion von @ffff0000$next_perk$$restore$ erforderlich ist.||Du musst @ffff0000$next_perk$$restore$ zuerst abreißen."
"ERROR_PERK_REQUIRE_MORE_UNLOCKED_PERK"	"Du benötigst mehr Gebäude."
"ERROR_PERK_REQUIRE_OTHER_PERK"	"Die Konstruktion @ff00ff00$perk_name$$restore$ erfordert den Bau von $require_perk$$require_perk_lvl$.||Baue zuerst $require_perk$$require_perk_lvl$."
"ERROR_PLACED_INTO_LOGIN_QUEUE"	"Du wurdest in die Login-Warteschlange gesetzt."
"ERROR_PLAYER_OFFLINE"	"Der Spieler ist offline."
