"2STEP_AUTHORIZATION_ENABLED"	"Your account is protected."
"Dye_Grey03_Desc"	"Spray Can.|Can colour most parts."
"Dye_Grey03_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Grey03_glossy_Name"	"Heavy clouds metallic"
"Dye_Grey03_Name"	"Heavy clouds"
"Dye_Grid_Desc"	"Paint and material|Can treat most parts."
"Dye_Grid_Name"	"Material: Grid"
"Dye_Khaki01_Desc"	"Spray Can.|Can colour most parts."
"Dye_Khaki01_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Khaki01_glossy_Name"	"Khaki 1 metallic"
"Dye_Khaki01_Name"	"Khaki 1"
"Dye_Khaki02_Desc"	"Spray Can.|Can colour most parts."
"Dye_Khaki02_Name"	"Khaki 2"
"Dye_Khaki03_Desc"	"Spray Can.|Can colour most parts."
"Dye_Khaki03_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Khaki03_glossy_Name"	"Khaki 3 metallic"
"Dye_Khaki03_Name"	"Khaki 3"
"Dye_NewYear2016_Desc"	"Happy New Year!"
"Dye_NewYear2016_Name"	"New Year"
"Dye_Orange01_Desc"	"Spray Can.|Can colour most parts."
"Dye_Orange01_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Orange01_glossy_Name"	"Daffodil metallic"
"Dye_Orange01_Name"	"Daffodil"
"Dye_Orange02_Desc"	"Spray Can.|Can colour most parts."
"Dye_Orange02_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Orange02_glossy_Name"	"Last dusk metallic"
"Dye_Orange02_Name"	"Last dusk"
"Dye_Orange_Desc"	"Spray Can.|Can colour most parts."
"Dye_Orange_Name"	"Orange"
"Dye_Pink01_Desc"	"Spray Can.|Can colour most parts."
"Dye_Pink01_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Pink01_glossy_Name"	"Gamma rays metallic"
"Dye_Pink01_Name"	"Gamma rays"
"Dye_Pink02_Desc"	"Spray Can.|Can colour most parts."
"Dye_Pink02_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Pink02_glossy_Name"	"Coral metallic"
"Dye_Pink02_Name"	"Coral"
"Dye_Red01_Desc"	"Spray Can.|Can colour most parts."
"Dye_Red01_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Red01_glossy_Name"	"Red giant metallic"
"Dye_Red01_Name"	"Red giant"
"Dye_Red02_Desc"	"Spray Can.|Can colour most parts."
"Dye_Red02_Name"	"Red 2"
"Dye_Red03_Desc"	"Spray Can.|Can colour most parts."
"Dye_Red03_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Red03_glossy_Name"	"Victory metallic"
"Dye_Red03_Name"	"Victory"
"Dye_Red4_Desc"	"Spray Can.|Can colour most parts."
"Dye_Red4_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Red4_glossy_Name"	"Red Moon"
"Dye_Red4_Name"	"Dark red"
"Dye_RedBlue_Desc"	"Paint and material|Can treat most parts."
"Dye_RedBlue_Name"	"Cold flame"
"Dye_Rusted_Desc"	"Paint and material|Can treat most parts."
"Dye_Rusted_Name"	"Material: Rust"
"Dye_Sand01_Desc"	"Spray Can.|Can colour most parts."
"Dye_Sand01_Name"	"Sand 1"
"Dye_Sand02_Desc"	"Spray Can.|Can colour most parts."
"Dye_Sand02_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Sand02_glossy_Name"	"Mirage metallic"
"Dye_Sand02_Name"	"Mirage"
"Dye_SandCamuflage_Desc"	"Paint and patterns.|Can colour most parts."
"Dye_SandCamuflage_Name"	"Pattern: Dune"
"Dye_Sand_Desc"	"Spray Can.|Can colour most parts."
"Dye_Sand_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Sand_glossy_Name"	"Sandstorm metallic"
"Dye_Sand_Name"	"Sandstorm"
"Dye_SeaCamuflage_Desc"	"Paint and patterns.|Can colour most parts."
"Dye_SeaCamuflage_Name"	"Pattern: Sea"
"Dye_SkyBlue_Desc"	"Spray Can.|Can colour most parts."
"Dye_SkyBlue_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_SkyBlue_glossy_Name"	"Clear sky metallic"
"Dye_SkyBlue_Name"	"Clear sky"
"Dye_UrbanCamouflage_Desc"	"Paint and patterns.|Can colour most parts."
"Dye_UrbanCamouflage_Name"	"Pattern: Urban"
"Dye_Valentine2016_Desc"	"A special festive colouring scheme."
"Dye_Valentine2016_Name"	"Valentine"
"Dye_Violet01_Desc"	"Spray Can.|Can colour most parts."
"Dye_Violet01_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Violet01_glossy_Name"	"Electron metallic"
"Dye_Violet01_Name"	"Electron"
"Dye_Violet02_Desc"	"Spray Can.|Can colour most parts."
"Dye_Violet02_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Violet02_glossy_Name"	"Ocean metallic"
"Dye_Violet02_Name"	"Ocean"
"Dye_WarmRed_Desc"	"Spray Can.|Can colour most parts."
"Dye_WarmRed_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_WarmRed_glossy_Name"	"Embers metallic"
"Dye_WarmRed_Name"	"Embers"
"Dye_White01_Desc"	"Spray Can.|Can colour most parts."
"Dye_White01_Name"	"White 1"
"Dye_White_Desc"	"Spray Can.|Can colour most parts."
"Dye_White_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_White_glossy_Name"	"White Sun"
"Dye_White_Name"	"White"
"Dye_Yellow01_Desc"	"Spray Can.|Can colour most parts."
"Dye_Yellow01_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Yellow01_glossy_Name"	"Spark metallic"
"Dye_Yellow01_Name"	"Spark"
"Dye_Yellow02_Desc"	"Spray Can.|Can colour most parts."
"Dye_Yellow02_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Yellow02_glossy_Name"	"Burning sun metallic"
"Dye_Yellow02_Name"	"Burning sun"
"Dye_Yellow03_Desc"	"Spray Can.|Can colour most parts."
"Dye_Yellow03_glossy_Desc"	"Spray Can.|Can colour most parts."
"Dye_Yellow03_glossy_Name"	"Bumblebee metallic"
"Dye_Yellow03_Name"	"Bumblebee"
"GarbageGun_Spread_Decreasing_DESC"	"The higher the car's speed, the more accurate its weapons become. Maximum accuracy is achieved at 60 km/h."
"GazelleBase_desc"	"A cabin, wheels and nothing more."
"GazelleBase_name"	"Minivan chassis"
"ItemDesc_ConstructionBonus"	"Increases vehicle durability by @ff00ff00$car_health$@ffffffff"
"ItemDesc_ExpBonus"	"Increases reputation gain after battle by @ff00ff00$exp_reward_bonus$@ffffffff%"
"item_test_piece_desc"	"Used to build the SUPER Gun. Collect 10 components and build the whole gun at the Engineer Craftsman."
"item_test_piece_name"	"SUPER Gun component"
"KamazBase_desc"	"A cabin, wheels and nothing more."
"KamazBase_name"	"Truck chassis"
"KamazGrad_desc"	"Advanced design with complex weapons and modules."
"KamazGrad_name"	"Hail Truck"
"Machinegun_Overheating_DESC"	"The higher the weapon's temperature, the higher its damage. At full heat damage increases by $damage_overheat_mul$%."
"mat_KhakiDark01_Desc"	"Paint and material|Can treat most parts."
"mat_KhakiDark01_Name"	"Pattern: Pine"
"metal_AlienColor_Desc"	"Paint and material|Can treat most parts."
"metal_AlienColor_Name"	"Material: Quartz"
"metal_BlackIron_Desc"	"Spray Can.|Can colour most parts."
"metal_BlackIron_Name"	"Quicksilver"
"metal_KnightIron_Desc"	"Spray Can.|Can colour most parts."
"metal_KnightIron_Name"	"Material: Plate steel"
"metal_LSedan_Desc"	"Spray Can.|Can colour most parts."
"metal_LSedan_Name"	"Eggplant"
"metal_oil_Desc"	"Simple oil."
"metal_oil_Name"	"Oil"
"metal_PoliceBlack_Desc"	"Spray Can.|Can colour most parts."
"metal_PoliceBlack_Name"	"Bad cop"
"metal_PoliceWhite_Desc"	"Spray Can.|Can colour most parts."
"metal_PoliceWhite_Name"	"Good cop"
"metal_Yellow03_desc"	"Spray Can.|Can colour most parts."
"metal_Yellow03_name"	"El Dorado"
"NewGazelDrone_desc"	"Advanced design with complex weapons and modules."
"NewGazelDrone_name"	"Quadrocopter Minivan"
"NewGazelle_desc"	"Equipped with basic weapons and ready to go."
"NewGazelle_name"	"Basic Minivan"
"NewKamazTank_desc"	"Advanced design with complex weapons and modules."
"NewKamazTank_name"	"Tank'n'Gun"
"NewKamaz_desc"	"Equipped with basic weapons and ready to go."
"NewKamaz_name"	"Basic Truck"
"NewPickupMiner_desc"	"Advanced design with complex weapons and modules."
"NewPickupMiner_name"	"Minelayer Pickup"
"NewPickupRocket_desc"	"Advanced design with complex weapons and modules."
"NewPickupRocket_name"	"Rocketeer Pickup"
"NewPickup_desc"	"Equipped with basic weapons and ready to go."
"NewPickup_name"	"Basic Pickup"
"PARTINFO_ACCELERATION_TITLE"	"Acceleration"
"PARTINFO_CRIT_MASS_TITLE"	"Mass limit"
"PARTINFO_POWER_GEN_TITLE"	"Adds energy"
"PARTINFO_TONNAGE_TITLE"	"Tonnage"
"PARTSFILTER_8_Resource"	"Resources"
"PARTTYPE_10_15_Cabin_Light"	"Light cabin"
"PARTTYPE_10_16_Cabin_Medium"	"Medium cabin"
"PARTTYPE_10_17_Cabin_Medium"	"Medium cabin"
"PARTTYPE_10_18_Cabin_Heavy"	"Heavy cabin"
"PARTTYPE_10_19_Cabin_Tank"	"Tank cabin"
"PARTTYPE_10_20_Cabin"	"Cabin"
"PARTTYPE_10_20_Chassis"	"Frame block"
"PARTTYPE_10_frenzied_armor"	"Buggy part"
"PARTTYPE_20_10_Machinegun"	"Machine gun"
"PARTTYPE_20_11_AutoWeapon"	"Automatic weapon"
"PARTTYPE_20_12_Revolver"	"Revolver"
"PARTTYPE_20_15_MachinegunFrontal"	"Frontal machine gun"
"PARTTYPE_20_17_Minigun"	"Minigun"
"PARTTYPE_20_20_Shotgun"	"Shotgun"
"PARTTYPE_20_30_ShotgunFrontal"	"Frontal shotgun"
"PARTTYPE_20_40_AutoCannon"	"Auto-cannon"
"PARTTYPE_20_44_Harpoon"	"Harpoon"
"PARTTYPE_20_45_Crossbow"	"Crossbow"
"PARTTYPE_20_46_Laser"	"Combat laser"
"PARTTYPE_20_47_Energy"	"Energy weapon"
"PARTTYPE_20_47_PlazmaGun"	"Plasma Gun"
"PARTTYPE_20_48_Plazma"	"Plasma emitter"
"PARTTYPE_20_49_Tesla"	"Tesla emitter"
"PARTTYPE_20_50_CannonFrontal"	"Cannon"
"PARTTYPE_20_55_Howitzer"	"Howitzer"
"PARTTYPE_20_60_Cannon"	"Turret cannon"
"PARTTYPE_20_70_GrenadeLauncher"	"Grenade launcher"
"PARTTYPE_20_75_Flamethrower"	"Flamethrower"
"PARTTYPE_20_80_CourseMissile"	"Unguided rocket"
"PARTTYPE_20_85_CourseMissileBurst"	"Unguided rockets"
"PARTTYPE_20_85_GuidedMissile"	"Guided missile"
"PARTTYPE_20_90_HomingMissile"	"Homing missile"
"PARTTYPE_20_90_Minelayer"	"Minelayer"
"PARTTYPE_20_95_HomingMissileBurst"	"Homing missile volley"
"PARTTYPE_20_97_Railgun"	"Pulse accelerator"
"PARTTYPE_20_mechanics_van"	"Van part"
"PARTTYPE_22_MeleeActive"	"Melee weapon"
"PARTTYPE_23_MeleeExplosive"	"Explosives"
"PARTTYPE_30_10_PassiveModule_Engine"	"Engine"
"PARTTYPE_30_20_PassiveModule_Generator"	"Generator"
"PARTTYPE_30_30_PassiveModule_Ammo"	"Ammunition"
"PARTTYPE_30_40_PassiveModule_Fuel"	"Fuel"
"PARTTYPE_30_50_PassiveModule_Cooler"	"Cooling module"
"PARTTYPE_30_60_PassiveModule_Radar"	"Radar"
"PARTTYPE_30_70_PassiveModule_Radio"	"Radio"
"PARTTYPE_30_PassiveModule"	"Passive module"
"PARTTYPE_30_vagabonds_avia"	"Plane part"
"PARTTYPE_35_10_ActiveModule_Stealth"	"Stealth"
"PARTTYPE_35_15_ActiveModule_SelfCalc"	"Weapon booster"
"PARTTYPE_35_20_ActiveModule_Turret"	"Turret"
"PARTTYPE_35_30_ActiveModule_Drone"	"Drone"
"PARTTYPE_35_35_ActiveModule_WheelDrone"	"Wheel drone"
"PARTTYPE_35_40_ActiveModule_Nitro"	"Booster"
"PARTTYPE_35_50_ActiveModule_Aim"	"Visor"
"PARTTYPE_35_vagabonds_hotrod"	"Hot rod part"
"PARTTYPE_38_SpecialModule"	"Special module"
"PARTTYPE_39_CouplingModule"	"Coupling module"
"PARTTYPE_40_10_Wheel"	"Wheel"
"PARTTYPE_40_20_WheelSteering"	"Steering wheel"
"PARTTYPE_40_30_Track"	"Track"
"PARTTYPE_40_31_Shnek"	"Auger"
"PARTTYPE_40_40_Hover"	"Hover"
"PARTTYPE_40_50_MechaLeg"	"Mechanical leg"
"PARTTYPE_40_scavengers_truck"	"Container scrap"
"PARTTYPE_45_scavengers_pipes"	"Barrels and slopes"
"PARTTYPE_48_military_apc"	"APC part"
"PARTTYPE_50_10_StructureFrame"	"Frame part"
"PARTTYPE_50_15_frenzied_armor"	"Buggy part"
"PARTTYPE_50_20_mechanics_van"	"Van part"
"PARTTYPE_50_20_StructureArmor"	"Armor"
"PARTTYPE_50_20_StructureSolid"	"Structural part"
"PARTTYPE_50_23_mechanics_angle"	"Joint"
"PARTTYPE_50_25_mechanics_muscle"	"Torino part"
"PARTTYPE_50_30_Finisher"	"Exterior part"
"PARTTYPE_50_30_vagabonds_avia"	"Plane part"
"PARTTYPE_50_35_vagabonds_hotrod"	"Hot Rod part"
"PARTTYPE_50_40_MeleeAttack"	"Defence bumper"
"PARTTYPE_50_40_MeleeBumper"	"Bumper"
"PARTTYPE_50_40_MeleeDefence"	"Attack bumper"
"PARTTYPE_50_40_scavengers_truck"	"Container scrap"
"PARTTYPE_50_45_scavengers_pipes"	"Pipes"
"PARTTYPE_50_48_military_apc"	"APC part"
"PARTTYPE_50_50_MeleePassive"	"Passive melee weapon"
"PARTTYPE_50_80_MeleeBumper"	"Bumper"
"PARTTYPE_50_82_MeleePassive"	"Passive melee weapon"
"PARTTYPE_50_MeleePassive"	"Melee weapon"
"PARTTYPE_60_10_Decorum"	"Appearance"
"PARTTYPE_60_20_RoadSign"	"Sign"
"PARTTYPE_60_30_CarHorn"	"Horn"
"PARTTYPE_60_40_CarLights"	"Headlights"
"PARTTYPE_60_59_Eraser"	"Paint. Eraser"
"PARTTYPE_60_60_Dye"	"Paint"
"PARTTYPE_60_Decorum"	"Appearance"
"PARTTYPE_60_generic_armor"	"Armor plates"
"PARTTYPE_70_0_Eraser"	"Paint. Eraser"
"PARTTYPE_70_10_Pattern"	"Paint. Pattern"
"PARTTYPE_70_10_Skins"	"Customization"
"PARTTYPE_70_20_Decals"	"Sticker"
"PARTTYPE_70_20_Material"	"Paint. Material"
"PARTTYPE_70_29_Eraser"	"Paint. Eraser"
"PARTTYPE_70_30_Dye"	"Paint"
"PARTTYPE_70_Dye"	"Paint"
"PARTTYPE_70_unavailable"	"Unavailable"
"PARTTYPE_85_skins"	"Customization"
"PARTTYPE_88_Piece"	"Component"
"PARTTYPE_90_Consumable"	"Consumable"
"PARTTYPE_95_ResourcePack"	"Resource"
"PARTTYPE_ActiveModule"	"Active module"
"PARTTYPE_car_part_npc"	"Not for players! Enemy parts"
"PARTTYPE_decoration_fireworks"	"Fireworks"
"PARTTYPE_structure_armorplate"	"Armor plate"
"PARTTYPE_structure_mechanics_angle"	"Strut"
"PARTTYPE_structure_mechanics_muscle"	"Torino part"
"PARTTYPE_structure_scavengers_pipes"	"Pipes"
"PARTTYPE_structure_supercar"	"Corrida part"
"PARTTYPE_structure_Zubilo"	"“Bully” part"
"PARTTYPE_weapon_prototype"	"Not for players! Weapon prototype"
"PERK_ACCURATE_SHOOTER_DESC"	"A direct hit increases the weapon's damage by $perk_damage_mul$% for $perk_time$ sec. Stacks up to {$max_stack$;time;times}. Resets when you miss."
"Perk_AimSpeedMul_Desc"	"Speeds up aim time by $spread_dec_mul$%"
"Perk_AimSpeedMul_Name"	"Aim time"
"Perk_AmmoMul_Desc"	"Module effectiveness increased by 40%"
"Perk_AmmoMul_Name"	"Cartridge box"
"Perk_Ammo_Desc"	"Ammo reserves increased by $ammo_mul$%"
"Perk_Ammo_Name"	"More ammo"
"PERK_AMMO_REFUND_DESC"	"Every $max_stack$ direct hit in a row restores a round of your ammunition."
"PERK_AMMO_REFUND_MAMMOTH_DESC"	"Each direct hit returns a projectile to your ammo reserves"
"PERK_Anti_Dynamo_Biggun_DESC"	"Every $perk_param$ sec. of staying still increase damage by $perk_damage_mul$%. Stack up to {$max_stack$;time;times}."
"PERK_Armor_Piercing_120mm_DESC"	"Fires armor-piercing projectiles, exploding after piercing $projectile_piercing_strength$ pts. or $projectile_piercing_depth$ cm. of armor."
"PERK_Armor_Piercing_DESC"	"Fires armor-piercing projectiles exploding after penetration of $projectile_piercing_strength$ pts. or $projectile_piercing_depth$ cm. of armor."
"perk_atgm_desc"	"Missile can be controlled in flight."
"Perk_BlastDamage_Desc"	"Damage increased by $blast_damage_mul$%"
"Perk_BlastDamage_Name"	"Explosive"
"Perk_BlastRadius_Desc"	"Explosion radius increased by $blast_radius_mul$%"
"Perk_BlastRadius_Name"	"Incendiary"
"PERK_BLOODTHIRSTY_DESC"	"After a kill with this weapon, damage for weapons with the same name increases by $perk_damage_mul$% for $perk_time$ sec. Stacks up to {$max_stack$;time;times}."
"Perk_BoostMul_Desc"	"Acceleration increased by $boost_value_mul$%"
"Perk_BoostMul_Name"	"Light"
"Perk_BoundItem_Desc"	"This item can't be traded on the market."
"Perk_BoundItem_Name"	"Not for sale"
"Perk_BoundStartItem_Name"	"Starter item, not for sale"
"Perk_BulletDamage_Desc"	"Damage increased by $damage_mul$%"
"Perk_BulletDamage_Name"	"Dangerous"
"perk_burning_earth_desc"	"Explosion leaves a flammable liquid puddle dealing damage to all targets."
"PERK_BURST_SHOOTER_DESC"	"The enemy's cabin is dealt additional damage if all projectiles of the volley hit that target."
"PERK_Camper_DESC"	"Speeds up aim time for all weapons that have it by $spread_stat_dec_mul$% when stationary."
"Perk_CarHealth_Desc"	"Vehicle durability increased by $car_health_mul$%"
"Perk_CarHealth_Name"	"Armored"
"PERK_Chassis_Hover_DESC"	"Hovers above ground. Ignores all bumps and boasts high flip resistance."
"PERK_Chassis_Mecha_Leg_DESC"	"Reduces weapon recoil and increases incoming impulse resistance by $impulse_resistance_mul$%."
"PERK_Chassis_Shnek_DESC"	"Can move sideways and deal damage to enemy vehicles."
"PERK_Chassis_Track_DESC"	"Increased resistance to firearms damage and excellent grip."
"PERK_ConstructionBonus_DESC"	"@ffffffffIncreases vehicle durability by $cabin_health$"
"Perk_Cooldown_Desc"	"Module cooldown time reduced by $cooldown_mul$%"
"Perk_Cooldown_Name"	"Water-cooled"
"perk_Cooler_SpeedCooldown_desc"	"Has higher efficiency at lower speed. Maximum bonus: $heat_dec_low_speed$% at 0 km/h."
"PERK_Course_Cabin_DESC"	"Damage of weapons with limited turn angles increased by $nonrotated_weapon_damage_mul$%."
"Perk_CritTonnageMul_Desc"	"Maximum vehicle mass increased by $critical_mass_mul$%"
"Perk_CritTonnageMul_Name"	"Hauler"
"Perk_DeathBlastDamage_Desc"	"Explosion power reduced by $death_blast_damage_mul$%"
"Perk_DeathBlastDamage_Name"	"Safe"
"Perk_DeathBlastRadius_Desc"	"Explosion radius reduced by $death_blast_radius_mul$%"
"Perk_DeathBlastRadius_Name"	"Sealed"
"Perk_DetailCritTonnageMul_Desc"	"Mass limit increased by additional $critical_mass_add_mul$%"
"Perk_DetailCritTonnageMul_Name"	"Carrier"
"Perk_DetailHealth_Desc"	"Part durability increased by $health_mul$%"
"Perk_DetailHealth_good_Name"	"Welded"
"Perk_DetailHealth_great_Name"	"Heavy-duty"
"Perk_DetailHealth_Name"	"Reinforced"
"Perk_DetailHealth_normal_Name"	"Treated"
"Perk_DetailHealth_weak_Name"	"Patched"
"Perk_DetailTonnageMul_Desc"	"Tonnage increased by $tonnage_add_mul$%"
"Perk_DetailTonnageMul_Name"	"“Mule”"
"Perk_DetectionRadius_Name"	"Eagle-eyed"
"Perk_DroneDamageMul_Desc"	"Drone damage increased by $deploy_damage_mul$%"
"Perk_DroneDamageMul_Name"	"Dangerous"
"Perk_DroneHPMul_Desc"	"Drone durability increased by $deploy_health_mul$%"
"Perk_DroneHPMul_Name"	"Strengthened"
"PERK_ELECTRO_DESC"	"For every $perk_param$ m. the vehicle traverses, weapon damage increases by $perk_damage_mul$%. Stacks up to {$max_stack$;time;times}."
"PERK_ELECTRO_LANCE_DESC"	"For every $perk_param$ m. the vehicle traverses, weapon damage increases by $perk_damage_mul$%. Stacks up to {$max_stack$;time;times}."
"PERK_Engine_ExplodingPower_DESC"	"Requires 1 fewer energy pt., but upon destruction explodes for $death_blast_damage$ damage in a $death_blast_radius$ m. radius."
"PERK_Engine_ShootingCooldownSpeed_DESC"	"Car speed increases weapon and missile reload speed. Maximum effect $shooting_cooldown_mul_high_speed$% at 80 km/h."
"PERK_Engine_WeaponModulesCooldown_DESC"	"Reload speed for weapons, missiles, modules, turrets and drones increased by $shooting_cooldown_mul$%."
"PERK_EVISCERATOR_HARVESTER_DESC"	"Damage increases by $perk_damage_mul$% for each second of contact. Stacks up to {$max_stack$;time;times}."
"PERK_Firing_Resists_DESC"	"Has increased damage resistance. This perk is disabled when shooting."
"perk_Flamethrower_light_desc"	"Can project a steady stream of fire for a very long time."
"PERK_Hammerfall_duckface_fake_DESC"	"Shrapnel spread zone is in the shape of an oval flattened at the poles."
"perk_Harpoon_desc"	"Sticks to surfaces and car parts. Allies can detach the rope."
"Perk_HeatDec_Desc"	"Module effectiveness increased by $heat_dec_mul_mul$%"
"Perk_HeatDec_Name"	"Cryo-cooled"
"Perk_HeatMax_Desc"	"Module effectiveness increased by $heat_inc_mul_mul$%"
"Perk_HeatMax_Name"	"Thermostable"
"perk_homing_desc"	"Homing missiles track the closest target in the aiming cone and adjust flight trajectory accordingly."
"PERK_Homing_Laser_DESC"	"The missile is guided with a laser. It flies towards the point where the crosshairs meet the object."
"Perk_InfravisionRadius_Desc"	"Detection radius for enemies behind cover increased by $infravision_radius_mul$%"
"Perk_InfravisionRadius_Name"	"Full range"
"PERK_Invulnerable_Cabin_DESC"	"If the vehicle does not receive damage for $perk_time$ sec., energy weapon damage increases by $perk_damage_mul$%."
"perk_Last_bullet_desc"	"The final projectile in the clip deals 200% more damage."
"perk_Lazer_CALCINATION_desc"	"Heats up parts on hit. They receive up to 100% more damage depending on the amount of accumulated heat."
"PERK_LONG_RANGE_DESC"	"The further the target — the higher the damage. For every 100 m to current target, damage increases by $perk_damage_mul$%."
"perk_MachineGun_penetration_desc"	"Projectiles penetrate up to 1 m of armor."
"Perk_MaxRange_Desc"	"Maximum range increased by $max_range_mul$%"
"Perk_MaxRange_Name"	"Sniper"
"Perk_MaxSpreadMul_Desc"	"Spread reduced by $spread_stat_max_mul$%"
"Perk_MaxSpreadMul_Name"	"Stability"
"perk_MechaLeg_Cabin_desc"	"Maximum mechanical leg speed increased by 40%."
"PERK_Melee_Cabin_DESC"	"Increases damage dealt by melee weapons by $saw_damage_mul$%."
"PERK_Melee_Engine_ModulesCooldown_DESC"	"Module, turret, and drone reload speed increased by $skill_cooldown_mul$%."
"PERK_Melee_Engine_WeaponCooldown_DESC"	"Weapon and missile reload speed increased by $shooting_cooldown_mul$%."
"perk_nurs_desc"	"Unguided missiles follow parabolic trajectories. They are armed with proximity sensors and explode when close to the target"
"Perk_OptimalRange_Desc"	"Optimal range increased by $optimal_range_mul$%"
"Perk_OptimalRange_Name"	"Long-range"
"PERK_OVERCHARGE_DESC"	"The longer the weapon fires, the higher its damage. After $perk_time$ sec. of uninterrupted shooting damage increases by $perk_damage_mul$%."
"PERK_PIERCING_DESC"	"Projectiles pierce up to 2 m of any armor with slight damage reduction"
"PERK_POWER_EXHAUST_AMMOBELT_DESC"	"Once per $max_stack$ shots has a $perk_param$% chance to stop rotation of the enemy's weapons for $spell_duration$ sec."
"PERK_POWER_EXHAUST_DESC"	"Hits have a low chance to temporarily disable rotation of the enemy's weapons for $spell_duration$ sec."
"PERK_POWER_PIERCING_AMMOBELT_DESC"	"Penetrates up to 2 m. of armor once per $max_stack$ projectiles."
"Perk_Pusher_Crossbow_desc"	"The bolts have significant physical impulse."
"Perk_RadarRadius_Desc"	"Radar radius increased by $radar_radius_mul$%"
"Perk_RadarRadius_Name"	"Antenna “M”"
"perk_Radiator_SpeedCooldown_desc"	"Has more efficiency at higher speed. Maximum bonus: $heat_inc_high_speed$% at 30 km/h."
"Perk_RadioRadius_Desc"	"Data transmission radius increased by $radio_radius_mul$%"
"Perk_RadioRadius_Name"	"Calibrated"
"Perk_RechargeSpeedMul_Desc"	"Weapon reload time reduced by $shooting_cooldown_mul$%"
"Perk_RechargeSpeedMul_Name"	"Reloading"
"Perk_RecoilImpulse_dec_Desc"	"Recoil reduced by $recoil_impulse_mul$%"
"Perk_RecoilImpulse_dec_Name"	"Recoilless"
"PERK_ReputationBonus_DESC"	"Increases reputation gain by $exp_reward_bonus$%"
"Perk_RotSpeed_Desc"	"Weapon rotation speed increased by $rot_speed_mul$%"
"Perk_RotSpeed_Name"	"“Spin”"
"Perk_SawDamage_Desc"	"Damage increased by $saw_damage_mul$%"
"Perk_SawDamage_Name"	"Sharpened"
"Perk_ScopeMul_Desc"	"Increased zoom"
"Perk_ScopeMul_Name"	"Falcon"
"perk_Self_shooting_cooldown_desc"	"The higher your car's speed, the faster the weapon reloads. Max. efficiency: +20% at 80 km/h."
"perk_SmartWeapon_desc"	"Automatically attacks the selected target in range."
"PERK_SPEEDUP_SHOOTER_DESC"	"A direct hit speeds up the following shot's reloading by $perk_param$ sec."
"perk_Syfy_SniperVisor_desc"	"An integrated sensor array highlights explosive modules in the scope."
"PERK_Technology_DESC"	"Speeds up recharge time for all modules by $skill_cooldown_mul$%."
"perk_Tesla_EXHAUSTION_desc"	"Reduces the target's movement speed and weapon reload speed by 50%."
"Perk_TonnageMul_Desc"	"Vehicle tonnage increased by $tonnage_mul$%"
"Perk_TonnageMul_Name"	"Heavy lifting"
"Perk_TurretDamageMul_Desc"	"Turret damage increased by $deploy_damage_mul$%"
"Perk_TurretDamageMul_Name"	"Adder"
"Perk_TurretHPMul_Desc"	"Turret durability increased by $deploy_health_mul$%"
"Perk_TurretHPMul_Name"	"Durability"
"Perk_WeaponHeatDec_Desc"	"Cooling time reduced by $heat_dec_mul$%"
"Perk_WeaponHeatDec_Name"	"Cooled"
"Perk_WeaponHeatMax_Desc"	"Time to overheat increased by $heat_max_mul$%"
"Perk_WeaponHeatMax_Name"	"Heat-resistant"
"Perk_WorkTime_Desc"	"Active module time increased by $work_time_mul$%"
"Perk_WorkTime_Name"	"Charged"
"pic_alfa_reward_Name"	"“Alpha” Paint"
"pic_AlienSkin_Desc"	"Paint and patterns.|Can colour most parts."
"pic_AlienSkin_Name"	"Pattern: Will-o'-wisp"
"pic_Alienware_Arena02_desc"	"Spray Can.|Can colour most parts."
"pic_Alienware_Arena_desc"	"Spray Can.|Can colour most parts."
"pic_AmbulanceWhite_Desc"	"Spray Can.|Can colour most parts."
"pic_AmbulanceWhite_Name"	"Plague"
"Pic_australia1_Desc"	"Paint and patterns.|Can colour most parts."
"Pic_australia1_Name"	"Pattern: Aboriginal"
"Pic_australia2_Desc"	"Paint and patterns.|Can colour most parts."
"Pic_australia2_Name"	"Pattern: Down under"
"pic_BloodHand_Desc"	"Spray Can.|Can colour most parts."
"pic_BloodHand_Name"	"Easy target"
"pic_BoarFur_desc"	"Spray Can.|Can colour most parts."
"pic_BulletRust_Desc"	"Spray Can.|Can colour most parts."
