"ADVENTURE_REWARD_BONUS"	"Plus"
"Bundle_Skills_name"	"Bundle Skill"
"Bundle_Sportcar_Desc"	"- Véhicule blindé unique: 'Corrida';|- Armes: 'Cricket 1M'|- Cabine unique 'Torrero'|- Portrait héros unique: Jose Ortega;|- Décors uniques: 'Muleta Wing', 'Corno Destro', 'Corno Sinistro';|- Autocollant unique: 'Mad bull';|- Peinture unique: 'El Dorado';|- Augmente le nombre de pièces maximum utilisé à 55;|- 1500 coins en jeu."
"Bundle_Sportcar_womoney_Desc"	"- Véhicule blindé unique: 'Corrida';|- Armes: 'Cricket 1M'|- Cabine unique 'Torrero'|- Portrait héros unique: Jose Ortega;|- Décors uniques: 'Muleta Wing', 'Corno Destro', 'Corno Sinistro';|- Autocollant unique: 'Mad bull';|- Peinture unique: 'El Dorado';|- Augmente le nombre de pièces maximum utilisé à 55."
"Bundle_Sportcar_womoney_Name"	"Pack \"Corrida\""
"Bundle_steam_25_Desc"	"- Véhicule unique \"Bloodhound\";|- Arme blindée – 2 shotguns \"Sledghammer\";|- Portrait unique : \"Aleph\";|- Peintures et camouflages : Rouge sombre, Terre brûlée;|- 2000 coins."
"Bundle_steam_25_Name"	"Pack \"Wasteland Racer\" CBT"
"Bundle_steam_25_obt_Desc"	"- Véhicule unique \"Bloodhound\";|- Arme blindée – 2 shotguns \"Sledghammer\";|- Portrait unique : \"Aleph\";|- Peintures et camouflages : Rouge sombre, Terre brûlée;|- 1500 coins."
"Bundle_steam_25_obt_Name"	"Pack \"Wasteland Racer\""
"Bundle_steam_25_womoney_Name"	"Pack \"Wasteland Racer\""
"bundle_steel_series_Vehicle_Desc"	"Le véhicule idéal pour un débutant dans le Wasteland. Léger et maniable. Les trois mitraillettes «LM-54 Chord» sont excellentes pour attaquer les points faibles et vous permettent de détruire rapidement un ennemi à moyenne portée."
"bundle_steel_series_Vehicle_Name"	"Steel"
"BUNDLE_WND_BLUEPRINT_HINT"	"Vous pouvez assembler votre véhicule dès maintenant, ou plus tard depuis la section \"plans\""
"BUNDLE_WND_REWARD_TITLE"	"Maintenant, vous possédez:"
"BUNDLE_WND_TITLE"	"Vous avez acheté $name$"
"Bundle_Xmas17_womoney_Desc"	"- Véhicule blindé unique\" Icebreaker \"|- Armes: 2 mitrailleuses frontales «ST-M26 Tackler» de rareté épique|- Cabine unique «Icebox» de rareté épique|- Moteur “Razorback”, “Refroidisseur d'armes”|- Portrait de personnage unique \"Jack Frost\"|- Boîtes de peinture: \"Flamme froide\", \"Matériau: Aluminium\"|- Le nombre maximum de pièces a été augmenté à 55"
"Bundle_Xmas_Yt_desc"	"- Autocollant unique “Christmas not-a-toy”|- Spray de peinture “Player Union”|- 200 pièces en jeu (coins)"
"bundle_Zubilo_Vehicle_Desc"	"C'est bien quand la voiture que vous avez construite gagne en compétition. Mais ce qui est encore mieux, c'est de prendre le volant et de gagner vous-même. Pourtant, cela nécessite une voiture assez spéciale. Hammer Tim a passé beaucoup de temps à le chercher. Et quand il l'a trouvé, même le point de contrôle de l'usine automobile n'a pas pu l'arrêter. C'était un prototype que Tim a détourné et transformé.|Et c'est comme ça que ça s'est passé, puis le monde a basculé. Les voitures croisées ne sont plus en faveur et il doit coudre sur des mitraillettes et des roues à crampons pour rester dans l'entreprise."
"bundle_Zubilo_Vehicle_Name"	"Tyran"
"Cabin_InnateMelee_name"	"Cerbère"
"call_to_action_buy_gold"	"Acheter"
"call_to_action_sell_item"	"Vendre"
"call_to_action_to_auction"	"Au marché."
"call_to_action_to_camp"	"Au camp"
"call_to_action_to_craft_select"	"Fabrication"
"call_to_action_to_edit_mode"	"A l'assemblage"
"call_to_action_to_mission_select"	"Au combat"
"call_to_action_to_workplaces"	"Aux ateliers"
"call_to_use_gasoline"	"Utiliser"
"Cancel"	"Annuler"
"CaptchaWnd_Title"	"Entrez le texte affiché"
"CapturePoint_German_Desc"	"Capturer la base ennemie en mission."
"CapturePoint_German_Name"	"Blitzkrieg"
"CarDriver_Driver_Base"	"Master Jack"
"CarDriver_Driver_Frenzied"	"Bouledogue   "
"CarDriver_Driver_Scientists"	"Phoenix"
"CarDriver_Firestarters_lvl10_name"	"Firestarter"
"CarDriver_Firestarters_lvl11_desc"	"$targets$: durabilité + $health_mul$%"
"CarDriver_Firestarters_lvl12_desc"	"$targets$: dégâts + $damage_mul$%"
"CarDriver_Firestarters_lvl13_name"	"Coup droit"
"CarDriver_Firestarters_lvl1_desc"	"$targets$: durabilité + $health_mul$%"
"CarDriver_Firestarters_lvl2_desc"	"$targets$: dégâts + $damage_mul$%"
"CarDriver_Firestarters_lvl3_desc"	"$targets$: durabilité + $health_mul$%"
"CarDriver_Firestarters_lvl6_desc"	"$targets$: durabilité + $health_mul$%"
"CarDriver_Firestarters_lvl7_desc"	"$targets$: dégâts + $damage_mul$%"
"CarDriver_Firestarters_lvl8_name"	"Quickdraw"
"CarDriver_Firestarters_lvl9_desc"	"Réputation +$exp_reward_mul$%"
"CarDriver_Firestarters_lvl9_name"	"Experienced"
"CarDriver_Frenzied_lvl11_name"	"Desperate 3"
"CarDriver_Frenzied_lvl14_name"	"Rocketeer"
"CarDriver_Frenzied_lvl2_name"	"Die hard 1"
"CarDriver_Frenzied_lvl4_name"	"Iron beard 1"
"CarDriver_Frenzied_lvl7_name"	"Die hard 2"
"CarDriver_Frenzied_lvl8_name"	"Metalist"
"CarDriver_mechanics_lvl14_desc"	"Structure du véhicule augmentée de $car_max_health_mul$%"
"CarDriver_mechanics_lvl15_desc"	"Tonnage et masse de la cabine +$tonnage_add$ kg."
"CarDriver_mechanics_lvl1_desc"	"Intégrité structurelle du véhicule augmentée de $car_max_health_mul$%"
"CarDriver_mechanics_lvl4_name"	"Cannoneer 1"
"CarDriver_mechanics_lvl7_name"	"Desperate 2"
"CarDriver_mechanics_lvl9_desc"	"Réputation +$exp_reward_mul$%"
"CarDriver_Military_lvl10_desc"	"$targets$: plage optimale et optimale +$max_range_mul$%"
"CarDriver_Military_lvl10_name"	"Protégé"
"CarDriver_Military_lvl11_desc"	"$targets$: dégâts + $damage_mul$%"
"CarDriver_Military_lvl12_desc"	"Structure du véhicule augmentée de $car_max_health_mul$%"
"CarDriver_Military_lvl12_name"	"Résilient 2"
"CarDriver_Military_lvl13_desc"	"$targets$: dégâts +$deploy_damage_mul$%"
"CarDriver_Military_lvl14_desc"	"$targets$: dégâts +$blast_damage_mul$%"
"CarDriver_Military_lvl14_name"	"Canonnier"
"CarDriver_Military_lvl15_desc"	"$targets$: précision +5%"
"CarDriver_Military_lvl15_name"	"Chimiste"
"CarDriver_Military_lvl1_desc"	"$targets$: dégâts + $damage_mul$%"
"CarDriver_Military_lvl1_name"	"Armurier"
"CarDriver_Military_lvl2_desc"	"Vehicle structure increased by $car_max_health_mul$%"
"CarDriver_Military_lvl2_name"	"Résilient 1"
"CarDriver_Military_lvl3_desc"	"@fff9df9aRadiaterus:@ffffffff efficacité +$heat_inc_mul_mul$%"
"CarDriver_Military_lvl4_desc"	"$targets$: dégâts +$deploy_damage_mul$%"
"CarDriver_Military_lvl4_name"	"Drone master 1"
"CarDriver_Military_lvl5_name"	"Chimiste"
"CarDriver_Military_lvl6_desc"	"$targets$: dégâts + $damage_mul$%"
"CarDriver_Military_lvl7_desc"	"Efficacité du @fff9df9arefroidissement@ffffffff +$heat_dec_mul_mul$%"
"CarDriver_Military_lvl7_name"	"Cold-blooded 2"
"CarDriver_Military_lvl9_desc"	"Réputation +$exp_reward_mul$%"
"CarDriver_Military_lvl9_name"	"Experienced"
"CarDriver_Scavengers_lvl14_name"	"Bombardier"
"CarDriver_Scavengers_lvl9_name"	"Experienced"
"CarDriver_Scientists_lvl14_name"	"Léger"
"CarDriver_Scientists_lvl15_name"	"Balayage"
"CarDriver_Scientists_lvl2_name"	"Ingénieur"
"CarDriver_Scientists_lvl5_name"	"Armadillo"
"CarDriver_Scientists_lvl7_name"	"Ingénieur"
"CarDriver_Scientists_lvl8_name"	"Renforcé"
"CarDriver_Scientists_lvl9_desc"	"Réputation +2%"
"CarDriver_Scientists_lvl9_name"	"Experienced"
"CarDriver_Traders_lvl10_name"	"Efficace"
"CarDriver_Traders_lvl11_name"	"Sharpshooter 3"
"CarDriver_Traders_lvl15_name"	"Sniper"
"CarDriver_Traders_lvl1_name"	"Sharpshooter 1"
"CarDriver_Traders_lvl6_name"	"Sharpshooter 2"
"CarDriver_Traders_lvl9_desc"	"Réputation +$exp_reward_mul$%"
"CarDriver_Traders_lvl9_name"	"Experienced"
"CarEditor_paint_all_hint"	" — Tout peindre"
"CarEditor_paint_hint"	" — Peindre la pièce"
"CarEditor_rotate_decal_flip"	"— Flip"
"CarEditor_rotate_decal_hint"	"— Tourner"
"CarEditor_scale_decal_hint"	"— Échelle"
"CarPart_Gun_Blast_ClassicCrossbow_Name"	"Phoenix"
"CarPart_Quadrocopter_Syfy_Desc"	"Un drone recherchant automatiquement des cibles et attaquant à courte distance. Cible préférée : les roues."
"CarPart_Quadrocopter_Syfy_Name"	"Sputnik"
"CarPart_Shield_Mortal_Desc"	"Génère un champ de protection  sphérique, absorbant les dégâts des projectiles et jets énergétiques."
"CarPart_Shield_Mortal_Name"	"Aegis-Prime"
"CarPart_Structure_Syfy_Boxslope_Large_Desc"	"Partie arrière d'un véhicule électrique, renforcé avec des plaques de métal."
"CarPart_Structure_Syfy_Boxslope_Large_Name"	"Arrière de coque"
"CarPart_Structure_Syfy_Boxslope_Small_Desc"	"Morceau d'un module d'observation avec des vitres blindées. Renforcé avec des plaques de métal."
"CarPart_Structure_Syfy_Boxslope_Small_Name"	"Pod d'observation"
"CarPart_Structure_Syfy_Boxslope_Wide_Desc"	"Une partie d'un système de ventilation, renforcé avec des pièces de métal."
"CarPart_Structure_Syfy_Boxslope_Wide_Name"	"Module de ventilation"
"CarPart_Structure_Syfy_Box_Large_Desc"	"Un système de refroidissement hors service, mais utilisable comme pièce structurelle."
"CarPart_Structure_Syfy_Box_Large_Name"	"Radiateur cassé"
"CarPart_Structure_Syfy_Box_Small_Desc"	"Système de contrôle électronique du Mars Rover, reconverti en simple pièce structurelle."
"CarPart_Structure_Syfy_Box_Small_Name"	"Module de contrôle"
"CarPart_Structure_Syfy_Box_Wide_Desc"	"Un module de refroidissement hors service avec une induction d'air, réutilisé comme pièce structurelle."
"CarPart_Structure_Syfy_Box_Wide_Name"	"Système de refroidissement"
"CarPart_Structure_SyFy_bumper_Desc"	"Pièce structurelle recyclée d'un Rover lunaire."
"CarPart_Structure_SyFy_bumper_Name"	"Absorbeur de chocs"
"CarPart_Structure_Syfy_Slope_Desc"	"Une partie d'un système de ventilation, renforcé avec des pièces de métal."
"CarPart_Structure_Syfy_Slope_Large_Desc"	"Des morceau de coque du Mars Rover, renforcé par des plaques métalliques."
"CarPart_Structure_Syfy_Slope_Large_Name"	"Morceau de coque"
"CarPart_Structure_Syfy_Slope_Name"	"Induction d'air"
"CarPart_Syfy_CoolDowner_Desc"	"Recharge immédiatement toutes les armes et modules lors de l'activation, avec un système de surcharge contrôlé."
"CarPart_Syfy_CoolDowner_Name"	"Tachyon"
"CarPart_Syfy_DeployAmmo_Desc"	"Embarque un module d'impression 3D pour créer des pièces et petits mécaniques. Augmente le nombre de lancements de drones et tourelles de $deploy_ammo_mul$%.|En cas de destruction, explose et inflige @ffff0000$death_blast_damage$@ffffffff dégats sur @ffff0000$death_blast_radius$@ffffffff m. de rayon."
"CarPart_Syfy_DeployAmmo_Name"	"Genesis"
"CarPart_Syfy_SniperVisor_Desc"	"Deux niveaux de zoom et un système de détection des points faible. Le rêve de tout sniper.|Augmente le rayon de détection ennemi de @ff00ff00$radar_radius$ @ffffffff m."
"CarPart_Syfy_SniperVisor_Name"	"Neutrino"
"CarPart_TurretDeployer_Shield_Desc"	"Créé un champ de défense statique important, absorbant les dégâts des projectiles rapides et des jets énergétiques pour quelques secondes."
"CarPart_TurretDeployer_Shield_Name"	"Barrière IX"
"CarPart_Wheel_Moonwalker_Desc"	"Utilisé à l'origine pour traverser des déserts lunaires, mais fonctionne aussi très bien dans les terres dévastées."
"CarPart_Wheel_Moonwalker_Name"	"Lunar IV"
"CarPart_Wheel_Moonwalker_S_Desc"	"Utilisé à l'origine pour traverser des déserts lunaires, mais fonctionne aussi très bien dans les terres dévastées."
"CarPart_Wheel_Moonwalker_S_Name"	"Lunar IV ST"
"CARRYING_TITLE"	"Tonnage"
"cbt_20_dollars_founders_Vehicle_Desc"	"Ce véhicule est un cadeau que les esprits ont fait au Shaman lors d'un rêve. Sa vision lui révéla une cage en acier, des créatures aux yeux brillants et un aigle pointant un éclair de feu. Depuis, il parcourt le monde en quête des pièces pour réaliser cette machine fantasmagorique."
"cbt_20_dollars_founders_Vehicle_Name"	"Lavabird"
"cbt_20_dollars_Vehicle_Desc"	"La légende prétend que des esprits ont donné le plan de ce véhicule à un shaman, mais son autocanon est bien réel et ses échappements énormes affichent clairement ses performances."
"cbt_20_dollars_Vehicle_Name"	"Iron Talon"
"cbt_30_dollars_Vehicle_Desc"	"Un autocanon lourd sur un châssis robuste avec une partie motrice renforcée, \"Fenrir\" fut la première création de Wotan après la perte de son œil. Un véhicule taillé pour l'exploration, parfait pour balayer les obstacles à coup d'obus de 25mm explosifs."
"cbt_30_dollars_Vehicle_Name"	"Fenrir"
"cbt_50_dollars_founders_Vehicle_Desc"	"Aucun souvenir de l'accident. Une explosion, un véhicule en feu, quelqu'un en train de courir et il fut traîné au loin et soigné. Il se souvient d'avoir marché pendant des jours, d'avoir repoussé des humains essayent de l'aider, du désert et de la solitude. Après un temps infini, il s'arrêtât dans un garage abandonné au milieu de nulle part et sombra de fatigue. Au réveil, il assemblât le Turtle.|"
"cbt_50_dollars_founders_Vehicle_Name"	"Armored Turtle"
"cbt_50_dollars_Vehicle_Desc"	"Un véhicule bestial, pour marcher sur le monde post-apocalyptique. Des chenilles renforcée pour passer partout, les lames pour se faire un passage et un canon de gros calibre pour tout ce qui est suffisamment stupide pour ne pas fuir."
"cbt_50_dollars_Vehicle_Name"	"Tramp"
"cbt_60_dollars_Vehicle_Desc"	"Un véhicule de tankiste, pour les homme baignés par l'huile et bercés par le bruit. Une structure renforcée couverte de blindage, des chenilles et un canon antichar en tourelle, ce monstre de métal a traversé les ages pour terrifier le monde une fois de plus."
"cbt_60_dollars_Vehicle_Name"	"Revenant"
"cbt_steam_Vehicle_Desc"	"Aleph prétendait pouvoir boire du sable et lire des plans de véhicules dans le ciel. Des années à explorer le désert l'avaient rendu à moitié fou, mais le matériel militaire équipé sur son Bloodhound dénotait un sens aigu des priorités: ils vont mourir avant lui."
"cbt_steam_Vehicle_Name"	"Bloodhound"
"ChainDesc1"	"Missions faciles"
"ChainDesc2"	"Missions de difficulté normale. Complété en raids normaux ou plus élevé"
"ChainDesc3"	"Missions difficiles pour des aventuriers expérimentés. Se complète en raids durs."
"ChainLongEasyDesc"	"Complétez toutes les missions pour la récompense finale."
"ChainLongHardDesc"	"Complétez toutes les missions pour obtenir le grand prix de la saison.|A compléter en raids difficiles."
"ChainLongMeduimDesc"	"Complétez toutes les missions pour obtenir la récompense principale de la saison. A compléter en raids normaux et plus."
"ChainTitle1"	"Courage et folie"
"ChainTitle2"	"Force et honneur"
"ChainTitle3"	"Fear and Loathing"
"Chat.FontSizeMenu"	"Taille de police"
"Chat.LockWindow"	"Verrouiller la fenêtre"
"Chat.RestoreDefaults"	"Réinitialiser les paramètres de la fenêtre"
"Chat.UnlockWindow"	"Déverrouiller la fenêtre"
"CHAT_AFK_NOTE"	"Vous serez retiré du jeu pour inactivité dans $timeleft$ secondes"
"CHAT_ALPHA_WINDOW_COUNTDOWN"	"Les serveurs seront désactivés dans $timeLeft$"
"CHAT_ANTIADDICTION_TIME_WARNING"	"Vous êtes en jeu depuis $time$ h. Après 3 heures, les récompenses seront divisées par deux, puis désactivées après 5h."
"CHAT_BANEX_HELP"	"Utilisation : banex <uid> [heures]"
"CHAT_BAN_HELP"	"Utilisation : ban <uid> <reason> [heures]"
"CHAT_BAN_UNKNOWN_REASON"	"Raison du ban inconnue, valeurs possibles :"
"CHAT_BLUEPRINT"	"Plan"
"CHAT_CHANNELS_ALL"	"Tous les canaux"
"CHAT_CLANSEARCH_SEND"	"Recherche de clan"
"CHAT_CLAN_SEND"	"Clan"
"CHAT_CLEAR_BUTTON"	"Nettoyer"
"CHAT_CMD_CHANGE_GENERAL"	"Changer la langue des canaux"
"CHAT_CMD_CHANGE_HEIGHT"	"Changer la taille"
"CHAT_CMD_CHANGE_WIDTH"	"Changer la largeur"
"CHAT_CMD_GENERAL_IN_BATTLE"	"Chat général en bataille"
"CHAT_CMD_HELP_TITLE"	"Commandes de chat disponibles:"
"CHAT_CMD_JOIN_CHANNEL"	"Rejoindre le canal"
"CHAT_CMD_TEAM_CHAT_DISABLE"	"Désactiver le tchat d'équipe dans le combat"
"CHAT_CMD_TEAM_CHAT_ENABLE"	"Activer le tchat en bataille"
"CHAT_CMD_TOGGLE_CLANSEARCH"	"Canal pour la recherche de clan"
"CHAT_CMD_TOGGLE_GENERAL"	"Chat général"
"CHAT_CMD_TOGGLE_NOVICE"	"Canal pour débutant"
"CHAT_CMD_TOGGLE_PARTYSEARCH"	"Recherche de canal de groupe"
"CHAT_CMD_TRANSPARENCY"	"Opacité"
"CHAT_CMD_VIEW_SETTINGS"	"L'apparence du tchat"
"CHAT_CMD_WIDTH_AUTO"	"Auto"
"CHAT_CONNECTION_LOST"	"Connexion perdue avec le serveur de chat"
"CHAT_DESIGN_SAVE_ERROR"	"Échec de la sauvegarde"
"CHAT_DESIGN_SAVE_HELP"	"Utilisation : /designSave"
"CHAT_DESIGN_SAVE_SUCCESS"	"Sauvé"
"CHAT_ERROR"	"Échec de l'opération:"
"CHAT_GENERAL_SEND"	"Général"
"CHAT_HAS_RESTRICTIONS"	"L'accès au chat est bloqué en fonction des restrictions d'âge."
"CHAT_INACTIVE_EDITBOX_HINT"	"Appuyez sur Entrer pour activer le chat..."
"CHAT_INVALID_PARAM_HOURS"	"Le paramètre des heures doit être un nombre."
"CHAT_INVALID_PARAM_HOURS_VALUE"	"Le paramètre des heures doit être supérieur à 1."
"CHAT_INVALID_UID"	"UID invalide"
"CHAT_JOINED"	"Vous avez rejoint le canal: $channelName$"
"CHAT_JOINED_BATTLE"	"Vous avez rejoint le canal : Bataille"
"CHAT_JOINED_GENERAL"	"Vous avez rejoint le canal: Général"
"CHAT_LEFT"	"Vous avez quitté le canal: $channelName$"
"CHAT_LEFT_BATTLE"	"Vous avez quitté le canal: Bataille"
"CHAT_LEFT_GENERAL"	"Vous avez quitté le canal: Général"
"CHAT_LOBBY_ERROR"	"Erreur en créant un salon:"
"CHAT_LOBBY_SUCCESS"	"Salon créé avec succès!"
"CHAT_LOOT_UNFINISHED_GAME"	"Récompense:"
"CHAT_MAINTENANCE_COUNTDOWN"	"Serveurs désactivés pour maintenance dans $timeLeft$"
"CHAT_MUTE_HELP"	"Utilisation : mute <uid> [heure]"
"CHAT_NOVICE_SEND"	"Débutants"
"CHAT_NO_CHANNEL"	"Aucun canal actif. Sélectionnez un canal dans les paramètres de chat."
"CHAT_NO_CHAT_ROOMS"	"Pas de chat actif"
"CHAT_OBSCENITY_FILTER_OFF"	"Filtre à juron : désactivé"
"CHAT_OBSCENITY_FILTER_ON"	"Filtre a juron : activé"
"CHAT_ONLY_IN_EDIT_MODE"	"Ne peut être utilisé qu'en mode construction"
"CHAT_PARTYSEARCH_SEND"	"Recherche de groupe"
"CHAT_PARTY_SEND"	"Groupe"
"CHAT_PLAYER_NOT_FOUND"	"Joueur hors ligne"
"CHAT_PUNISH_CLEARED_player_ban"	"$accusedNickname$ n'est plus banni"
"CHAT_PUNISH_CLEARED_player_mute"	"$accusedNickname$ n'est plus muet"
"CHAT_RACE_SUICIDE_NOTE"	"Vous avez été détruit pour inactivité sur le point de passage"
"CHAT_REWARD_UNFINISHED_GAME"	"Récompense pour une partie non terminée : $exp$ réputation; $scrap$ scrap"
"CHAT_SIZE_LARGE"	"Grand"
"CHAT_SIZE_MEDIUM"	"Ordinaire"
"CHAT_SIZE_SMALL"	"Petit"
"CHAT_SUCCESS"	"Succès!"
"CHAT_TEAM_SEND"	"Équipe"
"CHAT_UID"	"UID:"
"CHAT_UNBANEX_HELP"	"Utilisation : unbanex <uid>"
"CHAT_UNBAN_HELP"	"Utilisation : déban <uid>"
"CHAT_UNKNOWN_CMD"	"Commande chat inconnus (/help)"
"CHAT_UNMUTE_HELP"	"Utilisatoin : unmute"
"CHAT_WHISPER_SEND"	"Messages privés"
"CHAT_WHISPER_TO"	"À"
"China_GameCompletePvE_Cannon_Name"	"Gunner: Raids"
"China_GameCompletePvE_Desc"	"Gagnez en {$required_value$;raid;raids}."
"China_GameCompletePvE_Machinegun_Desc"	"Gagnez $required_value$ raids en utilisant une mitrailleuse."
"China_GameCompletePvE_Machinegun_Name"	"Machinegunner: Raids"
"China_GameCompletePvE_Name"	"Survivants: Raids"
"China_GameCompletePvE_Shotgun_Desc"	"Gagnez $required_value$ raids raids en utilisant un shotgun."
"China_GameCompletePvE_Shotgun_Name"	"Shotguns: Raids"
"China_GameCompletePvP_Cannon_Desc"	"Complétez $required_value$ batailles avec un canon."
"China_GameCompletePvP_Cannon_Name"	"Gunner: Missions"
"China_GameCompletePvP_Desc"	"Complétez $required_value$ batailles en missions."
"China_GameCompletePvP_Machinegun_Desc"	"Complétez $required_value$ batailles avec une mitrailleuse."
"China_GameCompletePvP_Machinegun_Name"	"Machinegunner: Missions"
"China_GameCompletePvP_Name"	"Survivants: Missions"
"China_GameCompletePvP_Shotgun_Desc"	"Complétez $required_value$ batailles avec un shotgun."
"China_GameCompletePvP_Shotgun_Name"	"Shotguns: Missions"
"China_MobKills_Cannon_Desc"	"Détruisez $required_value$ AI véhicules en raid avec un canon."
"China_MobKills_Cannon_Name"	"Exterminator: Canons"
"China_MobKills_Desc"	"Détruisez $required_value$ véhicules AI en raids."
"China_MobKills_Machinegun_Desc"	"Détruisez $required_value$ véhicules AI en raids avec une mitrailleuse"
"China_MobKills_Machinegun_Name"	"Exterminator: Mitrailleuses"
"China_MobKills_Name"	"Exterminator: Raids"
"China_MobKills_Shotgun_Desc"	"Détruisez $required_value$ véhicules AI en raids avec un shortun."
"China_MobKills_Shotgun_Name"	"Exterminator: Shotguns"
"China_Wins_Desc"	"Gagnez $required_value$ batailles en missions ou raids."
"China_Wins_Name"	"Triomphe"
"ClanCreateWnd_join_filter_hint"	"Rentrez le nom du clan."
"ClanCreateWnd_join_members"	"Roster"
"ClanCreateWnd_join_name"	"Nom de clan"
"ClanWnd_Language"	"Langue"
"ClanWnd_language_all"	"Tous"
"ClanWnd_language_any"	"Tous"
"ClanWnd_members_btn"	"Membres"
"ClanWnd_requests_btn"	"Requêtes"
"CLAN_CREATE_BTN"	"Créer"
"CLAN_CREATE_CONFIRM_TEXT"	"Voulez vous vraiment créer un clan pour $price$?"
"CLAN_CREATE_CONFIRM_TITLE"	"Confirmer la création"
"CLAN_CREATE_DESC"	"Formez un clan, montrez aux autres survivants qui est le chef sur ce coin de la planète et gagnez de l'uranium pour produire des reliques!"
"CLAN_CREATE_DESC_2"	"Seul les nombres, symboles latins et espaces sont autorisés."
"CLAN_CREATE_DESC_3"	"Coût de création de clan $price$."
"CLAN_DESC_HINT"	"Rentrez la description de votre clan"
"CLAN_DESC_TITLE"	"Description"
"CLAN_EMBLEM_CHOOSE"	"Sélectionner une insigne"
"CLAN_EMBLEM_CHOOSE_TITLE"	"Sélectionner une insigne pour votre clan."
"CLAN_HEADER_LEVEL"	"Niveau"
"CLAN_HEADER_PLAYERS"	"Joueurs"
"CLAN_HEADER_PLAYERS_PS4"	"ID en ligne"
"CLAN_HEADER_RATING"	"Score"
"CLAN_INVITE_MSG"	"vous a invité dans le clan $clan$"
"CLAN_KICK_CONFIRM"	"Voulez vous vraiment renvoyez le joueur $name$?"
"CLAN_KICK_CONFIRM_TITLE"	"Confirmer l'expulsion"
"CLAN_LEADER_TEXT"	"Chef"
"CLAN_LEAVE_BTN"	"Quitter le clan"
"CLAN_LEAVE_CONFIRM"	"Voulez vous vraiment quitter le clan?"
"CLAN_LEAVE_CONFIRM_TITLE"	"Confirmer le retrait"
"CLAN_MEMBERS_COUNT_TEXT"	"Composition du Clan"
"CLAN_MENU_KICK"	"Renvoyer"
"CLAN_MENU_MAKE_LEADER"	"Passer le commandement."
"CLAN_MENU_WHISPER"	"Chuchotter"
"CLAN_MOTD_TOO_LONG"	"Limite max de la taille d'un message dépassé"
"CLAN_NAME_HINT"	"Rentrez le nom du clan."
"CLAN_PLACE"	"Place"
"CLAN_RATING"	"Score du Clan"
"CLAN_TAG_HINT"	"Rentrez le tag du clan."
"CLAN_TAG_TEXT"	"Tag du Clan"
"CLAN_TRANSFER_LEADERSHIP"	"Passer le commandement."
"CLAN_TRANSFER_LEADERSHIP_CONFIRM"	"Voulez vous vraiment faire de ce joueur le nouveau chef de clan?"
"CLAN_TRANSFER_LEADERSHIP_CONFIRM_TITLE"	"Confirmation"
"Close"	"Fermer"
"COMMON_CHARACTERS"	"!\"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\]^_`abcdefghijklmnopqrstuvwxyz{|}~®ÁÚ–"
"COMPLEXITY_TITLE"	"Manœuvrabilité"
"CONFIRM"	"Confirmer"
"CONFIRMATION_EXIT"	"Voulez vous vraiment revenir au bureau?"
"CONFIRMATION_LOGOUT"	"Voulez vous vraiment vous déconnecter et revenir à l'écran de connexion?"
"CONFIRMATION_LOGOUT_PS4"	"Voulez vous vraiment quitter votre session et revenir à l'écran du titre?"
"CONFIRMATION_LOGOUT_XBONE"	"Voulez vous vraiment arrêter votre session et allez à l'écran de sélection de profil?"
"CONFIRMATION_PROMOACC_WIPE"	"Vous allez remettre le compte à zéro. La progression sera perdue."
"CONFIRMATION_SUICIDE"	"Détruire le véhicule?"
"CONFIRMATION_TO_HANGAR"	"Retourner au garage?"
"CONFIRMATION_TO_HANGAR_FROM_BATTLE"	"Voulez vous vraiment quitter? La récompense sera plus élevée si vous restez jusqu'à la fin de la bataille."
"CONFIRMATION_TO_HANGAR_PARTY_MEMBER"	"Attention! En partant au garage, vous quitterez le groupe!"
"CONNECTED"	"Connecté"
"CONNECTING"	"Connexion"
"CONNECTING_TO"	"Connection"
"CONNECTING_TOOLTIP"	"connexion au serveur"
"Consumable_InventoryCapacity_Desc"	"Outils, servos et machines pour agrandir la zone de stockage."
"Consumable_InventoryCapacity_name"	"Agrandissement du stockage"
"Craftsman_BaseCommon_Desc"	"Utilisez cela pour fabriquer de nouvelles pièces communes."
"Craftsman_BaseCommon_Name"	"Atelier d'Ingénieur"
"Craftsman_BaseRare_Desc"	"Permet de créer de nouvelles pièces rares."
"Craftsman_BaseRare_Name"	"Presse d'Ingénieur"
"Craftsman_BaseRelic_Desc"	"Utilisez cela pour fabriquer de nouveaux morceaux de reliques."
"Craftsman_BaseRelic_Name"	"Machine CNC d'ingénieur"
"Craftsman_FirestartersEpic_Desc"	"Permet de créer de nouvelles pièces épiques."
"Craftsman_FirestartersLegend_Desc"	"Permet de créer de nouvelles pièces légendaires."
"Craftsman_FirestartersRare_Desc"	"Permet de créer de nouvelles pièces rares."
"Craftsman_FirestartersReleaseCraftsman_Desc"	"Ici, vous pouvez échanger des briquets pour les articles plus utiles dans le Wasteland."
"Craftsman_FrenziedEpic_Desc"	"Permet de créer de nouvelles pièces épiques."
"Craftsman_FrenziedEpic_Name"	"Boucherie Lunatic"
"Craftsman_FrenziedLegend_Desc"	"Permet de créer de nouvelles pièces légendaires."
"Craftsman_FrenziedLegend_Name"	"Autel Lunatic"
