"BLUEPRINT_RECENT_BLUEPRINT"	"Последние чертежи"
"Mission_PVE_Defense_Leviathan_Name"	"Вторжение"
"Mission_Race_Desc"	"В кольцевой гонке с непростыми поворотами и препятствиями участвуют 8 выживших. Ваша задача — проехать все отметки первым, ведь в гонке может быть только один победитель. Все установленные орудия будут деактивированы."
"Mission_Race_Name"	"Гонка"
"Mission_RadarSmall_Desc"	"Победа в бою дает вам шанс получить одну из указанных деталей."
"Mission_RadarSmall_Name"	"За радаром!"
"Mission_Radiator_Desc"	"Победа в бою дает вам шанс получить одну из указанных деталей."
"Mission_Radiator_Name"	"За радиатором!"
"Mission_Random_Desc"	"Участие в этом задании приносит только случайные детали обычной редкости."
"Mission_Random_Name"	"Полный рандом"
"Mission_Scrap_Epic_Desc"	"При победе в бою вы получаете ящик электроники."
"Mission_Scrap_Epic_Name"	"За электроникой!"
"Mission_Scrap_PVP_Desc"	"При победе в бою вы получаете случайную деталь обычной редкости или ящик металлолома."
"Mission_Scrap_PVP_Name"	"За ломом!"
"Mission_Scrap_Rare_Desc"	"При победе в бою вы получаете ящик проводов."
"Mission_Scrap_Rare_Name"	"За проводами!"
"Mission_Shotgun_Desc"	"Победа в бою дает вам шанс получить одну из указанных деталей."
"Mission_Shotgun_Name"	"За дробовиком!"
"Mission_Tournament_Desc"	"Турнир Gamescom"
"Mission_Tournament_Name"	"Gamescom"
"Mission_Weapon_Desc"	"Гарантировано оружие среди добычи. "
"Mission_Weapon_Name"	"Сложное задание"
"Mission_Wheels_Desc"	"Победа в бою дает вам шанс получить одну из указанных деталей."
"Mission_Wheels_Name"	"За колесами!"
"Accept"	"Принять"
"eula1_text_1"	"ЭТО ДОГОВОР. ЭТО ЛИЦЕНЗИОННОЕ СОГЛАШЕНИЕ КОНЕЧНОГО ПОЛЬЗОВАТЕЛЯ ЯВЛЯЕТСЯ ОБЯЗАТЕЛЬНЫМ К ИСПОЛНЕНИЮ ДОКУМЕНТОМ, КОТОРЫЙ ДОЛЖЕН БЫТЬ ПРОЧИТАН ДО КОНЦА. В КОНЦЕ ДОКУМЕНТА ВАМ БУДЕТ ПРЕДЛОЖЕНО ЛИБО ПРИНЯТЬ ЭТОТ ДОГОВОР И ПРОДОЛЖИТЬ УСТАНОВКУ, ЛИБО ОТКЛОНИТЬ ЕГО. В СЛУЧАЕ ОТКАЗА ВЫ НЕ СМОЖЕТЕ УСТАНАВЛИВАТЬ ИЛИ ИСПОЛЬЗОВАТЬ ПРОДУКТ, КАК ОПРЕДЕЛЕНО НИЖЕ. УСТАНАВЛИВАЯ ДАННОЕ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ (ПО), ВЫ ТЕМ САМЫМ СОГЛАШАЕТЕСЬ С УСЛОВИЯМИ НАСТОЯЩЕГО ДОГОВОРА. ПРОЦЕСС УСТАНОВКИ (КОТОРЫЙ МОЖЕТ БЫТЬ ОСУЩЕСТВЛЕН ЧЕРЕЗ CD-ROM ИЛИ ЧЕРЕЗ ПРЯМУЮ ЗАГРУЗКУ ИЗ ИНТЕРНЕТА) ПОЗВОЛЯЕТ УСТАНОВИТЬ ТЕКУЩУЮ ВЕРСИЮ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ. Условия использования Вами Продукта (как этот термин определён ниже) и услуги, предусмотренные далее, также регулируются положением о частной информации (“Положение о частной информации”) $url href=\"http://crossout.ru/ru/support/privacypolicy\" text=\"www.crossout.ru/ru/support/privacypolicy\"$ и Условиями Использования $url href=\"http://crossout.ru/ru/support/termsofuse\" text=\"www.crossout.ru/ru/support/termsofuse\"$ (“Условия Использования”)."
"eula1_text_10"	"||3 Ограничения.||3.1 Запрет на передачу.||Ни при каких условиях Вы не будете продавать, одалживать, сдавать в аренду, создавать сублицензии, опубликовать, распространять, передавать любым другим способом Продукт, его копию целиком или по частям каким-либо третьим лицам без предварительного письменного разрешения со стороны Gaijin. Независимо от вышесказанного, Вы не имеете права передавать версии Продукта для образовательных учреждений, предварительные выпуски (т.н. \"бета-версии\") программы и версии \"не для продажи\". Ни при каких условиях Вы не имеете позволять третьим лицам извлекать выгоду из использования функционала продукта через таймшерные (time-share) договоры, договоры услуг или другие договоренности, за исключением случаев, когда такое использование оговорено в условиях заказа, договоре на покупку, или указано на упаковке Продукта."
"eula1_text_11"	"||3.2 Иные запреты.||За исключением случаев, указанных в данном Соглашении, Вы не можете использовать, копировать, эмулировать, одалживать, сдавать в аренду, модифицировать, декомпилировать, дизассемблировать, иначе перепроектировать или иным образом преобразовывать, передавать лицензированный Продукт или любую его часть и давать разрешение третьим лицам на выполнение подобных действий. Несмотря на предыдущее предложение, декомпилирование данного Продукта разрешается лишь в пределах требования законов, позволяющих Вам получать доступ к информации, необходимой для того, чтобы сделать Продукт совместимым с другими видами программного обеспечения, при условии, что Вы сначала запросите такую информацию у Gaijin. Gaijin может по своему усмотрению либо предоставить Вам такую информацию (в соответствии с условиями конфиденциальности), либо установить приемлемые условия для ее предоставления, включая определенную плату за подобное использование Продукта с целью защиты прав Gaijin и его поставщиков и лицензиатов в отношении информации, содержащейся в Продукте. Вы не можете модифицировать или создавать схожие продукты, основанные на Продукте в целом или в каких-то отдельных его фрагментах. Любое подобное несанкционированное использование автоматически приведет к расторжению данного Соглашения и отзыву Лицензии, а также может стать основанием для гражданского или уголовного преследования. Ни бинарный, ни исходный код Продукта не могут быть использованы или перепроектированы для воспроизведения алгоритма программы, который является частной собственностью, без письменного на то согласия Gaijin. Gaijin и ее поставщики и лицензиаты оставляет за собой все другие права, здесь не описанные.||3.3 Информация о Имущественных правах и копии. Вы не можете удалять из Продукта любую информацию, имеющую отношение к авторским правам или названию. Вы не можете копировать Продукт, за исключением случаев, прямо предусмотренных в разделе 2 выше."
"eula1_text_12"	"||3.4 Запрет на передачу прав.||За исключением случаев, специально предусмотренных в настоящем Соглашении, Вы не может передавать или присваивать любые права, предоставленные Вам в рамках настоящего Соглашения или любое из обязательств в соответствии с настоящим документом.||3.5 Соблюдение закона. Вы обязуетесь, что при пользовании данным Продуктом, а также любой информацией, связанной с его использованием, Вы будете соблюдать все соответствующие международные, государственные, региональные и локальные законы, включая, без ограничения, правила в отношении конфиденциальности, авторского права, экспортного контроля, правовые нормы об ответственности за непристойное поведение.||3.6 Возмещение ущерба.||Вы соглашаетесь возмещать ущерб, а также защищать Gaijin и его сотрудников, директоров, агентов, правопреемников, от любых потерь связанных с правовыми исками, а также связанными с ними расходами (включая расходы за юридические услуги и за стоимость разбирательств, судебных тяжб, а также процентные начисления и пени), а также расходы, связанные с исками третьих лиц в отношении реального или инкриминируемого: (i) нарушения лицензиатом любого права интеллектуальной собственности третьих лиц, а также права собственности включая патенты, торговые марки, авторское право, коммерческие секреты, за исключением случаев, если такие нарушения не связаны исключительно с Продуктом, (ii) нанесение физических повреждений (включая смерть) а также повреждения собственности по причине неосторожности лицензиата или его умышленных действий, и/или (iii) нарушения лицензиатом любой из его гарантий, положений и/или обязательств, содержащихся в данном Соглашении."
"eula1_text_13"	"||3.7 Дополнительные меры защиты. Для предотвращения несанкционированного использования Продукта, Программное Обеспечение может устанавливать и применять на Вашем Клиентском Устройстве специальные технические средства, созданные для предотвращения несанкционированного использования. Gaijin также может использовать эти средства для того, чтобы убедиться, что Вы используете лицензированную копию Продукта. Во время этого процесса Gaijin обязуется не производить сбор персональной информации с Вашего компьютера.||3.8 Приостановление Соглашения. БЕЗ ОГРАНИЧЕНИЯ ЛЮБЫХ ДРУГИХ СРЕДСТВ ЗАЩИТЫ СВОИХ ПРАВ, GAIJIN, БЕЗ ПРЕДВАРИТЕЛЬНОГО УВЕДОМЛЕНИЯ, ИМЕЕТ ПРАВО ОГРАНИЧИТЬ, ПРИОСТАНОВИТЬ, ПРЕКРАТИТЬ, ИЗМЕНИТЬ ИЛИ УДАЛИТЬ ВАШ АККАУНТ ИЛИ ДОСТУП К ПРОДУКТУ ИЛИ ЕГО ЧАСТИ, В СЛУЧАЕ ЕСЛИ GAIJIN ИМЕЕТ ОСНОВАНИЯ ПОДОЗРЕВАТЬ, ЧТО ВЫ НЕ ВЫПОЛНЯЕТЕ ИЛИ НАРУШАЕТЕ КАКУЮ–ЛЮБО СТАТЬЮ ДАННОГО СОГЛАШЕНИЯ, ИЛИ В СЛУЧАЕ ФАКТИЧЕСКОГО ИЛИ ПРЕДПОЛАГАЕМОГО НЕЗАКОННОГО ИЛИ НЕНАДЛЕЖАЩЕГО ИСПОЛЬЗОВАНИЯ ПРОДУКТА. В СЛУЧАЕ УДАЛЕНИЯ ВАШЕГО АККАУНТА ИЛИ ИНЫХ ОГРАНИЧЕНИЙ, ОПИСАННЫХ В ПРЕДЫДУЩЕМ ПРЕДЛОЖЕНИИ, ВЫ МОЖЕТЕ ПОТЕРЯТЬ ЛЮБЫЕ ЛЬГОТЫ, ПРИВИЛЕГИИ, ЗАРАБОТАННЫЕ ИЛИ ПРИОБРЕТЕННЫЕ ТОВАРЫ, СВЯЗАННЫЕ С ИСПОЛЬЗОВАНИЕМ ПРОДУКТА И/ИЛИ ИГРЫ, И GAIJIN НИ ПРИ КАКИХ ОБСТОЯТЕЛЬСТВАХ НЕ ОБЯЗАН КОМПЕНСИРОВАТЬ В ТАКОМ СЛУЧАЕ ЛЮБОЙ УЩЕРБ ИЛИ ПОСЛЕДСТВИЯ.||3.9. Ваши гарантии. ВЫ НАСТОЯЩИМ ГАРАНТИРУЕТЕ, ЧТО: (i) ВСЯ ИНФОРМАЦИЯ, ПРЕДОСТАВЛЕННАЯ ВАМИ КОМПАНИИ GAIJIN В СВЯЗИ С НАСТОЯЩИМ СОГЛАШЕНИЕМ, ЯВЛЯЕТСЯ ДОСТОВЕРНОЙ И ТОЧНОЙ, (ii) У ВАС ЕСТЬ НАДЛЕЖАЩИЕ ПРАВОМОЧИЯ И ПОЛНОМОЧИЯ ДЛЯ ЗАКЛЮЧЕНИЯ ДАННОГО СОГЛАШЕНИЯ, (iii) ВЫ БУДЕТЕ ИСПОЛНЯТЬ ВСЕ СВОИ ОБЯЗАТЕЛЬСТВА ПО НАСТОЯЩЕМУ СОГЛАШЕНИЮ В СООТВЕТСТВИИ С ДЕЙСТВУЮЩИМ ЗАКОНОДАТЕЛЬСТВОМ."
"eula1_text_14"	"||3.10 Конечным пользователям Российской Федерации. Если Вы являетесь резидентом Российской Федерации или юридическим лицом, учрежденным в Российской Федерации, либо если на Вас иным образом распространяется законодательство и правила, действующие в России, Вы признаете и соглашаетесь выполнять требования и соблюдать положения Федерального закона от 27.07.2006 № 149-ФЗ «Об информации, информационных технологиях и защите информации», Федерального Закона от 27.07.2006 № 152-ФЗ «О персональных данных», а также иных подобных нормативно-правовых актов, в том числе международных договоров.|| ||4. НИКАКИХ ГАРАНТИЙ И ОТВЕТСТВЕННОСТИ.||4.1. Средства правовой защиты клиентов. Вся ответственность Gaijin и его поставщиков и Ваше исключительное средство правовой защиты в случае любого нарушения любых гарантий компанией Gaijin, если таковые имеются по Соглашению или закону, составляют, по выбору Gaijin: (i) возврат стоимости покупки оплаченной за лицензию, выданную по настоящему Соглашению, или (ii) коррекция дефектов, “багов” или ошибок в пределах разумного периода времени. Настоящая гарантия недействительна, если дефект явился следствием несчастного случая, неправильного обращения или неправильного использования."
"eula1_text_15"	"||4.2 ОТСУТСТВИЕ ПРЕДПОЛАГАЕМЫХ И ДРУГИХ ВИДОВ ГАРАНТИЙ. ЗА ИСКЛЮЧЕНИЕМ ГАРАНТИЙ, ТРЕБУЕМЫХ ВАШИМ МЕСТНЫМ ЗАКОНОДАТЕЛЬСТВОМ, ПРОДУКТ ПРЕДОСТАВЛЯЕТСЯ “КАК ЕСТЬ” БЕЗО ВСЯКИХ ГАРАНТИЙ, И GAIJIN НЕ ДАЕТ НИКАКИХ ОБЕЩАНИЙ И ГАРАНТИЙ (ЯВНЫХ И НЕЯВНЫХ) КАК ПО ЧАСТНОМУ, ТАК И ПО ОБЩЕМУ ПРАВУ. ВЫ ПРИНИМАЕТЕ НА СЕБЯ ВЕСЬ РИСК И ОТВЕТСТВЕННОСТЬ ЗА ПРИМЕНЕНИЕ ПРОДУКТА ДЛЯ ПОЛУЧЕНИЯ ТРЕБУЕМЫХ РЕЗУЛЬТАТОВ, А ТАКЖЕ ЗА УСТАНОВКУ, ИСПОЛЬЗОВАНИЕ И РЕЗУЛЬТАТЫ, ПОЛУЧЕННЫЕ С ПОМОЩЬЮ ПРОДУКТА . GAIJIN НЕ ДАЕТ НИКАКИХ ГАРАНТИЙ НА ТО, ЧТО В ПРОДУКТЕ НЕ БУДЕТ СОДЕРЖАТЬСЯ ОШИБОК, А ТАКЖЕ НЕ БУДЕТ НИКАКИХ ПАУЗ И СБОЕВ В РАБОТЕ, ИЛИ ЧТО ОН БУДЕТ СОВМЕСТИМ С ЛЮБЫМ АППАРАТНЫМ И ПРОГРАММНЫМ ОБЕСПЕЧЕНИЕМ. В МАКСИМАЛЬНОЙ СТЕПЕНИ, КАКУЮ ДОЗВОЛЯЕТ ЗАКОН, ЛИЦЕНЗИАР ОТКАЗЫВАЕТСЯ ОТО ВСЕХ ГАРАНТИЙ, КАК ЯВНО ПРОПИСАННЫХ, ТАК И ПОДРАЗУМЕВАЕМЫХ, ВКЛЮЧАЯ, НО НЕ ОГРАНИЧИВАЯСЬ, ГАРАНТИЕЙ НА ТОВАРНУЮ ПРИГОДНОСТЬ, НЕНАРУШЕНИЕ АВТОРСКИХ ПРАВ ТРЕТЬИХ ЛИЦ, СОВМЕСТИМОСТЬ С ДРУГИМИ ПРОДУКТАМИ (ИНТЕГРАЦИЮ), ДОСТАТОЧНОЕ КАЧЕСТВО ИЛИ ГОДНОСТЬ ДЛЯ ЛЮБЫХ ПОТРЕБНОСТЕЙ, СВЯЗАННЫХ С ПРОДУКТОМ ИЛИ СОПРОВОЖДАЮЩЕЙ ДОКУМЕНТАЦИЕЙ. ВЫ ПРИЗНАЕТЕ, ЧТО ПРОДУКТ МОЖЕТ БЫТЬ ДОСТУПЕН ИЛИ НЕДОСТУПЕН В СИЛУ РАЗНЫХ ФАКТОРОВ, ВКЛЮЧАЯ, НО НЕ ОГРАНИЧИВАЯСЬ, СЛЕДУЮЩИМИ: ПЕРИОДИЧЕСКОЕ ТЕХНИЧЕСКОЕ ОБСЛУЖИВАНИЕ СИСТЕМЫ (ЗАПЛАНИРОВАННОЕ ИЛИ НЕЗАПЛАНИРОВАННОЕ), ФОРС-МАЖОРНЫЕ ОБСТОЯТЕЛЬСТВА, ТЕХНИЧЕСКИЕ СБОИ В РАБОТЕ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ, СТРУКТУРА ТЕЛЕКОММУНИКАЦИЙ, ЗАДЕРЖКИ ИЛИ СБОИ, ВЫЗВАННЫЕ ВИРУСАМИ, АТАКИ \"ОТКАЗ В СОЕДИНЕНИИ\" (DENIAL OF SERVICE ATTACKS), РАСТУЩАЯ ИЛИ НЕРЕГУЛЯРНО ИЗМЕНЯЮЩАЯСЯ НАГРУЗКА, А ТАКЖЕ ДЕЙСТВИЕ ИЛИ НЕДОСМОТР СО СТОРОНЫ ТРЕТЬИХ ЛИЦ. ТАКИМ ОБРАЗОМ, GAIJIN НАСТОЯЩИМ ОТКАЗЫВАЕТСЯ ОТО ВСЕХ ВИДОВ ГАРАНТИЙ, СВЯЗАННЫХ С РАБОТОСПОСОБНОСТЬЮ СИСТЕМЫ И/ИЛИ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ, ДОСТУПНОСТЬЮ ИЛИ ТЕХНИЧЕСКИМИ ХАРАКТЕРИСТИКАМИ И СНИМАЕТ С СЕБЯ ВСЯКУЮ ОТВЕТСТВЕННОСТЬ ЗА ПОТЕРЮ ДАННЫХ ВО ВРЕМЯ ПРОЦЕССА ОБМЕНА ДАННЫМИ И ОТВЕТСТВЕННОСТЬ ЗА ОТСУТСТВИЕ ПЕРЕДАЧИ ПОЛНОЙ ИЛИ ДОСТОВЕРНОЙ ИНФОРМАЦИИ."
"eula1_text_16"	"||4.3 ОГРАНИЧЕННАЯ ОТВЕТСТВЕННОСТЬ, ОТСУТСТВИЕ ОТВЕТСТВЕННОСТИ ЗА КОСВЕННЫЕ УБЫТКИ. ВЫ ПРИНИМАЕТЕ НА СЕБЯ ВСЕ УБЫТКИ, СВЯЗАННЫЕ С ИСПОЛЬЗОВАНИЕМ ВАМИ ПРОДУКТА И ИНФОРМАЦИИ, СОДЕРЖАЩЕЙСЯ ЛИБО ПРОИЗВЕДЕННОЙ С ПОМОЩЬЮ ПРОДУКТА, А ТАКЖЕ УЩЕРБ, СВЯЗАННЫЙ С ВЗАИМОДЕЙСТВИЕМ (ЛИБО НЕПРАВИЛЬНЫМ ВЗАИМОДЕЙСТВИЕМ) С АППАРАТНЫМ И ПРОГРАММНЫМ ОБЕСПЕЧЕНИЕМ, ПРЕДОСТАВЛЕННЫМ КАК GAIJIN, ТАК И ТРЕТЬИМИ ЛИЦАМИ. В МАКСИМАЛЬНОЙ СТЕПЕНИ ДОЗВОЛЕННОЙ ЗАКОНОМ ЛИЦЕНЗИАР И ЕГО ПОСТАВЩИКИ НЕ БУДУТ ОТВЕТСТВЕННЫ ЗА ЛЮБЫЕ ВИДЫ УЩЕРБА ВКЛЮЧАЯ, НО НЕ ОГРАНИЧИВАЯСЬ, СЛЕДУЮЩИМИ ВИДАМИ: ПОТЕРИ ДОХОДОВ ОТ БИЗНЕСА, ВЫНУЖДЕННЫЙ ПРОСТОЙ, ПОТЕРЯ БИЗНЕС-ИНФОРМАЦИИ, ПОТЕРЯ РЕПУТАЦИИ, ОСТАНОВКА РАБОТЫ, ПОВРЕЖДЕНИЕ И НЕРАБОТОСПОСОБНОСТЬ АППАРАТНОГО ИЛИ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ, НЕСОВМЕСТИМОСТЬ ПРОДУКТА С АППАРАТНЫМ ЛИБО ПРОГРАММНЫМ ОБЕСПЕЧЕНИЕМ, ДАЖЕ ЕСЛИ ПОЛЬЗОВАТЕЛЬ БЫЛ ПРЕДУПРЕЖДЕН О ВОЗМОЖНОСТИ ТАКОГО УЩЕРБА. НИ В КОЕМ СЛУЧАЕ СУММАРНАЯ ОТВЕТСТВЕННОСТЬ GAIJIN ПО ВСЕМ ВОЗМОЖНЫМ ПРИЧИНАМ НЕ МОЖЕТ СОСТАВИТЬ СУММУ БОЛЬШУЮ, ЧЕМ $10. ЭТО ОГРАНИЧЕНИЕ ОТВЕТСТВЕННОСТИ НЕ РАСПРОСТРАНЯЕТСЯ НА ТРАВМЫ ИЛИ СМЕРТЕЛЬНЫЕ СЛУЧАИ В ТОЙ СТЕПЕНИ, В КОТОРОЙ СООТВЕТСТВУЮЩИЙ ЗАКОН ЗАПРЕЩАЕТ ТАКИЕ ОГРАНИЧЕНИЯ ОТВЕТСТВЕННОСТИ. БОЛЕЕ ТОГО, ПО ПРИЧИНЕ ТОГО, ЧТО НЕКОТОРЫЕ ЮРИСДИКЦИИ НЕ ПОЗВОЛЯЮТ ИСКЛЮЧАТЬ ИЛИ ОГРАНИЧИВАТЬ ОТВЕТСТВЕННОСТЬ, СВЯЗАННУЮ С КОСВЕННЫМ ИЛИ СЛУЧАЙНЫМ УЩЕРБОМ, ВЫШЕУКАЗАННЫЕ ОГРАНИЧЕНИЯ МОГУТ К ВАМ НЕ ОТНОСИТЬСЯ."
"eula1_text_17"	"||5 ВАША ЧАСТНАЯ ИНФОРМАЦИЯ И ПОЛИТИКА В ОТНОШЕНИИ ЧАСТНОЙ ИНФОРМАЦИИ GAIJIN.||5.1 Политика в отношении частной информации. Настоящим Вы даете свое согласие на обработку Ваших личных данных компанией Gaijin (которые могут быть собраны Gaijin или ее дистрибьюторами) в соответствии с текущим Положением о частной информации, полный текст которой доступен на сайте по адресу http://crossout.ru/ru/support/privacypolicy/. Заключая данное Соглашение, Вы даете свое согласие на то, что Gaijin может собирать и хранить частную информацию о Вас, включая Ваше имя и адрес электронной почты, а так же информацию по кредитным картам. Для выполнения некоторых задач Gaijin использует услуги третьих лиц или организаций, которые действуют от его имени, например, услуги по исполнению заказов, доставке посылок, рассылке сообщений по почте и электронной почте, предоставлению маркетинговых услуг, обработке платежей с помощью кредитных карт и услуги по работе с клиентами. Такие лица могут получать доступ к информации, необходимой для выполнения их работы, но не имеют права использовать её для других целей. Gaijin публикует информацию о текущей политике в отношении частной информации на своем сайте и может изменять и дополнять её по собственному усмотрению. Прежде, чем подписать настоящее Соглашение, Вам следует ознакомиться с Положением о частной информации Gaijin для получения более подробной информации о том, как Ваши данные будут храниться и использоваться Gaijin. Персональные данные будут обрабатываться Gaijin и его дистрибьюторами в той стране, в которой они были собраны. Законы этой страны в отношении обработки персональной информации могут отличаться от Ваших местных законов."
"eula1_text_18"	"||6 Разное.||6.1 Регулирующее право, юрисдикция и подсудность.||Данное Соглашение регулируется, толкуется и исполняется в соответствии с законодательством Штата Вирджиния, США без учета норм и принципов коллизионного права. Положения данного Соглашения превалируют над любыми положениями Коммерческого Кодекса (Uniform Commercial Code) в отношении Продукта в любой правовой юрисдикции. Данное Соглашение не подчиняется Конвенции Организации Объединенных Наций о Контрактах в Области Международной Торговли (the United Nations Convention on Contracts for the International Sale of Goods). Если Вы являетесь резидентом США, для целей определения персональной юрисдикции, федеральные суды и суды штатов в Штате Вирджиния, США обладают исключительной юрисдикцией для разрешения любых споров, вытекающих из настоящего Соглашения. Вы соглашаетесь, что это Соглашение будет выполняться в рамках Штата Вирджинии и что любое действие, споры, разногласия или претензии, которые могут быть возбуждены на основе настоящего Соглашения, или в результате или в связи с настоящим Соглашением или о любом предполагаемом нарушении таковых, быть привлечены к ответственности исключительно в государственные и федеральные суды в Штате Вирджиния, и вы, насколько это разрешено действующим законодательством, настоящим отказываетесь от права менять место любого другого штата, округа, района или юрисдикции, при условии, однако, что Gaijin, как истец, имеет право возбуждать дело в любом суде компетентной юрисдикции. Если вы не являетесь резидентом США, Вы соглашаетесь, что любой спор, разногласие или требование, возникающие или касающиеся настоящего Договора, должны быть определены и разрешены путем арбитража в соответствии с Международной торговой палатой соответствии с Правилами Арбитража Международной торговой палаты (“Правила”). Сторона-истец назначает одного арбитра, и сторона-ответчик назначает одного арбитра, и два назначенных таким образом арбитра назначают третьего арбитра, в соответствии с положениями настоящих Правил. Местом арбитража является Вашингтон, округ Колумбия, США. Языком арбитражного разбирательства является английский язык. Любое решение, предоставленных арбитра(ов) должно быть окончательным и обязательным для участвующих сторон и составляет единственное и исключительное средство для любого спора между заинтересованными сторонами по вопросу разрешения спора в такой арбитраж."
"eula1_text_19"	"||6.2 Исковая давность. Никакой иск, независимо от его вида, вытекающий из данного Соглашения, не может быть подан позднее 1 (одного) года с момента возникновения обстоятельства, послужившего основанием для иска, или с момента обнаружения такого обстоятельства, за исключением случаев нарушения прав на интеллектуальную собственность, в отношении которых устанавливаются максимальные сроки исковой давности, предусмотренные соответствующим законом.||6.3 Целостность Соглашения; Недействительность отдельных частей; Отказ от прав. Данное Соглашение является неделимым соглашением между Вами и Gaijin, и замещает собой все предыдущие соглашения, предложения, договоренности и предложения (в устном или письменном виде) по отношению к Продукту или к положениям данного Соглашения, при условии, что Gaijin и Вы можете ограничить, изменить или изменяет применимость условий настоящего Соглашения, предварительным, одновременным или последующим письменным соглашением, ссылаясь на этот раздел 6.3 Соглашения и прямо предусматривающим такие ограничения, модификации или изменения. Вы признаете, что Вы прочитали данное Соглашение, поняли его смысл и теперь связаны его условиями. Если какие-либо положения данного Соглашения будут в судебном порядке признаны недействительными, не имеющими юридической силы или не приводимыми в исполнение в принудительном порядке, целиком или в отдельных пунктах, то эти пункты будут истолкованы более узко таким образом, чтобы они получили полную юридическую силу и применяемость с той целью, чтобы остальная часть Соглашения в целом не потеряло смысл и максимально полно соответствовало действующему законодательству. Никакой отказ стороны от приведения в исполнение положений данного Соглашения не будет считаться отказом от своих прав относительно предшествующего, текущего или последующего нарушения другой стороной каких либо положений, и никакой такой отказ не будет считаться действительным за исключением случаев, когда сделан в письменном виде."
"eula1_text_2"	"Настоящее Лицензионное Соглашение в электронной форме (далее “Соглашение”) является юридическим соглашением между Вами (физическим или юридическим лицом) и компанией Gaijin Entertainment LLP и ее дистрибьюторами (“Gaijin”), относительно он-лайн игры под названием Crossout (“Игра”) и соответствующего программного обеспечения, которое Вы хотите загрузить, уже загрузили, либо получили другим способом, посредством услуг Gaijin, или посредством скачивания в виде объектного кода, включая, без ограничений, в том числе: (a) все содержимое файлов или других носителей информации, с которыми связано данное Соглашение (“Программное Обеспечение”); (б) все последующие усовершенствования, переработки, исправления, модификации, копии, дополнения или выпуски программы (в совокупности именуемые “Обновления”), если таковые имели место, при условии, что Обновления не включают в себя последующие выпуски программного обеспечения а также любые выпуски с измененным названием Игры (“Новые Выпуски”), но включают в себя любые незначительные изменения в Продукте, отмеченные изменениями в десятичной цифре версии, например, с 2.5 на 2.6), и (с) всю пользовательскую документацию и пояснительные материалы или файлы, предоставленные в печатном (письменном), электронном или онлайн-виде (“Документация” и вместе с Программным Обеспечением и Обновлениями именуются в дальнейшем “Продукт”).|На Вас распространяется действие данного Лицензионного Соглашения в том случае, если Вы получили доступ к данному Продукту непосредственно от Gaijin, либо через любой другой источник. В целях настоящего Соглашения под терминами “Вы” подразумевается также физическое лицо, устанавливающее или использующее Продукт от своего имени."
"eula1_text_20"	"||6.4 Контактная информация.||Если у вас возникнут какие-либо вопросы относительно данного Соглашения или вам потребуется связаться с Gaijin по любому другому поводу, пожалуйста, обращайтесь к нашей службе по работе с клиентами: legals#@gaijinent.com.||Copyright © 2016 Gaijin Entertainment и ее лицензиаров. Все права защищены. Продукт, входящее в него программное обеспечение и сопроводительная Документация охраняются законом о защите авторских прав и международными конвенциями, а также другими законами и договорами о защите прав интеллектуальной собственности."
