"2STEP_AUTHORIZATION_ENABLED"	"Ваш аккаунт защищен."
"ERROR_MM_MISSION_CHECK"	"Ошибка подтверждения миссии."
"ERROR_MM_NOT_IN_QUEUE"	"Игрок не в очереди."
"ERROR_MM_NO_DSFARMS_AVAILABLE"	"Нет доступных DS farm."
"ERROR_MM_NO_SERVERS_FOR_REGION"	"Нет доступных серверов в выбранном регионе."
"ERROR_MM_OTHER_CLAN_RESERVE_FAILED"	"Клану соперников не удалось присоединиться."
"ERROR_MM_PARTY_CONFLICTED_QUEUES"	"Члены группы стоят в разных очередях."
"ERROR_MM_PARTY_TO_FFA"	"В миссию нельзя войти группой"
"ERROR_MM_ROTATION_CHANGED"	"Ротация заданий изменилась."
"ERROR_MM_TOO_FEW_PLAYERS"	"В группе недостаточно игроков для выбранного типа сражений."
"ERROR_MM_TOO_MANY_PLAYERS"	"В группе слишком много игроков для данного выбранного типа сражений."
"ERROR_MM_UNAVAILABLE"	"Матчмейкинг временно недоступен."
"ERROR_MM_USER_CLAN_CHANGED"	"Один из игроков сменил клан."
"ERROR_MM_USER_WAS_IN_GAME"	"Игрок уже в бою."
"ERROR_NETWORK"	"Ошибка соединения с сервером Crossout. Попробуйте позже или обратитесь в службу поддержки."
"ERROR_NICKNAME_INVALID"	"Недопустимое имя."
"ERROR_NICKNAME_TAKEN"	"Это имя уже занято другим игроком."
"ERROR_NOT_LOGGED_IN"	"Необходимо выполнить вход."
"ERROR_NO_CAR_DESIGN"	"Чертеж не существует."
"ERROR_NO_QUEST_REPICK_TODAY"	"Сегодня больше нельзя выбирать миссию."
"ERROR_NO_SUCH_QUEST"	"Квест не найден."
"ERROR_OK"	"Никаких ошибок!"
"ERROR_OPERATION_CANCELLED"	"Операция отменена."
"ERROR_PARSE_ERROR"	"Ошибка обработки запроса."
"ERROR_PARTY_ALREADY_MEMBER"	"Игрок уже в группе."
"ERROR_PARTY_CANT_INVITE_SELF"	"Нельзя пригласить самого себя в группу."
"ERROR_PARTY_FULL"	"В группе нет мест."
"ERROR_PARTY_INVALID_STATE"	"Невозможно отправиться в бой группой. Игрок не принял ваше приглашение."
"ERROR_PARTY_MISSION_FORBIDDEN"	"Миссия недоступна."
"ERROR_PARTY_NOT_INVITED"	"Игрок не приглашен в группу."
"ERROR_PARTY_NOT_LEADER"	"Игрок не лидер группы."
"ERROR_PARTY_NOT_MEMBER"	"Игрок не состоит в группе."
"ERROR_PARTY_PLAYER_IN_LOBBY"	"Нельзя принять приглашение в группу, находясь в лобби"
"ERROR_PARTY_PLAYER_OFFLINE"	"Этот игрок не в сети."
"ERROR_PARTY_SOMEONE_LEAVE"	"Игрок вышел из группы."
"ERROR_PARTY_VALIDATION_ERROR"	"Группе не удалось встать в очередь."
"ERROR_PENDING"	"Производится асинхронная операция."
"ERROR_PERK_CONFLICT_OTHER_PERK"	"Строительство невозможно.||Сначала нужно разрушить здание $exclude_perk$, запрещающее постройку."
"ERROR_PERK_INALIENABLE"	"Невозможно разрушить стартовое здание лагеря."
"ERROR_PERK_INUSE_CRAFTSMAN"	"Нельзя разрушить это здание, так как оно используется одним из мастеров.||Сначала увольте мастера."
"ERROR_PERK_INUSE_TRADE"	"Нельзя разрушить здание — торговые слоты, обеспеченные им, используются.|Сначала снимите с продажи несколько лотов."
"ERROR_PERK_INUSE_WORKPLACE"	"Нельзя разрушить это здание, так как оно используется как рабочее место.||Сначала освободите рабочее место."
"ERROR_PERK_MAX_GRADE"	"Здание @ff00ff00$perk_name$$restore$ уже максимального уровня."
"ERROR_PERK_NO_GRADE"	"Невозможно разрушить здание, которое еще не построено."
"ERROR_PERK_NO_POINTS"	"В лагере недостаточно людей для осуществления операции.||Повышайте свой уровень в бою, для привлечения новых людей."
"ERROR_PERK_OTHER_REQUIRE"	"Нельзя разрушить здание @ff00ff00$perk_name$$restore$, так как оно требуется для работы здания @ffff0000$next_perk$$restore$.||Сначала разрушьте @ffff0000$next_perk$$restore$."
"ERROR_PERK_REQUIRE_MORE_UNLOCKED_PERK"	"Нужно построить больше зданий."
"ERROR_PERK_REQUIRE_OTHER_PERK"	"Для строительства здания @ff00ff00$perk_name$$restore$ требуется наличие здания $require_perk$$require_perk_lvl$.||Постройте $require_perk$$require_perk_lvl$."
"ERROR_PLACED_INTO_LOGIN_QUEUE"	"Вы в очереди на вход."
"ERROR_PLAYER_OFFLINE"	"Игрока нет в сети."
"ERROR_PROMISE_BROKEN"	"Одна или несколько внутренних асинхронных операций не были завершены."
"ERROR_PROMO_ACCOUNT_REQUIRE"	"Это действие доступно только промо-аккаунтам."
"ERROR_PROTO_DISCONNECTED"	"(Ошибка 17) Превышено время ожидания сервера.|Повторите попытку позже."
"ERROR_PROTO_INVALID_RESPONSE"	"Неверный или непредвиденный ответ протокола."
"ERROR_PROTO_OBJ_REGISTRY_ERROR"	"Ошибка реестра объектов."
"ERROR_PROTO_PEER_DUP"	"Дублирование proto peer."
"ERROR_PROTO_RESPONSE_NOT_WANTED"	"Ответ протокола не ожидается."
"ERROR_PROTO_VERSION_MISMATCH"	"Несовместимая версия протокола."
"ERROR_PSN_NOT_AUTORIZED"	"Не удалось установить соединение с PlayStation™Network."
"ERROR_PSN_PARENTAL_UGC_RESTRICTION"	"Доступ к контенту, созданному пользователями, ограничен настройками вашей учетной записи."
"ERROR_PSN_REQUIRE_SIGN_IN"	"Необходимо войти в PlayStation™Network."
"Error_PSN_SIGN_OUT"	"Вы вышли из учетной записи PlayStation™Network и вернулись на стартовый экран."
"ERROR_PSN_TOO_MUCH_REQUESTS"	"Не удалось подключиться к PlayStation™Network. Проверьте сетевое подключение и попробуйте еще раз."
"ERROR_PSN_UNKNOWN_ERROR"	"Не удалось подключиться к PlayStation™Network. Проверьте сетевое подключение и попробуйте еще раз."
"ERROR_RAFT_CHANGE_FAILED"	"Рафт не смог проехать."
"ERROR_RAFT_NOT_READY"	"Рафт не готов."
"ERROR_REQUIRE_GREATER_USER_LEVEL"	"Для получения доступа требуется 10 уровень репутации с фракцией «Механики». Репутация зарабатывается в боях."
"ERROR_RESOURCE_OVERCAP"	"Превышен лимит ресурсов."
"ERROR_SEASONAL_GAMEDATA_IS_BROKEN"	"Ошибка данных сезона."
"ERROR_SEASONAL_SEASON_NOT_COMPLETED"	"Сезон не завершен."
"ERROR_SEASONAL_WRONG_ACTIVE_CHAIN"	"Неверная цепочка заданий."
"ERROR_SEASONAL_WRONG_ACTIVE_SEASON"	"Неверный активный сезон."
"ERROR_SERVER_AT_MAINTENANCE"	"На сервере проводятся технические работы."
"ERROR_SERVER_INTERNAL"	"Внутренняя ошибка сервера."
"ERROR_SERVER_SHUTDOWN"	"Игровой сервер отключен."
"ERROR_SERVER_STARTING_UP"	"Игровые серверы в процессе активации."
"ERROR_SERVER_UNAVAILABLE"	"Сервер не отвечает. Повторите попытку подключения или оформите отчет об ошибке на форуме игры."
"ERROR_SERVER_UNAVAILABLE_PS4"	"Сервер не отвечает. Повторите попытку подключения позже."
"ERROR_SO_LOADING_ERROR"	"Не удалось загрузить этот серверный объект."
"ERROR_SO_NOT_FOUND"	"Этот серверный объект не найден или не существует."
"ERROR_SO_REGISTRY_NOT_LEADER"	"Ошибка объектного реестра: неверный лидер."
"ERROR_SO_REGISTRY_NOT_OWNER"	"Ошибка объектного реестра: вы не являетесь владельцем."
"ERROR_SO_REGISTRY_NOT_READY"	"Ошибка объектного реестра: реестр не готов."
"ERROR_STEAM_API"	"Ошибка Steam API."
"ERROR_STEAM_ATTACH_OR_CREATE"	"Необходимо привязать профиль Steam к существующему игровому профилю или создать новый."
"ERROR_STEAM_CONFIRM_GAIJIN_ATTACH"	"Необходимо подтверждение привязки профиля."
"ERROR_STEAM_FORBIDDEN"	"Ошибка аутентификации Steam."
"ERROR_STEAM_NOT_LOGGED_IN"	"Не выполнен вход в Steam."
"ERROR_STEAM_PRIVATE_PROFILE"	"Этот профиль Steam скрыт."
"ERROR_STEAM_REFUND_KICKED"	"Вы были лишены доступа к игре, так как отменили покупку товара ($url href=\"$store_link$\" text=\"$bundle$\"$). Обратитесь в службу поддержки."
"ERROR_TDP_API"	"Ошибка True Digital Plus."
"ERROR_TDP_GENDER_ERROR"	"Пожалуйста укажите пол в профиле True Digital Plus."
"ERROR_TIMEOUT"	"Ошибка соединения с сервером Crossout. Попробуйте позже или обратитесь в службу поддержки."
"ERROR_UNIMPLEMENTED"	"Функция временно недоступна."
"ERROR_UNKNOWN"	"Неизвестная ошибка."
"ERROR_VERSION_MISMATCH"	"Версия игры не совпадает с сервером."
"ERROR_WRONG_BLUEPRINT_IDX"	"Неверный индекс UserBlueprint."
"ERROR_WRONG_BUNDLE"	"Неправильное название набора."
"ERROR_WRONG_CURRENCY"	"Невозможно купить за выбранную валюту."
"ERROR_XBOX_CANNOT_JOIN_LOBBY_BY_INVITATION"	"Ошибка присоединения к другому игроку. Сессия переполнена, или уже не существует."
"ERROR_XBOX_CANNOT_JOIN_LOBBY_SESSION"	"Ошибка подключения к комнате."
"ERROR_XBOX_LIVE_ASYNC_PENDING"	"Предыдущая операция не закончена."
"ERROR_XBOX_LIVE_MULTIPLAYER_RESTRICTION"	"Вы не можете играть в многопользовательские игры в сети из-за настроек вашей учетной записи."
"ERROR_XBOX_LIVE_REQUIRE_SIGN_IN"	"Необходимо войти в Xbox Live."
"ERROR_XBOX_LIVE_SERVERS_DIDNT_RESPOND"	"Не удалось установить соединение с службой Xbox Live."
"ERROR_XBOX_LIVE_SIGN_OUT"	"Игрок вышел из Xbox Live."
"ERROR_XBOX_LIVE_UGC_RESTRICTION"	"Доступ к контенту, созданному пользователями, ограничен настройками вашей учетной записи."
"ERROR_XBOX_LIVE_UNKNOWN_ERROR"	"Неизвестная ошибка соединения с службой Xbox Live."
"ERROR_XBOX_ONE_ACTIVE_PLAYER_LOST_GAMEPAD"	"Пожалуйста, подключите геймпад повторно."
"ERROR_XBOX_ONE_EXIT_PROFILE"	"Вы вышли из учетной записи. Чтобы играть, войдите в свою учетную запись."
"EXPBONUS_TITLE"	"Доп. репутация:"
"EXPBONUS_TOOLTIP"	"Установка на машину декоративных элементов повышает получаемую в бою репутацию."
"GARAGE_CAMERA_AND_CAR_RESET"	"Вы уверены, что хотите сместить машину в центр гаража?"
"GARAGE_ERROR_CARPART_COLLISION"	"Невозможно выйти в бой. Наложение деталей: $item1$ и $item2$"
"GARAGE_ERROR_CREATE_CABIN"	"Ошибка крепления"
"GARAGE_ERROR_ENGINE_LIMIT"	"Ошибка установки"
"GARAGE_ERROR_ENGINE_LIMIT_TIP"	"На машину можно установить только один двигатель."
"GARAGE_ERROR_FLAG_LIMIT"	"Ограничение на флаги"
"GARAGE_ERROR_FLAG_LIMIT_TIP"	"Внимание! На машину можно установить только один флаг."
"GARAGE_ERROR_GENERATOR_LIMIT"	"Ошибка установки"
"GARAGE_ERROR_GENERATOR_LIMIT_TIP"	"На машину можно установить только один генератор."
"GARAGE_ERROR_REQUIRE_LVL"	"Недостаточный уровень"
"GARAGE_ERROR_REQUIRE_LVL_TIP"	"Требуется $level$ уровень репутации с фракцией «$faction$»"
"GARAGE_ERROR_TOO_MANY_DECALS_TIP_TITLE"	"Слишком много наклеек"
"GARAGE_ERROR_WEAPON_BARREL_COLLISION"	"Пересечение со стволом"
"GARAGE_ERROR_WEAPON_BARREL_COLLISION_TIP"	"Деталь не может быть установлена сюда. Выберите другое место."
"GARAGE_ERROR_WEAPON_COLLISION"	"Невозможно выйти в бой. Заблокирован ствол оружия: $item$"
"GARAGE_ERROR_WRONG_ITEM_ORIENTATION"	"Невозможно выйти в бой. Недопустимое расположение детали: $item$"
"GARAGE_PREVIEW_NO_CABIN"	"Для тест-драйва нужна кабина."
"hud_respawn_wnd_try_instabuy_again"	"Не удалось совершить покупку. Товар купил другой выживший."
"Inventory_instant_sell_error_no_items"	"На складе нет неиспользуемых деталей этого типа. "
"MARKET_EMPTY_BLUEPRINT"	"Вы пытаетесь выставить на продажу чертеж без деталей.||Чертеж должен содержать необходимые для функционирования машины детали."
"MARKET_NO_CAR"	"Вы пытаетесь выставить на продажу машину без кабины||Машина должна содержать кабину."
"NOT_ENOUGH_PLAYERS_DESC"	"Недостаточно игроков для продолжения боя."
"NOT_ENOUGH_PLAYERS_HEADER"	"Игра прервана"
"PARTY_QUIT_DESC"	"Лидер группы вернулся в гараж — вы возвращаетесь в свой гараж."
"PARTY_QUIT_HEADER"	"Лидер вернулся в гараж"
"RECONNECTION_DISCONNECT"	"Выйти"
"RECONNECTION_TEXT"	"Соединение не установлено, повторяю попытку присоединиться."
"RECONNECTION_TITLE"	"Ошибка подключения"
"REMOVED_ITEM"	"Этот товар больше не существует"
"XBOX_LIVE_MULTIPLAYER_RESTRICTION"	"Сетевая игра недоступна для этого профиля."
"XBOX_LIVE_UGC_RESTRICTION"	"Пользовательский контент заблокирован."
"ACCELERATION_TITLE"	"Ускорение"
"ACCURACY_TITLE"	"Точность"
"AchievementsWnd_rewards"	"Награды за медали:"
"AchievementsWnd_score"	"Очков"
"AchievementsWnd_tooltip"	"$item_name$$tradable$$unlock$"
"AchievementsWnd_tooltip_tradable"	"||$texture name not_sell scale 2$ Нельзя продать|"
"AchievementsWnd_tooltip_unlock"	"|Для получения разблокируйте медаль $medal_name$."
"achievements_category_CRAFT"	"Производство"
"achievements_category_FIRST"	"Общие"
"achievements_category_LEVELING"	"Репутация"
"achievements_category_MARKET"	"Рынок"
"achievements_category_PVE"	"Рейды"
"achievements_category_PVP"	"Миссии"
"achievement_ASSEMBLY_SIZE_desc"	"Собрать машину из $value$ деталей|"
"achievement_ASSEMBLY_SIZE_name"	"Сон разума"
"achievement_ASSEMBLY_UR_desc"	"Собрать машину с очками мощи не ниже $value$|"
"achievement_ASSEMBLY_UR_name"	"It's Alive! Alive!"
"achievement_build_car_x5_desc"	"$value$ раз внести изменения в конструкцию машины"
"achievement_build_car_x5_name"	"Кастомайзер"
"achievement_change_fire_controls_x1_desc"	"Изменить раскладку управления оружием"
"achievement_change_fire_controls_x1_name"	"Всему своя кнопка"
"achievement_completed"	"Выполнено"
"achievement_completed_total"	"Получено медалей:"
"achievement_CRAFT_EPIC_desc"	"Произвести {$value$;'эпическую деталь';'эпические детали';'эпических деталей';}"
"achievement_CRAFT_EPIC_name"	"Фабрикант"
"achievement_CRAFT_EXOTIC_desc"	"Произвести {$value$;'реликтовую деталь';'реликтовые детали';'реликтовых деталей';}"
"achievement_CRAFT_EXOTIC_name"	"Оружейный барон"
"achievement_craft_item_x5_desc"	"Произведите $value$ любых деталей"
"achievement_craft_item_x5_name"	"Подмастерье"
"achievement_CRAFT_LEGENDARY_desc"	"Произвести {$value$;'легендарную деталь';'легендарные детали';'легендарных деталей';}"
"achievement_CRAFT_LEGENDARY_name"	"Магнат"
"achievement_CRAFT_RARE_desc"	"Произвести {$value$;'редкую деталь';'редкие детали';'редких деталей';}"
"achievement_CRAFT_RARE_name"	"Кустарь"
"achievement_dismantle_item_x1_desc"	"Разобрать {$value$;деталь;детали;деталей} автомобиля"
"achievement_dismantle_item_x1_name"	"Переплавка"
"achievement_faction_base_lvl_10_desc"	"Достигнуть $value$ уровня репутации с фракцией «Механики»"
"achievement_faction_base_lvl_10_name"	"Опытный механик"
"achievement_fight_completed_x5_desc"	"Завершить $value$ боев"
"achievement_fight_completed_x5_name"	"Боец"
"achievement_FUSE_EPIC_PART_desc"	"Произвести {$value$;'улучшенную эпическую деталь';'улучшенные эпические детали';'улучшенных эпических деталей';}"
"achievement_FUSE_EPIC_PART_name"	"Эпический синтез"
"achievement_FUSE_EXOTIC_PART_desc"	"Произвести улучшенную реликтовую деталь"
"achievement_FUSE_EXOTIC_PART_name"	"Реликтовый синтез"
"achievement_FUSE_LEGENDARY_PART_desc"	"Произвести улучшенную легендарную деталь"
"achievement_FUSE_LEGENDARY_PART_name"	"Легендарный синтез"
"achievement_FUSE_RARE_PART_desc"	"Произвести улучшенную редкую деталь"
"achievement_FUSE_RARE_PART_name"	"Редкий синтез"
"achievement_level_tooltip_with_date"	"$name$|@ff606060$date$|@ff909090$desc$|@ffddbb80$val$/$max$"
"achievement_level_tooltip_wo_date"	"$name$|@ff909090$desc$|@ffddbb80$val$/$max$"
"achievement_LOOT_CHESTS_OPEN_desc"	"Открыть $value$ контейнеров"
"achievement_LOOT_CHESTS_OPEN_name"	"Открыватель"
"achievement_LOOT_PARTS_desc"	"Получить $value$ деталей по итогам боев"
"achievement_LOOT_PARTS_name"	"Бюро находок"
"achievement_LVL_FACTION_FIRESTARTERS_desc"	"Достигнуть $value$ уровня репутации с фракцией «Огнепоклонники»"
"achievement_LVL_FACTION_FRENZIED_desc"	"Достигнуть $value$ уровня репутации с фракцией «Бешеные»"
"achievement_LVL_FACTION_FRENZIED_name"	"Бешеный"
"achievement_LVL_FACTION_MILITARY_desc"	"Достигнуть $value$ уровня репутации с фракцией «Степные волки»"
"achievement_LVL_FACTION_MILITARY_name"	"Милитарист"
"achievement_LVL_FACTION_SCAVENGERS_desc"	"Достигнуть $value$ уровня репутации с фракцией «Мусорщики»"
"achievement_LVL_FACTION_SCAVENGERS_name"	"Искатель"
"achievement_LVL_FACTION_SCIENTISTS_desc"	"Достигнуть $value$ уровня репутации с фракцией «Дети Рассвета»"
"achievement_LVL_FACTION_SCIENTISTS_name"	"Последователь Рассвета"
"achievement_LVL_FACTION_TRADERS_desc"	"Достигнуть $value$ уровня репутации с фракцией «Скитальцы»"
"achievement_LVL_FACTION_TRADERS_name"	"Исследователь"
"achievement_LVL_PARAGON_BASE_desc"	"Получить $value$ уровень престижа с фракцией «Механики»"
"achievement_LVL_PARAGON_BASE_name"	"Механик со стажем"
"achievement_LVL_PARAGON_FRENZIED_desc"	"Получить $value$ уровень престижа с фракцией «Бешеные»"
"achievement_LVL_PARAGON_FRENZIED_name"	"Легендарный безумец"
"achievement_LVL_PARAGON_MILITARY_desc"	"Получить $value$ уровень престижа с фракцией «Степные волки»"
"achievement_LVL_PARAGON_MILITARY_name"	"Маршал"
"achievement_LVL_PARAGON_SCAVENGERS_desc"	"Получить $value$ уровень престижа с фракцией «Мусорщики»"
"achievement_LVL_PARAGON_SCAVENGERS_name"	"Свет в конце тоннеля"
"achievement_LVL_PARAGON_SCIENTISTS_desc"	"Получить $value$ уровень престижа с фракцией «Дети Рассвета»"
"achievement_LVL_PARAGON_SCIENTISTS_name"	"Хранитель Рассвета"
"achievement_LVL_PARAGON_TRADERS_desc"	"Получить $value$ уровень престижа с фракцией «Скитальцы»"
"achievement_LVL_PARAGON_TRADERS_name"	"Ты видел все"
"achievement_MARKET_BOUGHT_COUNT_desc"	"Приобрести $value$ товаров на рынке"
"achievement_MARKET_BOUGHT_COUNT_name"	"Шопоголик"
"achievement_MARKET_INSTABUY_desc"	"Купить $value$ товар через быструю покупку"
"achievement_MARKET_INSTABUY_name"	"Импульсивный покупатель"
"achievement_MARKET_INSTASELL_desc"	"Продать $value$ товар через быструю продажу"
"achievement_MARKET_INSTASELL_name"	"Оппортунист"
"achievement_MARKET_MONEY_EARNED_desc"	"Заработать $value$ на рынке"
"achievement_MARKET_MONEY_EARNED_name"	"Рокфеллер"
"achievement_MARKET_SOLD_COUNT_desc"	"Продать $value$ товаров на рынке"
"achievement_MARKET_SOLD_COUNT_name"	"Барыга"
"achievement_MEDAL_ANY_desc"	"Заработать $value$ любых нашивок в боях"
"achievement_MEDAL_ANY_name"	"Медалист"
"achievement_PVE_ALL_desc"	"Успешно завершить $value$ любых рейдов"
"achievement_PVE_ALL_name"	"Рейдер"
"achievement_PVE_DEFENCE_desc"	"Успешно завершить $value$ рейдов типа «Защита»"
"achievement_PVE_DEFENCE_name"	"Защитник"
"achievement_PVE_FUEL_RACE_desc"	"Успешно завершить $value$ рейдов типа «Гонка за горючим»"
"achievement_PVE_FUEL_RACE_name"	"Гонщик"
"achievement_PVE_LEVIATHAN_desc"	"Успешно завершить $value$ рейдов типа «Левиафан»"
"achievement_PVE_LEVIATHAN_KILLS_desc"	"Уничтожить или помочь уничтожить $value$ левиафанов"
"achievement_PVE_LEVIATHAN_KILLS_name"	"Охотник"
"achievement_PVE_LEVIATHAN_name"	"Уничтожитель"
"achievement_PVE_MOB_KILLS_desc"	"Уничтожить или помочь уничтожить $value$ врагов в рейдах"
"achievement_PVE_MOB_KILLS_name"	"Мясник"
"achievement_PVE_MY_LEVIATHAN_WINS_desc"	"Обеспечить $value$ побед созданному вами левиафану"
"achievement_PVE_MY_LEVIATHAN_WINS_name"	"Стратег"
"achievement_PVE_SIEGE_desc"	"Успешно завершить $value$ рейдов типа «Штурм»"
"achievement_PVE_SIEGE_name"	"Разрушитель"
"achievement_PVP_ASSAULT_VICTORY_desc"	"Победить $value$ раз в миссии типа «Захват»"
"achievement_PVP_ASSAULT_VICTORY_name"	"Захватчик"
"achievement_PVP_CONQUER_VICTORY_desc"	"Победить $value$ раз в миссии типа «Встречный бой»"
"achievement_PVP_CONQUER_VICTORY_name"	"Конкистадор"
"achievement_PVP_DAMAGE_BLAST_desc"	"Нанести бронемашинам игроков $value$ повреждений взрывами"
"achievement_PVP_DAMAGE_BLAST_name"	"Бластер"
"achievement_PVP_DAMAGE_DIRECT_desc"	"Нанести бронемашинам игроков $value$ повреждений огнестрельным оружием"
"achievement_PVP_DAMAGE_DIRECT_name"	"Стрелок"
"achievement_PVP_DAMAGE_ENERGY_desc"	"Нанести бронемашинам игроков $value$ повреждений энергетическим оружием"
"achievement_PVP_DAMAGE_ENERGY_name"	"Обжигающий рассвет"
"achievement_PVP_DAMAGE_FLAME_desc"	"Нанести бронемашинам игроков $value$ повреждений огнем"
"achievement_PVP_DAMAGE_FLAME_name"	"Поджигатель"
"achievement_PVP_DAMAGE_MELEE_desc"	"Нанести бронемашинам игроков $value$ повреждений оружием ближнего боя"
"achievement_PVP_DAMAGE_MELEE_name"	"Ванпанчмен"
"achievement_PVP_DAMAGE_TOTAL_desc"	"Нанести $value$ повреждений бронемашинам игроков"
"achievement_PVP_DAMAGE_TOTAL_name"	"Варлорд"
"achievement_PVP_DEFEAT_desc"	"Проиграть в сражении против живых игроков"
"achievement_PVP_DEFEAT_name"	"Не сдавайся!"
"achievement_PVP_KILLS_desc"	"Уничтожить $value$ бронемашин игроков любым способом"
"achievement_PVP_KILLS_name"	"Убийца"
"achievement_PVP_PARTICIPATED_desc"	"Принять участие в сражении против живых игроков"
"achievement_PVP_PARTICIPATED_name"	"Участник"
"achievement_PVP_VICTORY_desc"	"Победить $value$ раз в сражении против живых игроков"
"achievement_PVP_VICTORY_name"	"Победитель"
"achievement_QUEST_ANY_desc"	"Выполнить $value$ ежедневных заданий"
"achievement_QUEST_ANY_name"	"Челленджер"
"achievement_score_total"	"Всего очков:"
"achievement_used_market_x1_desc"	"Воспользоваться рынком в первый раз"
"achievement_used_market_x1_name"	"Начинающий торговец"
"achievement_used_unlockables_x1_desc"	"Использовать разблокируемую деталь в чертеже"
"achievement_used_unlockables_x1_name"	"Конструктор"
"achievement_watched_tutorial_x1_desc"	"Просмотреть обучающий курс"
"achievement_watched_tutorial_x1_name"	"Прилежный ученик"
"ADD_FRIEND_BTN"	"Добавить"
"ADMIN_exhibition_ban"	"Заблокировать"
"ADMIN_player_ban"	"Заблокировать"
"ADMIN_player_mute"	"Заглушить"
"ADMIN_trade_ban"	"Заблокировать"
"Alpha_Bundle_Desc"	"- Уникальный бронемобиль «Шустрик»|- Баллончик с краской «Шаблон: Испытатель»|- Портрет героя «Испытатель»"
"Alpha_Bundle_Name"	"Награда участника Альфа-теста"
"ALPHA_TEST_WINDOW_CLOSED"	"В данный момент закрытое альфа-тестирование Crossout осуществляется только с 19:00 МСК по 22:00 МСК."
"AMMO_BURST_UNIT"	"Залпов"
"AMMO_UNIT"	"шт."
"ANTIADDICTION_BTN_BIND_NOW"	"Привязать"
"ANTIADDICTION_BTN_BIND_WAIT"	"Не сейчас"
"ANTIADDICTION_BTN_CONTINUE"	"Продолжить"
"ANTIADDICTION_BTN_EXIT"	"Выйти"
"ANTIADDICTION_MSG_BIND_POPUP"	"Пожалуйста, привяжите свой номер ID к профилю Crossout, чтобы продолжить получать награды после 5 часов в игре."
"ANTIADDICTION_MSG_HALF_REWARD"	"Вы в игре больше 3 часов. Награда уменьшена вдвое. После 5 часов вы перестанете получать награды."
"ANTIADDICTION_MSG_NO_REWARD"	"Вы в игре больше 5 часов. Награды отключены."
"ANTIADDICTION_MSG_WARNING"	"Вы в игре $time$ ч. После 3 часов в игре ваша награда уменьшится вдвое."
"ARC_LOGIN_BUTTON"	"Войти через Arc"
"Army_Boss_Hard"	"Полководец"
"Army_Destroyer_Hard"	"Клин"
"Army_Killer_Hard"	"Сержант"
"Aus_Quest_1_Desc"	"Заверши 5 боев.||Спецзадание к запуску Тихоокеанского сервера."
"Aus_Quest_1_Name"	"Край Света I"
"Aus_Quest_2_Desc"	"Заверши 20 боев.||Спецзадание к запуску Тихоокеанского сервера."
"Aus_Quest_2_Name"	"Край Света II"
"Aus_Quest_3_Desc"	"Заверши 50 боев.||Спецзадание к запуску Тихоокеанского сервера."
"Aus_Quest_3_Name"	"Край Света III"
"AUTHING"	"Аутентификация"
"AvatarWnd_requirements"	"Требуется $level$ уровень репутации с фракцией «$faction$»"
"AvatarWnd_SELECT"	"Выбрать"
"AvatarWnd_TITLE"	"Смена портрета"
"AvatarWnd_tooltip_format"	"$name$|$desc$"
"avatar_battletest_name"	"Крепкий орешек"
"avatar_bot_name"	"Испытатель"
"avatar_gamescom2017_desc"	"Тусовщик и косплеер. Не пропускал ни одной значимой конференции, пока они проводились, конечно.|Но и теперь, когда старого мира больше не существует, любит нарядиться в какой-нибудь жизнерадостный костюм и с песней нести людям радость. Сказать, что это приводит в ужас тех, кто с ним встречается - значит ничего не сказать."
"AVG_QUEUE_TIME"	"Среднее ожидание"
"BanReason_Not_setted"	"Не указано."
"ban_reason"	"Причина бана"
"Basic_Vehicle_Desc"	"Такую машину Механики выдают новичкам. Ничего особенно выдающегося, но имеет приличные ходовые характеристики и может быть доработана напильником до приличного состояния. "
"Basic_Vehicle_Name"	"Машина новичка"
"BATTLELOG_HEADER_DATE"	"Дата"
"BATTLELOG_HEADER_GAMEPLAY"	"Тип боя"
"BATTLELOG_HEADER_MAP"	"Карта"
"BATTLELOG_HEADER_RESULT"	"Итог"
"BATTLELOG_HEADER_REWARD"	"Награда"
"BATTLELOG_MISSION_GROUP_BRAWL"	"Потасовки"
"BATTLELOG_MISSION_GROUP_CLAN"	"Клановые сражения"
"BATTLELOG_MISSION_GROUP_LADDER"	"Рейтинговая игра"
"BATTLELOG_MISSION_GROUP_OTHER"	"Миссии"
"BATTLELOG_MISSION_GROUP_PVE"	"Рейды"
"BATTLELOG_MISSION_GROUP_SPECIAL"	"Миссии"
"BATTLELOG_RESULT_PLACE"	"$value$ место"
"BETA_TEST"	"Бета-тест"
"BINDING_HEADER_EDITOR_PREVIEW"	"Тест-Драйв"
"BINDING_NAME_quickMsgAttack"	"Сообщение: В атаку!"
"BINDING_NAME_quickMsgComeHere"	"Сообщение: Все сюда!"
"BINDING_NAME_quickMsgDefend"	"Сообщение: Защищай!"
"BINDING_NAME_quickMsgGoodWork"	"Сообщение: Круто!"
"BINDING_NAME_quickMsgHelpMe"	"Сообщение: Нужна помощь!"
"BINDING_NAME_quickMsgLookOut"	"Сообщение: Берегись!"
"BLACK_LIST_TITLE"	"Черный список"
"Blockpost_nomads_caption"	"Крепкий орешек"
"Blockpost_Post1_psycho_text3"	"Т-ш-ш! Стук, стук, стук! Слы-шишь звук? На-ка гвоздь скорей, в гроб себе ЗАБЕЙ! Дальше не пропустим мы людей!"
