"2STEP_AUTHORIZATION_ENABLED"	"บัญชีของคุณได้รับการรักษาความปลอดภัยแล้ว"
"Chassis_ChevyPickup_Name"	"Jockey"
"Chassis_FordPickup_Alpha_Desc"	"ตัวถังกระบะเวอร์ชั่นพิเศษ"
"Chassis_FordPickup_Alpha_Name"	"Thug"
"Chassis_FordPickup_Desc"	"น้ำหนักเบาและความคล่องตัวสูง เหมาะสำหรับติดตั้งกับปืนกล"
"Chassis_FordPickup_name"	"Huntsman"
"Chassis_Gazelle_China_Desc"	"ตัวถังรถบรรทุกขนาดเล็กที่ต่างจากตัวถังทั่วไป"
"Chassis_Gazelle_China_Name"	"Docker CX"
"Chassis_Gazelle_desc"	"ตัวถังรถบรรทุกขนาดเล็ก||รับน้ำหนักได้ดี แต่ความเร็วต่ำ"
"Chassis_Gazelle_name"	"Docker"
"Chassis_Kamaz_desc"	"หนักและมีความทนทานสูง สามารถรับน้ำหนักได้ดีแต่อัตราเร่งค่ำ"
"Chassis_Kamaz_name"	"Trucker"
"Chassis_Maz_Desc"	"ตัวถังขนาดใหญ่ใน Wasteland แต่ ณ ตอนนี้ขนาดไม่สำคัญอีกแล้ว||รับน้ำหนักได้มหาศาลและความเร็วต่ำมาก"
"Chassis_Maz_Name"	"Humpback"
"Chassis_Military_Desc"	"ลักษณะภายนอกดูพื้นๆและชี้ชัดว่าเป็นมรดกตกทอดทางการทหาร||แม้จะดูเรียบๆพื้นๆแต่เป็นตัวถังที่มีความสมดุล"
"Chassis_Military_Name"	"Jawbreaker"
"Chassis_Mustang_Desc"	"ตัวถังทดสอบ"
"Chassis_Mustang_Name"	"Mustang"
"Chassis_Panzer_desc"	"รถถังก็ยังเป็นรถถัง แม้ว่าโลกจะกลายเป็นเถ้าธุลี||แม้จะมีเอกลักษณ์และขนาดกระทัดรัด แต่ความเร็วต่ำมาก"
"Chassis_Panzer_name"	"Carapace"
"Chassis_Rage_Desc"	"ตัวถังรถออฟโร้ดของกองทัพ ชื่อนี้แหล่ะเหมาะกับรูปลักษณ์แล้ว"
"Chassis_Rage_Name"	"Fury"
"Chassis_Small_Desc"	"พื้นเป็นสนิมและซับแรงกระแทกได้น้อยมาก เลือกตัวเลือกอื่นที่ดีกว่าถ้าสามารถหาได้||ข้อมูลทั้งหมดมีค่าเฉลี่ยต่ำกว่าเกณฑ์"
"Chassis_Small_name"	"Guerilla"
"Chassis_Spider_Desc"	"สร้างจากแบบแปลนของวีรบุรุษสงคราม ผู้ใช้เวลาหลายสัปดาห์ใน Wasteland และยังมีชีวิตรอดอยู่"
"Chassis_Spider_Name"	"Steppe spider"
"Chassis_SportCustom_Desc"	"ตัวถังทดสอบ"
"Chassis_SportCustom_Name"	"Custom cabin"
"Chassis_VWT1_Desc"	"แข็งแรงและเชื่อถือได้ ว่าแต่มันทันสมัยตรงไหน!||เป็นตัวถังที่สมดุลกับน้ำหนัก"
"Chassis_VWT1_name"	"WWT1"
"Chassis_Wyvern_Desc"	"ตัวถังที่เคยเป็นเครื่องบินมาก่อน มันไม่สามารถบินได้อีกแล้ว มันเยี่ยมมากสำหรับการจู่โจมอย่างรวดเร็ว ด้วยรูปทรงที่เพรียวบางทำให้เพิ่มยุทธวิธีอื่นๆกับตัวถังได้อีก"
"Chassis_Wyvern_Name"	"Wyvern"
"Decal_default_Desc"	"สติ๊กเกอร์สามารถติดไว้ที่ใดก็ได้ หมุนได้ ปรับขนาดได้ แต่ไม่สามารถติดตั้งได้มากกว่า 2 ชิ้น"
"Decal_fire1_Name"	"Fire1"
"Decal_fire2_Name"	"Fire2"
"Decal_knecht01_Name"	"Drain knight"
"Decal_knecht02_Name"	"Lance knight shield"
"Decal_knecht03_Name"	"Jouster"
"Decal_knecht04_Name"	"Knight rider"
"Decal_knecht05_Name"	"Lion rampant"
"Decal_knecht06_Name"	"Iron lily"
"Decal_noheart_name"	"Black Heart"
"Decal_nyear2018_bomb_Name"	"Happy New Year!"
"Decal_nyear2018_bullfinch_Name"	"Bullfinch"
"Decal_nyear2018_cookie_Name"	"Cookie"
"Decal_nyear2018_croissant_Name"	"Croissant"
"Decal_nyear2018_deer2_Name"	"Buck"
"Decal_nyear2018_deer_back_Name"	"Croup"
"Decal_nyear2018_deer_mg_Name"	"Festive Avenger"
"Decal_nyear2018_deer_Name"	"Make way!"
"Decal_nyear2018_defeat_list_Name"	"Deer counter"
"Decal_nyear2018_feltboots_Name"	"Stocking with gifts"
"Decal_nyear2018_grenade_bow_Name"	"Christmas boom"
"Decal_nyear2018_lollipop_exhaust_Name"	"Chimney"
"Decal_nyear2018_magicancat_Name"	"Boom, and you win!"
"Decal_nyear2018_moonsanta_Name"	"Moon Santa"
"Decal_nyear2018_snowflake_asid_Name"	"Virusnowflake"
"Decal_nyear2018_snowflake_fall_Name"	"Happy snowflake"
"Decal_nyear2018_snowman_eng_Name"	"Snowman XO"
"Decal_nyear2018_snowman_lunatic_Name"	"Snowman Pete"
"Decal_nyear2018_snowman_nomad_Name"	"Snowman"
"Decal_nyear2018_tachanka_Name"	"Cart"
"Decal_redstar_Name"	"Star "
"Decal_thailand_q_name"	"Q"
"Decal_tribal01_Desc"	"สติ๊กเกอร์สามารถติดไว้ที่ใดก็ได้ หมุนได้ ปรับขนาดได้ แต่ไม่สามารถติดตั้งได้มากกว่า 2 ชิ้น"
"Decal_tribal01_Name"	"Capricorn"
"Decal_wwi_dog01_Name"	"Dogs of War"
"Dye_23feb2016_Desc"	"สีสำหรับเทศกาลพิเศษ"
"Dye_23feb2016_Name"	"Defender of the Fatherland"
"Dye_AcidGreen_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_AcidGreen_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_AcidGreen_glossy_Name"	"Isotope-239 metallic"
"Dye_AcidGreen_Name"	"Isotope-239"
"Dye_Aircraft_Desc"	"สีและวัสดุ|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Aircraft_Name"	"Material: Aluminium"
"Dye_Black01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Black01_Name"	"Black 1"
"dye_BlackScratch_Desc"	"สีและลวดลาย|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"dye_BlackScratch_Name"	"Pattern: Scorched Earth"
"Dye_Black_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Black_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Black_glossy_Name"	"Midnight metallic"
"Dye_Black_Name"	"Midnight"
"Dye_Blue01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Blue01_Name"	"Blue"
"Dye_Blue02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Blue02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Blue02_glossy_Name"	"Oasis metallic"
"Dye_Blue02_Name"	"Oasis"
"Dye_Blue03_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Blue03_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Blue03_glossy_Name"	"Twilight metallic"
"Dye_Blue03_Name"	"Twilight"
"Dye_Brown01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Brown01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Brown01_glossy_Name"	"Wasteland metallic"
"Dye_Brown01_Name"	"Wasteland"
"Dye_Brown02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Brown02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Brown02_glossy_Name"	"Bromine metallic"
"Dye_Brown02_Name"	"Bromine"
"Dye_Carbon_Desc"	"สีและวัสดุ|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Carbon_Name"	"Material: Carbon"
"Dye_checker_Desc"	"สีและลวดลาย|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_checker_Name"	"Pattern: Checkers"
"Dye_CherryNine_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_CherryNine_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_CherryNine_glossy_Name"	"Cherry metallic"
"Dye_CherryNine_Name"	"Cherry"
"Dye_Chrome_Desc"	"สีและวัสดุ|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Chrome_Name"	"Material: Chrome"
"Dye_Crimson01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Crimson01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Crimson01_glossy_Name"	"Tornado metallic"
"Dye_Crimson01_Name"	"Tornado"
"Dye_Crimson02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Crimson02_Name"	"Crimson 2"
"Dye_Cyan01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Cyan01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Cyan01_glossy_Name"	"Polar lights metallic"
"Dye_Cyan01_Name"	"Polar lights"
"Dye_Cyan02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Cyan02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Cyan02_glossy_Name"	"Magnetic field metallic"
"Dye_Cyan02_Name"	"Magnetic field"
"Dye_DangerStripes_Desc"	"สีและลวดลาย|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_DangerStripes_Name"	"Pattern: Danger!"
"dye_Eraser_Desc"	"ลบสีออกและคืนสภาพสีของชิ้นส่วน"
"dye_Eraser_Name"	"Paint thinner"
"Dye_ForestCamuflage_Desc"	"สีและลวดลาย|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_ForestCamuflage_Name"	"Pattern: Forest"
"Dye_Gold_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Gold_Name"	"Material: Gold"
"Dye_Gray_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Gray_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Gray_glossy_Name"	"Ashes metallic"
"Dye_Gray_Name"	"Ashes"
"Dye_Green01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Green01_Name"	"Breeze"
"Dye_Green02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Green02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Green02_glossy_Name"	"Amulet metallic"
"Dye_Green02_Name"	"Amulet"
"Dye_Green03_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Green03_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Green03_glossy_Name"	"Emerald metallic"
"Dye_Green03_Name"	"Emerald"
"Dye_Green04_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Green04_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Green04_glossy_Name"	"Iguana metallic"
"Dye_Green04_Name"	"Iguana"
"Dye_GreenKhaki_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_GreenKhaki_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_GreenKhaki_glossy_Name"	"Khaki 2 metallic"
"Dye_GreenKhaki_Name"	"Khaki 2"
"Dye_Grey01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Grey01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Grey01_glossy_Name"	"Haze metallic"
"Dye_Grey01_Name"	"Haze"
"Dye_Grey02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Grey02_Name"	"Gunmetal"
"Dye_Grey03_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Grey03_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Grey03_glossy_Name"	"Heavy clouds metallic"
"Dye_Grey03_Name"	"Heavy clouds"
"Dye_Grid_Desc"	"สีและวัสดุ|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Grid_Name"	"Material: Grid"
"Dye_Khaki01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Khaki01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Khaki01_glossy_Name"	"Khaki 1 metallic"
"Dye_Khaki01_Name"	"Khaki 1"
"Dye_Khaki02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Khaki02_Name"	"Khaki 2"
"Dye_Khaki03_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Khaki03_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Khaki03_glossy_Name"	"Khaki 3 metallic"
"Dye_Khaki03_Name"	"Khaki 3"
"Dye_NewYear2016_Desc"	"Happy New Year!"
"Dye_NewYear2016_Name"	"New Year"
"Dye_Orange01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Orange01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Orange01_glossy_Name"	"Daffodil metallic"
"Dye_Orange01_Name"	"Daffodil"
"Dye_Orange02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Orange02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Orange02_glossy_Name"	"Last dusk metallic"
"Dye_Orange02_Name"	"Last dusk"
"Dye_Orange_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Orange_Name"	"Orange"
"Dye_Pink01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Pink01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Pink01_glossy_Name"	"Gamma rays metallic"
"Dye_Pink01_Name"	"Gamma rays"
"Dye_Pink02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Pink02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Pink02_glossy_Name"	"Coral metallic"
"Dye_Pink02_Name"	"Coral"
"Dye_Red01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Red01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Red01_glossy_Name"	"Red giant metallic"
"Dye_Red01_Name"	"Red giant"
"Dye_Red02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Red02_Name"	"Red 2"
"Dye_Red03_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Red03_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Red03_glossy_Name"	"Victory metallic"
"Dye_Red03_Name"	"Victory"
"Dye_Red4_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Red4_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Red4_glossy_Name"	"Red Moon"
"Dye_Red4_Name"	"Dark red"
"Dye_RedBlue_Desc"	"สีและวัสดุ|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_RedBlue_Name"	"Cold flame"
"Dye_Rusted_Desc"	"สีและวัสดุ|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Rusted_Name"	"Material: Rust"
"Dye_Sand01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Sand01_Name"	"Sand 1"
"Dye_Sand02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Sand02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Sand02_glossy_Name"	"Mirage metallic"
"Dye_Sand02_Name"	"Mirage"
"Dye_SandCamuflage_Desc"	"สีและลวดลาย|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_SandCamuflage_Name"	"Pattern: Dune"
"Dye_Sand_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Sand_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Sand_glossy_Name"	"Sandstorm metallic"
"Dye_Sand_Name"	"Sandstorm"
"Dye_SeaCamuflage_Desc"	"สีและลวดลาย|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_SeaCamuflage_Name"	"Pattern: Sea"
"Dye_SkyBlue_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_SkyBlue_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_SkyBlue_glossy_Name"	"Clear sky metallic"
"Dye_SkyBlue_Name"	"Clear sky"
"Dye_UrbanCamouflage_Desc"	"สีและลวดลาย|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_UrbanCamouflage_Name"	"Pattern: Urban"
"Dye_Valentine2016_Desc"	"สีสำหรับเทศกาลพิเศษ"
"Dye_Valentine2016_Name"	"Valentine"
"Dye_Violet01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Violet01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Violet01_glossy_Name"	"Electron metallic"
"Dye_Violet01_Name"	"Electron"
"Dye_Violet02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Violet02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Violet02_glossy_Name"	"Ocean metallic"
"Dye_Violet02_Name"	"Ocean"
"Dye_WarmRed_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_WarmRed_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_WarmRed_glossy_Name"	"Embers metallic"
"Dye_WarmRed_Name"	"Embers"
"Dye_White01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_White01_Name"	"White 1"
"Dye_White_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_White_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_White_glossy_Name"	"White Sun"
"Dye_White_Name"	"White"
"Dye_Yellow01_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Yellow01_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Yellow01_glossy_Name"	"Spark metallic"
"Dye_Yellow01_Name"	"Spark"
"Dye_Yellow02_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Yellow02_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Yellow02_glossy_Name"	"Burning sun metallic"
"Dye_Yellow02_Name"	"Burning sun"
"Dye_Yellow03_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Yellow03_glossy_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"Dye_Yellow03_glossy_Name"	"Bumblebee metallic"
"Dye_Yellow03_Name"	"Bumblebee"
"GarbageGun_Spread_Decreasing_DESC"	"ความแม่นยำของอาวุธจะสูงขึ้นเมื่อรถทำความเร็วได้สูงขึ้น ความแม่นยำจะมีผลสูงสุดที่ความเร็ว 60 Kmh"
"GazelleBase_desc"	"แค่ตัวถังกับล้อ ไม่มีอะไรมากกว่านั้น"
"GazelleBase_name"	"Minivan chassis"
"ItemDesc_ConstructionBonus"	"รถ HP เพิ่มขึ้น @ff00ff00$car_health$@ffffffff"
"ItemDesc_ExpBonus"	"เพิ่มชื่อเสียงที่ได้รับหลังจากการต่อสู้ @ff00ff00$exp_reward_bonus$@ffffffff%"
"item_test_piece_desc"	"ใช้สำหรับสร้าง Super Gun นำส่วนประกอบ 10 ชิ้นมาสร้างเป็นปืนขนาดใหญ่ที่ช่างคราฟฝ่าย Engineer"
"item_test_piece_name"	"SUPER Gun component"
"KamazBase_desc"	"แค่ตัวถังกับล้อ ไม่มีอะไรมากกว่านั้น"
"KamazBase_name"	"Truck chassis"
"KamazGrad_desc"	"การออกแบบขั้นสูงกับอาวุธและโมดูลซับซ้อน"
"KamazGrad_name"	"Hail Truck"
"mat_KhakiDark01_Desc"	"สีและวัสดุ|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"mat_KhakiDark01_Name"	"Pattern: Pine"
"metal_AlienColor_Desc"	"สีและวัสดุ|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"metal_AlienColor_Name"	"Material: Quartz"
"metal_BlackIron_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"metal_BlackIron_Name"	"Quicksilver"
"metal_KnightIron_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"metal_KnightIron_Name"	"Material: Plate steel"
"metal_oil_Desc"	"แค่น้ำมันธรรมดา"
"metal_oil_Name"	"Oil"
"metal_PoliceBlack_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"metal_PoliceBlack_Name"	"Bad cop"
"metal_PoliceWhite_Desc"	"สเปรย์กระป๋อง|สามารถพ่นสีกับชิ้นส่วนได้หลายชิ้น"
"metal_PoliceWhite_Name"	"Good cop"
"metal_Yellow03_desc"	"สีกระป๋อง|สามารถพ่นสีกับไอเทมได้หลายชิ้น"
"NewGazelDrone_desc"	"การออกแบบขั้นสูงกับอาวุธและโมดูลซับซ้อน"
"NewGazelDrone_name"	"Quadrocopter Minivan"
"NewGazelle_desc"	"ติดตั้งอาวุธพื้นฐานแล้วไปลุยได้เลย"
"NewGazelle_name"	"Basic Minivan"
"NewKamazTank_desc"	"การออกแบบขั้นสูงกับอาวุธและโมดูลซับซ้อน"
"NewKamazTank_name"	"Tank'n'Gun"
"NewKamaz_desc"	"ติดตั้งอาวุธพื้นฐานแล้วไปลุยได้เลย"
"NewKamaz_name"	"Basic Truck"
"NewPickupMiner_desc"	"การออกแบบขั้นสูงกับอาวุธและโมดูลซับซ้อน"
"NewPickupMiner_name"	"Minelayer Pickup"
"NewPickupRocket_desc"	"การออกแบบขั้นสูงกับอาวุธและโมดูลซับซ้อน"
"NewPickupRocket_name"	"Rocketeer Pickup"
"NewPickup_desc"	"ติดตั้งอาวุธพื้นฐานแล้วไปลุยได้เลย"
"NewPickup_name"	"Basic Pickup"
"PARTINFO_ACCELERATION_TITLE"	"อัตราเร่ง"
"PARTINFO_CRIT_MASS_TITLE"	"น้ำหนักสูงสุด"
"PARTINFO_POWER_GEN_TITLE"	"พลังงาน"
"PARTINFO_TONNAGE_TITLE"	"น้ำหนักที่รับได้"
"PARTSFILTER_8_Resource"	"ทรัพยากร"
"PARTTYPE_10_15_Cabin_Light"	"Light cabin"
"PARTTYPE_10_16_Cabin_Medium"	"Medium cabin"
"PARTTYPE_10_17_Cabin_Medium"	"Medium cabin"
"PARTTYPE_10_18_Cabin_Heavy"	"Heavy cabin"
"PARTTYPE_10_19_Cabin_Tank"	"Tank cabin"
"PARTTYPE_10_20_Cabin"	"Cabin"
"PARTTYPE_10_20_Chassis"	"Frame block"
"PARTTYPE_10_frenzied_armor"	"Buggy part"
"PARTTYPE_20_10_Machinegun"	"Machine gun"
"PARTTYPE_20_11_AutoWeapon"	"Automatic weapon"
"PARTTYPE_20_12_Revolver"	"Revolver"
"PARTTYPE_20_15_MachinegunFrontal"	"Frontal machine gun"
"PARTTYPE_20_17_Minigun"	"Minigun"
"PARTTYPE_20_20_Shotgun"	"Shotgun"
"PARTTYPE_20_30_ShotgunFrontal"	"Frontal shotgun"
"PARTTYPE_20_40_AutoCannon"	"Auto-cannon"
"PARTTYPE_20_45_Crossbow"	"Crossbow"
"PARTTYPE_20_46_Laser"	"Combat laser"
"PARTTYPE_20_47_Energy"	"Energy weapon"
"PARTTYPE_20_47_PlazmaGun"	"Plasma Gun"
