"2STEP_AUTHORIZATION_ENABLED"	"Tu cuenta está protegida."
"HINT_TEXT_TUTORIAL_OPEN_INVENTORY"	"Pulsa @ffff9900$key$@ffffffff para abrir un almacén con todas las piezas que posees."
"HINT_TEXT_TUTORIAL_OPEN_INVENTORY_MACHINEGUN"	"Y ahora monta una tercera ametralladora en el coche. Pulsa @ffff9900$key$@ffffffff para abrir el almacén."
"HINT_TEXT_TUTORIAL_PICK_PART"	"Selecciona la pieza pulsando @ffff9900$key$@ffffffff."
"HINT_TEXT_TUTORIAL_PROLONGE_CRAFTSMAN"	"Para construir piezas tienes que alquilar un banco de trabajo."
"HINT_TEXT_TUTORIAL_REMOVE_PART"	"Para guardar una pieza en el almacén, pulsa @ffff9900$key$@ffffffff."
"HINT_TEXT_TUTORIAL_TO_BATTLE"	"Pulsa el botón \"A la batalla\" para unirte a una, aumentar tu reputación y conseguir una recompensa."
"HINT_TEXT_TUTORIAL_TO_CAR_EDITOR"	"Pulsa el botón \"Construir\" para entrar en el modo de construcción."
"HINT_TEXT_TUTORIAL_TO_CONTROL_BATTLE"	"Pulsa el botón \"A la batalla\" para iniciar una misión de práctica. En las misiones consigues recompensas y reputación."
"HINT_TEXT_TUTORIAL_TO_HOME"	"El botón \"Garaje\" te llevará de vuelta al garaje desde cualquier lugar."
"HINT_TEXT_TUTORIAL_WAIT_TILL_START"	"Espera a que empiece el combate"
"HINT_TEXT_TUTORIAL_WELD_PART"	"Monta la pieza en tu vehículo con @ffff9900$key$@ffffffff."
"HINT_TITLE_BLUEPRINT_OPEN"	"Planos"
"HINT_TITLE_BLUEPRINT_SAVE"	"Guardar planos"
"HINT_TITLE_BLUEPRINT_TO_FACTION_TAB"	"Planos de facción"
"HINT_TITLE_BLUEPRINT_TO_USER_TAB"	"Guardar planos"
"HINT_TITLE_CAREDITOR_SAVE_BLUEPRINT"	"Cargando planos"
"HINT_TITLE_FACTION_ACCEPT_FACTION"	"Unirse"
"HINT_TITLE_FACTION_CHOOSE_FACTION"	"Elige"
"HINT_TITLE_FACTION_TO_FACTION"	"Facciones"
"HINT_TITLE_HUD_TUTORIAL_CAMERA_MOUSE_ROTATE"	"Controles de la cámara"
"HINT_TITLE_HUD_TUTORIAL_CAMERA_ROTATE"	"Controles de la cámara"
"HINT_TITLE_HUD_TUTORIAL_CAR_MOVE_BINDS"	"Controles de los vehículos"
"HINT_TITLE_HUD_TUTORIAL_CAR_MOVE_R2"	"Desplazamiento del vehículo"
"HINT_TITLE_HUD_TUTORIAL_CAR_MOVE_R2_ALT"	"Desplazamiento del vehículo"
"HINT_TITLE_HUD_TUTORIAL_CAR_MOVE_STICK"	"Desplazamiento del vehículo"
"HINT_TITLE_HUD_TUTORIAL_DESTROY_REMAINS"	"Revisión"
"HINT_TITLE_HUD_TUTORIAL_RELATIVE_CAMERA_ROTATE"	"Desplazamiento del vehículo"
"HINT_TITLE_HUD_TUTORIAL_SHOOT_BIND"	"Disparos"
"HINT_TITLE_HUD_TUTORIAL_SHOOT_L1"	"Disparos"
"HINT_TITLE_HUD_TUTORIAL_SHOOT_L2"	"Disparos"
"HINT_TITLE_HUD_TUTORIAL_SHOOT_R2"	"Disparos"
"HINT_TITLE_MAP_FROM_COOP_TO_PVP"	"Lucha contra otros jugadores"
"HINT_TITLE_OPEN_FACTION_PROGRESS"	"Recompensas de reputación"
"HINT_TITLE_PVE_MAP_MISSION_SELECT"	"¡Únete a la incursión!"
"HINT_TITLE_PVE_MISSION_SELECT"	"A la batalla"
"HINT_TITLE_PVE_TO_BATTLE"	"Cobre en incursiones"
"HINT_TITLE_PVE_TO_PVE_TAB"	"Selección de misión"
"HINT_TITLE_QUESTS_OPEN"	"Desafíos"
"HINT_TITLE_SEASON_QUEST_ACCEPT"	"Desafíos de temporada"
"HINT_TITLE_SEASON_QUEST_CHOOSE"	"Elegir dificultad"
"HINT_TITLE_SEASON_QUEST_OPEN"	"Desafíos de temporada"
"HINT_TITLE_TUTORIAL_BACK_TO_HANGAR"	"Volver al garaje"
"HINT_TITLE_TUTORIAL_CONTROL_MISSION_SELECT"	"Selección de misiones"
"HINT_TITLE_TUTORIAL_CRAFT_DETAIL"	"Construye una pieza"
"HINT_TITLE_TUTORIAL_FACTION"	"Abrir ventana de facciones"
"HINT_TITLE_TUTORIAL_GRAB_DETAIL"	"Aceptar el pedido"
"HINT_TITLE_TUTORIAL_MAP_CONTROL_MISSION_SELECT"	"Seleccionar misión"
"HINT_TITLE_TUTORIAL_MAP_MISSION_SELECT"	"Seleccionar misión"
"HINT_TITLE_TUTORIAL_MAP_PRESS_PLAY"	"¡Únete a la batalla!"
"HINT_TITLE_TUTORIAL_MISSION_SELECT"	"Seleccionar misión"
"HINT_TITLE_TUTORIAL_OPEN_FACTION_CRAFT"	"Producción de facción"
"HINT_TITLE_TUTORIAL_OPEN_INVENTORY"	"Abrir el almacén"
"HINT_TITLE_TUTORIAL_OPEN_INVENTORY_MACHINEGUN"	"Instalación de equipamiento"
"HINT_TITLE_TUTORIAL_PICK_PART"	"Elige una pieza"
"HINT_TITLE_TUTORIAL_PROLONGE_CRAFTSMAN"	"Alquila un banco de trabajo"
"HINT_TITLE_TUTORIAL_REMOVE_PART"	"Eliminar una pieza"
"HINT_TITLE_TUTORIAL_TO_BATTLE"	"Entrar en combate"
"HINT_TITLE_TUTORIAL_TO_CAR_EDITOR"	"Mejora tu vehículo"
"HINT_TITLE_TUTORIAL_TO_CONTROL_BATTLE"	"Entrar en combate"
"HINT_TITLE_TUTORIAL_TO_HANGAR"	"Volver al garaje"
"HINT_TITLE_TUTORIAL_TO_HOME"	"Volver al garaje"
"HINT_TITLE_TUTORIAL_WAIT_TILL_START"	"Prepárate"
"HINT_TITLE_TUTORIAL_WELD_PART"	"Monta una pieza"
"HP_UNIT"	"pts."
"HUD_BOT_KICK"	"$target$ ha sido reemplazado por un jugador"
"HUD_CARGO_TITLE"	"Recogida de cargamento"
"HUD_CONTROL_SELECT"	"Disposición de los controles seleccionada"
"HUD_CONTROL_SELECT_MSG"	"Este parámetro se puede cambiar en cualquier momento desde la configuración del juego"
"HUD_CONVOY_WARNING"	"¡El convoy reduce su velocidad!"
"HUD_CONVOY_WARNING_MSG"	"Vuelve al camión, de lo contrario su velocidad disminuirá."
"HUD_DEATH"	"Se ha destruido: $target$"
"HUD_DMG_AIM_DISABLE"	"Atascado"
"HUD_DROP_CARGO_MSG"	"Presiona la tecla @ffff9900$key$@ffffffff para soltar el cargamento"
"HUD_DROP_CARGO_TITLE"	"Cargamento a bordo"
"HUD_ENEMY_BASE"	"Base enemiga"
"HUD_ENEMY_BASE_ATTACKED"	"VAMOS A CAPTURAR LA BASE ENEMIGA"
"HUD_EVENT_ACT_ASSIST"	"destruido"
"HUD_EVENT_ACT_CONVOY_ATTACKING"	"Cuidado con el fuego inminente"
"HUD_EVENT_ACT_CONVOY_COOLING"	"Ataca el camión"
"HUD_EVENT_ACT_KILLED"	"destruido"
"HUD_EVENT_ACT_PATROL_QUEST_FINISHED"	" "
"HUD_EVENT_ACT_PVE_GOAL_CARGO"	" "
"HUD_EVENT_ACT_PVE_GOAL_CLEAR"	"¡Defensa victoriosa!"
"HUD_EVENT_ACT_PVE_GOAL_TURRET"	" "
"HUD_EVENT_ACT_PVE_KILL_REWARD_TIME"	" "
"HUD_EVENT_ACT_RACE_CIRCLE_FINISHED"	" "
"HUD_EVENT_ACT_RACE_FINISHED"	" "
"HUD_EVENT_MSG_ASSIST"	"Ayuda a matar"
"HUD_EVENT_MSG_BOSS_SPAWN"	"¡Atención, el líder está cerca!"
"HUD_EVENT_MSG_CONVOY_ATTACKING"	"Las armas del camión están listas"
"HUD_EVENT_MSG_CONVOY_COOLING"	"Armas del camión en enfriamiento"
"HUD_EVENT_MSG_DEFENSE_STAGE1"	"Primera oleada de enemigos acercándose"
"HUD_EVENT_MSG_DEFENSE_STAGE2"	"Segunda oleada de enemigos acercándose"
"HUD_EVENT_MSG_DEFENSE_STAGE3"	"Se acerca la oleada final de enemigos"
"HUD_EVENT_MSG_DEFENSE_STAGE4"	"¡Reuniros en el objetivo!"
"HUD_EVENT_MSG_DEFENSE_STAGE6"	"¡Se acerca una nueva oleada de enemigos!"
"HUD_EVENT_MSG_DEFENSE_STAGE7"	"¡Recupera los regalos!"
"HUD_EVENT_MSG_DEFENSE_STAGE8"	"¡Derrota a Gronch!"
"HUD_EVENT_MSG_DEFENSE_STAGE9"	"¡Regalo recuperado!"
"HUD_EVENT_MSG_KILLED"	"Enemigo destruido"
"HUD_EVENT_MSG_PATROL_QUEST_FINISHED"	"¡Objetivo completado!"
"HUD_EVENT_MSG_PVE_GOAL_CARGO"	"¡Cargamento reunido! +$param1$ segundos"
"HUD_EVENT_MSG_PVE_GOAL_CLEAR"	"¡Defensa victoriosa!"
"HUD_EVENT_MSG_PVE_GOAL_TURRET"	"¡Torre de bombeo destruida! +{$param1$;segundo;segundos}"
"HUD_EVENT_MSG_PVE_KILL_REWARD_TIME"	"¡Enemigo destruido! +{$param1$;segundo;segundos}"
"HUD_EVENT_MSG_RACE_CIRCLE_FINISHED"	"El círculo está completo!"
"HUD_EVENT_MSG_RACE_FINISHED"	"¡La carrera ha terminado! ¡Has logrado el $param1$ puesto!"
"HUD_EVENT_MSG_RAREDROP_SPAWN"	"La caja volverá a estar disponible en $param1$ s."
"HUD_EVENT_MSG_TURRET_UPGRADE0_TITLE"	"Reparación de la torreta"
"HUD_EVENT_MSG_TURRET_UPGRADE1_TITLE"	"Instalación de la torreta"
"HUD_EVENT_MSG_TURRET_UPGRADE4_DESC"	"Se ha instalado la torreta de nivel máximo"
"HUD_FRIEND_BASE"	"Nuestra base"
"HUD_FRIEND_BASE_ATTACKED"	"ESTÁN CAPTURANDO NUESTRA BASE"
"HUD_GUIDED_MISSILE_HINT"	"Lanza @ffff9900$key$@ffffffff"
"HUD_INFO_AMMO_PICKPUP"	"Munición recogida"
"HUD_INFO_REWARD_ASSIST"	"Ayuda a matar"
"HUD_INFO_REWARD_FIRST_DAMAGE"	"Primer ataque"
"HUD_INFO_REWARD_KILL"	"Eliminación"
"HUD_INFO_REWARD_LIFTING_JACK"	"Ayuda aliada"
"HUD_INFO_REWARD_MEDAL"	"PARCHE ADQUIRIDO"
"HUD_INFO_REWARD_PART_DETACH"	"Demolición"
"HUD_KILL"	"$actor$ ha destruido: $target$ del jugador"
"HUD_KILL_WEAPON"	"$actor$ $weapon_ico$ $target$"
"HUD_LACK_OF_PARTS_TITLE"	"Autodestrucción"
"HUD_LIFTINGJACK_AUTO_MSG"	"PULSA @ffff9900$key$@ffffffff PARA GIRAR EL COCHE CON UN GATO ELEVADOR"
"HUD_LIFTINGJACK_AUTO_TITLE"	"El coche está del revés"
"HUD_LIFTINGJACK_HELP_MSG"	"Pulsa @ffff9900$key$@ffffffff para girar el coche"
"HUD_LIFTINGJACK_HELP_TITLE"	"AYUDA"
"HUD_LIFTINGJACK_WAIT_MSG"	"Espera ayuda o usa el gato automático en $time$ s."
"HUD_LIFTINGJACK_WAIT_TITLE"	"COCHE VOLTEADO"
"HUD_MAP_TIMER_TITLE"	"El combate acaba en:"
"HUD_MARKER_TEXT_CARGO"	"¡Reunir!"
"HUD_MARKER_TEXT_CARGO_DROP"	"Zona de escape"
"HUD_MARKER_TEXT_CARGO_DROP_CARRIER"	"Transportador de carga"
"HUD_MARKER_TEXT_DEFENSE"	"¡Proteger!"
"HUD_MBP_TIMER_SUDDENDEATH_STOP"	"La tormenta empieza en:"
"HUD_MINIMAP_BIND"	"[%s] Modo"
"HUD_MINIMAP_SCALE_BIND"	"[%s] x%.1f"
"HUD_NEUTRAL_BASE"	"Base neutral"
"HUD_POINT_CAPTURE"	"Captura de sector"
"HUD_PVE_ENEMY_COUNTER"	"Enemigos restantes: $count$"
"HUD_PVE_GIANTSIEGE_TOWER"	"Torres de energía destruidas: $param1$ de $param2$"
"HUD_PVE_HEIST_TITLE"	"Roba el cargamento"
"HUD_PVE_KEEPHEIST_BOMBS_TAKEN"	"Cargas realizadas: $param1$ / $param2$"
"HUD_PVE_LEVIATHAN_BOMB_COUNT"	"Cargas colocadas: $param1$ de $param2$"
"HUD_PVE_LEVIATHAN_TITLE"	"Leviatán"
"HUD_PVE_NEXT_WAVE_TITLE"	"Nueva oleada enemiga en:"
"HUD_PVE_OBJECTIVE"	"Completar tareas"
"HUD_PVE_TASK_CHASE"	"Destruye los camiones"
"HUD_PVE_TASK_DEFENSE"	"Torres de bombeo defendidas: $param1$ / $param2$"
"HUD_PVE_TASK_FUEL"	"Cargamento reunido: $param1$ / $param2$"
"HUD_PVE_TASK_HEIST"	"Roba el cargamento enemigo"
"HUD_PVE_TASK_LEVIATHAN"	"Leviatanes destruidos: $param1$ / $param2$"
"HUD_PVE_TASK_TURRET"	"Unidades de bombeo destruidas: $param1$ / $param2$"
"HUD_PVE_TIME_LEFT"	"La misión termina en:"
"HUD_PVE_TIME_LEVIATHAN_SPAWN"	"El leviatán aparecerá en:"
"HUD_QUICK_MSG_ATTACK"	"¡Al ataque!"
"HUD_QUICK_MSG_COME_HERE"	"¡Reagruparos aquí!"
"HUD_QUICK_MSG_DEFEND"	"¡Defiende aquí!"
"HUD_QUICK_MSG_GOOD_WORK"	"¡Genial!"
"HUD_QUICK_MSG_HELP_ME"	"¡Necesito ayuda!"
"HUD_QUICK_MSG_LOOK_OUT"	"¡Ten cuidado!"
"HUD_QUICK_MSG_SPAM"	"¡Estás dando órdenes con demasiada frecuencia!"
"HUD_RESPAWN_BUTTON"	"Reaparecer"
"HUD_RESPAWN_KITS_LEFT"	"Reparaciones gratuitas: $free_respawns$, Kits de reparación: $repair_kit$"
"HUD_RESPAWN_MSG"	"Puedes volver al combate usando un kit de reparaciones."
"hud_respawn_wnd_buy_repair_kit"	"No quedan kits de reparación"
"hud_respawn_wnd_buy_repair_kit_btn"	"Comprar por $cost$"
"hud_respawn_wnd_free_respawn"	"Kits de reparaciones restantes: $count$|Usa los kits de reparaciones para volver a la batalla."
"hud_respawn_wnd_free_respawn_btn"	"Volver al combate"
"hud_respawn_wnd_header"	"¡Tu vehículo se ha destruido!"
"hud_respawn_wnd_leave_btn"	"Abandonar batalla"
"hud_respawn_wnd_no_repair_kit"	"No hay kits de reparación"
"hud_respawn_wnd_repair_kit"	"Kits de reparaciones restantes: $count$$texture name icon_RepairKit$"
"hud_respawn_wnd_repair_kit_btn"	"Usar 1$texture ignoreFontSize name type_resource_RepairKit_sml$"
"hud_respawn_wnd_try_instabuy_no_money"	"Finanzas insuficientes"
"HUD_RESURRECT"	"$actor$ $texture scale 2 name error_repair$ $target$"
"HUD_REWARD_EXP"	" $value$"
"HUD_REWARD_SCRAP"	" $value$ chatarra"
"HUD_SPECTATOR_KEY_GAMEPAD_HINT"	"Pulsa $key$ o $key1$ para cambiar de blanco observador"
"HUD_SPECTATOR_KEY_HINT"	"Pulsa @ffff9900$key$@ffffffff para cambiar de blanco observador"
"HUD_SPECTATOR_KEY_HINT_KILLCAM"	"Puedes cambiar el objetivo al cambiar de cámara."
"HUD_SPECTATOR_PARTS_TITLE"	"Piezas de superviviente"
"HUD_SUICIDE"	"Se ha autodestruido: $target$"
"HUD_TIP_KEY_RETURN"	"GARAJE"
"HUD_TIP_KEY_SHOW_CENTER_MASS"	"Mostrar centro de masa"
"HUD_TIP_KEY_SPAWN_CAR"	"Reaparecer / eliminar bots de combate"
"HUD_USE_GETCARPART_MSG"	"Pulsa la tecla @ffff9900$key$@ffffffff para instalar la pieza"
"HUD_USE_OBJECT"	"Aceptar desafío"
"HUD_USE_OBJECT_MSG"	"Mantén pulsada la tecla @ffff9900$key$@ffffffff para aceptar el desafío"
"hunter_bundle_Vehicle_Name"	"Beater"
"INVENTORI_INFORMATION_FULL_STAMINA"	"Tu tanque está lleno. El combustible se gasta en incursiones y se rellena cada día."
"INVENTORI_INFORMATION_STAMINA_TRANSFUSION"	"Tienes $invCount$ litros de gasolina. Vierte en el tanque la cantidad requerida para volver a la batalla."
"INVENTORI_INFORMATION_STAMINA_TRANSFUSION_CAPTION"	"Usar latas"
"INVENTORY_CAPACITY"	"%d/%d"
"INVENTORY_CAPACITY_OVERFLOW"	"@ffff0000%d@ffffffff/%d"
"INVENTORY_FILLED"	"Espacios de almacén usados:"
"INVENTORY_INC_CAPACITY"	"Necesitas lo siguiente para ampliar en 25 espacios tu almacén:"
"Inventory_instant_sell_error_no_requests"	"Ha sido imposible vender objetos, puesto que no hay solicitudes."
"Inventory_instant_sell_item"	"¿Vender $item_name$ por $price$ al mayor precio solicitado?"
"inventory_on_car"	"Instalado en $val$"
"IN_LOGIN_QUEUE"	"Cola ~ $timeLeft$"
"item_chest_base_faction_desc"	"En el contenedor hay una pieza inusual:|@ffffcc66Pieza legendaria@ffffffff con baja probabilidad.|@ff9900ffPieza épica@ffffffff con probabilidad media.|@ff0099ffPieza inusual@ffffffff con alta probabilidad."
"item_chest_base_faction_name"	"Contenedor de ingenieros"
"item_chest_Decorum_1_desc"	"Contiene una pieza decorativa de rareza común."
"item_chest_Decorum_1_name"	"Decoración común"
"item_chest_Decorum_2_desc"	"Contiene una pieza decorativa inusual."
"item_chest_Decorum_2_name"	"Adorno inusual"
"item_chest_Decorum_3_desc"	"Contiene una pieza decorativa de rareza épica."
"item_chest_Decorum_3_name"	"Adorno épico"
"item_chest_Decorum_4_desc"	"Contiene una pieza decorativa de rareza legendaria."
"item_chest_Decorum_4_name"	"Decoración legendaria"
"item_chest_desc"	"La caja contiene: $items$"
"item_chest_Dye_1_desc"	"Contiene un bote de pintura de rareza común."
"item_chest_Dye_1_name"	"Pintura común"
"item_chest_Dye_2_desc"	"Contiene un bote de pintura inusual."
"item_chest_Dye_2_name"	"Pintura inusual"
"item_chest_Dye_3_desc"	"Contiene un bote de pintura épica."
"item_chest_Dye_3_name"	"Pintura épica"
"item_chest_Dye_4_desc"	"Contiene un bote de pintura legendaria."
"item_chest_Dye_4_name"	"Pintura legendario"
"item_chest_epic_weapon_name"	"Cajón del explorador"
"item_chest_frenzied_faction_desc"	"En el contenedor hay una pieza de facción inusual:|@ffffcc66Pieza legendaria@ffffffff con baja probabilidad.|@ff9900ffPieza épica@ffffffff con probabilidad media.|@ff0099ffPieza inusual@ffffffff con alta probabilidad."
"item_chest_frenzied_faction_name"	"Contenedor de lunáticos"
"item_chest_gift_name"	"Contenedor de veterano"
"item_chest_military_faction_desc"	"En el contenedor hay una pieza inusual:|@ffffcc66Pieza legendaria@ffffffff con baja probabilidad.|@ff9900ffPieza épica@ffffffff con probabilidad media.|@ff0099ffPieza inusual@ffffffff con alta probabilidad."
"item_chest_military_faction_name"	"Contenedor de lobos esteparios"
"item_chest_online_14h_name"	"Contenedor de Getter"
"item_chest_online_2h_name"	"Encontrado en Wasteland"
"item_chest_Rare_name"	"Contenedor de botín"
"item_chest_rare_weapon_name"	"Cajón del viajero"
"item_chest_Relic_name"	"Contenedor de antigua"
"item_chest_scavengers_faction_desc"	"En el contenedor hay una pieza de facción inusual:|@ffffcc66Pieza legendaria@ffffffff con baja probabilidad.|@ff9900ffPieza épica@ffffffff con probabilidad media.|@ff0099ffPieza inusual@ffffffff con alta probabilidad."
"item_chest_scavengers_faction_name"	"Contenedor de carroñeros"
"item_chest_skins_col1_2_desc"	"Contiene un kit de personalización aleatorio|@ffff7519PK reliquia@ffffffff con extremadamente baja probabilidad.|@ffffcc66PK legendario@ffffffff con muy baja probabilidad.|@ff9900ffPK épico@ffffffff con baja probabilidad.|@ff0099ffPK raro@ffffffff con probabilidad media.|PK común con alta probabilidad."
"item_chest_skins_col1_china_desc"	"Contiene un kit de personalización aleatorio|@ffff7519PK reliquia@ffffffff con extremadamente baja probabilidad.|@ffffcc66PK legendario@ffffffff con muy baja probabilidad.|@ff9900ffPK épico@ffffffff con baja probabilidad.|@ff0099ffPK raro@ffffffff con probabilidad media.|PK común con alta probabilidad."
"item_chest_skins_col2_china_desc"	"Contiene un kit de personalización aleatorio|@ffff7519PK reliquia@ffffffff con extremadamente baja probabilidad.|@ffffcc66PK legendario@ffffffff con muy baja probabilidad.|@ff9900ffPK épico@ffffffff con baja probabilidad.|@ff0099ffPK raro@ffffffff con probabilidad media.|PK común con alta probabilidad."
"item_chest_traders_faction_desc"	"En el contenedor hay una pieza de facción inusual:|@ffffcc66Pieza legendaria@ffffffff con baja probabilidad.|@ff9900ffPieza épica@ffffffff con probabilidad media.|@ff0099ffPieza inusual@ffffffff con alta probabilidad."
"item_chest_traders_faction_name"	"Contenedor de nómadas"
"item_chest_White_name"	"Bricolaje de contenedor"
"item_Halloween_chest_name"	"Contenedor de horrores"
"item_NewYear_chest_name"	"Contenedor de regalos"
"ITEM_SUBTYPE_Afterburner"	"Aceleradores"
"ITEM_SUBTYPE_AmmoBox"	"Munición"
"ITEM_SUBTYPE_Autocannons"	"Cañones automáticos"
"ITEM_SUBTYPE_Burst"	"Emisores de plasma"
"ITEM_SUBTYPE_Cannons"	"Cañones"
"ITEM_SUBTYPE_Crossbow"	"Ballestas"
"ITEM_SUBTYPE_Drone"	"Drones"
"ITEM_SUBTYPE_Engine"	"Motores"
"ITEM_SUBTYPE_ExposiveLance"	"Minas de proximidad"
"ITEM_SUBTYPE_Flamethrower"	"Lanzallamas"
"ITEM_SUBTYPE_GENERATOR"	"Generadores"
"ITEM_SUBTYPE_GrenadeLauncher"	"Lanzagranadas"
"ITEM_SUBTYPE_HomingMissiles"	"Misiles teledirigidos"
"ITEM_SUBTYPE_Hovers"	"Aerodeslizadores"
"ITEM_SUBTYPE_Machineguns"	"Ametralladoras"
"ITEM_SUBTYPE_MeleeBlunt"	"Armas cuerpo a cuerpo pasivas"
"ITEM_SUBTYPE_MineLayers"	"Lanza minas"
"ITEM_SUBTYPE_Miniguns"	"Miniguns"
"ITEM_SUBTYPE_Missiles"	"Cohetes no guiados"
"ITEM_SUBTYPE_Plazma"	"Cañón de plasma"
"ITEM_SUBTYPE_Radar"	"Radares"
"ITEM_SUBTYPE_Radiator"	"Módulos de enfriamiento"
"ITEM_SUBTYPE_Radio"	"Radios"
"ITEM_SUBTYPE_Railguns"	"Cañones de riel"
"ITEM_SUBTYPE_SawBlade"	"Armas cuerpo a cuerpo"
"ITEM_SUBTYPE_Shotguns"	"Escopetas"
"ITEM_SUBTYPE_SniperScope"	"Miras"
"ITEM_SUBTYPE_Stealth"	"Módulos de invisibilidad"
"ITEM_SUBTYPE_Tesla"	"Emisores Tesla"
"ITEM_SUBTYPE_Tracks"	"Orugas"
"ITEM_SUBTYPE_Turret"	"Torretas"
"ITEM_SUBTYPE_WheelDrone"	"Dron de ruedas"
"ITEM_SUBTYPE_Wheels"	"Ruedas"
"Keepheist_EliteGuard_scavengers_text"	"Tengo muchos de esos vehículos hechos de chatarra. Pero ¿qué dices sobre estas bellezas?"
"Khaki_Dye"	"Juego: Caqui"
"Khaki_Dye_Desc"	"Camuflaje con fines varios."
"KillBlast_German_Desc"	"En el modo 'Misión', mata o ayuda a matar {$required_value$;enemigo;enemigos} con explosiones."
"KillBlast_German_Name"	"Fuego purificador"
"KillMelee_German_Desc"	"En el modo 'Misión', mata o ayuda a matar {$required_value$;enemigo;enemigos} por embestida."
"KillMelee_German_Name"	"Caballería"
"KillRange_German_Desc"	"En el modo 'Misión', mata o ayuda a matar {$required_value$;enemigo;enemigos} usando balas."
"KillRange_German_Name"	"Pistolero"
"Kill_German_Desc"	"En el modo 'Misión', mata o ayuda a matar {$required_value$;enemigo;enemigos} de cualquier forma."
"Kill_German_Name"	"A toda costa"
"LADDER_GAMES_TITLE"	"Batallas terminadas:"
"Language_english"	"Inglés"
"Language_french"	"Francés"
"Language_german"	"Alemán"
"Language_italian"	"Italiano"
"Language_japanese"	"Japonés"
"Language_korean"	"Coreano"
"Language_russian"	"Ruso"
"Language_thai"	"Tailandés"
"LB_clan_exp_weekly_desc"	"Clasificación semanal. La reputación total de todos los miembros del clan."
"LB_clan_exp_weekly_title"	"Clasificación de clanes"
"LB_clan_member_exp_weekly_desc"	"Clasificación semanal. La contribución personal de cada superviviente a la puntuación del clan."
"LB_clan_member_exp_weekly_title"	"Puesto en clan"
"LB_ladder_rating_desc"	"Clasificaciones."
"LB_ladder_rating_title"	"Juego de rango"
"LB_player_kills_daily_desc"	"Tasa diaria de enemigos muertos."
"LB_player_kills_daily_title"	"Asesinatos diarios"
"LB_player_kills_hourly_title"	"Asesinatos por hora"
"LB_player_kills_total_desc"	"Índice de enemigos matados de todos los tiempos."
"LB_player_kills_total_title"	"Muertes totales"
"LB_player_money_game_total_desc"	"Monedas totales conseguidas en Alerta de Tormenta."
"LB_player_money_game_total_title"	"Monedas ganadas"
"leaderboardwnd_clanName"	"Nombre de clan"
"leaderboardwnd_clan_size"	"Listado"
"leaderboardwnd_empty_list"	"No hay participantes activos."
"leaderboardwnd_place"	"Puesto"
"leaderboardwnd_rate"	"Puntuación"
"leaderboardwnd_reward"	"Recompensa"
"leaderboardwnd_userName"	"Nombre de jugador"
"leaderboardwnd_userName_PS4"	"ID online"
"Leaderboard_ClanName"	"Nombre de clan"
"Leaderboard_Friends"	"Amigos"
"leaderboard_mbp_button_tooltip"	"Clasificaciones"
"Leaderboard_MyPos"	"Mi posición"
"Leaderboard_Rank"	"Rango"
"Leaderboard_Rating"	"Clasificación"
"Leaderboard_title"	"Clasificaciones de jugadores"
"Leaderboard_Top"	"Arriba"
"Leaderboard_UserName"	"Nombre de jugador"
"Leaderboard_UserName_PS4"	"ID online"
"LEVEL"	"NVL."
"LEVELWND_PARAGON_TITLE"	"¡NIVEL DE PRESTIGIO!"
"LEVELWND_REWARD_AVATAR"	"Retrato \"$name$\""
"LEVELWND_REWARD_BLUEPRINT"	"Plano \"$name$\""
"LEVELWND_REWARD_BLUEPRINTSLOT"	"+%d espacio de plano de usuario"
"LEVELWND_REWARD_DRIVER"	"Copiloto \"$name$\""
"LEVELWND_REWARD_FACTION"	"Facción \"$name$\""
"LEVELWND_REWARD_GARAGE"	"Garaje ampliado a $val$ plazas"
"LEVELWND_REWARD_GEARLEVEL"	"Límite total de piezas aumentado a $val$"
"LEVELWND_REWARD_INV_SIZE"	"Tamaño del almacén incrementado a $val$"
"LEVELWND_REWARD_MONEY"	"$val$ monedas"
"LEVELWND_REWARD_RESOURCE"	"Recursos"
"LEVELWND_REWARD_STAMINA"	"Increases fuel limit to $val$"
"LEVELWND_REWARD_TITLE"	"Recompensa:"
"LEVELWND_TEXT"	"¡Enhorabuena!|Has alcanzado el nivel $level$"
"LEVELWND_TITLE"	"SUBES DE NIVEL"
"LEVEL_PROGRESS_GARAGE_REWARD"	"Plaza de aparcamiento máxima: $garage$"
"LEVEL_PROGRESS_GEARLEVEL_REWARD"	"Máximo total de piezas: $gearLevel$"
"LEVEL_PROGRESS_LEVEL"	"Nivel $level$"
"LEVEL_PROGRESS_LEVEL_EXP"	"Requiere reputación: $exp$"
"LEVEL_PROGRESS_LEVEL_REACHED"	"Ya recompensado"
"LEVEL_PROGRESS_MONEY_REWARD"	"Dinero +$money$"
"LEVEL_PROGRESS_PARTS_REWARD"	" Piezas:"
"LEVEL_PROGRESS_TITLE"	"Progresos de nivel de usuario"
"level_up_11_Gun_BigCannon_Free_rare"	"Hemos encontrado un par de pistolas dañadas tras una incursión en un almacén de armamento. Algunas siguen operativas. Tómala, antes de que cambie de idea."
"level_up_1_info_1"	"¡Bienvenido a los Ingenieros! Ahora eres uno de los nuestros, lo que significa que ya no tendrás que seguir viajando solo por Wasteland. Lucha para nosotros y consigue reputación en batallas. Cuanto más te respetemos, más recompensas de la facción podrás conseguir."
