"2STEP_AUTHORIZATION_ENABLED"	"您的帳號受到保護"
"Chassis_Spider_Name"	"狩獵狼蛛"
"Chassis_SportCustom_Desc"	"測試座艙"
"Chassis_SportCustom_Name"	"自訂座艙"
"Chassis_VWT1_Desc"	"貨車座艙，堅固耐用。"
"Chassis_VWT1_name"	"WWT1座艙"
"Chassis_Wyvern_Desc"	"曾經是飛機使用的機艙，雖然無法再度使用於飛行，但它是喜歡快速戰鬥的完美選擇，可適合大多數戰鬥情況，狹窄輪廓可應用於多豐富的戰術可能性"
"Chassis_Wyvern_Name"	"\"翼龍\"座艙"
"Decal_default_Desc"	"塗鴉可以被應用於各種表面，同時可以旋轉或改變大小。|一次最多可使用2個塗鴉。"
"Decal_fire1_Name"	"紅焰"
"Decal_fire2_Name"	"火焰"
"Decal_knecht01_Name"	"水騎士"
"Decal_knecht02_Name"	"蘭斯騎士盾"
"Decal_knecht03_Name"	"競技"
"Decal_knecht04_Name"	"霹靂遊俠"
"Decal_knecht05_Name"	"狂獅"
"Decal_knecht06_Name"	"鋼鐵百合花"
"Decal_noheart_name"	"你的良心不會痛嗎"
"Decal_nyear2018_bomb_Name"	"新年快樂！"
"Decal_nyear2018_bullfinch_Name"	"灰雀"
"Decal_nyear2018_cookie_Name"	"薑餅小人"
"Decal_nyear2018_croissant_Name"	"羊角麵包"
"Decal_nyear2018_deer2_Name"	"雄鹿"
"Decal_nyear2018_deer_back_Name"	"馴鹿背"
"Decal_nyear2018_deer_mg_Name"	"節日復仇者"
"Decal_nyear2018_deer_Name"	"快閃開！"
"Decal_nyear2018_defeat_list_Name"	"數馴鹿"
"Decal_nyear2018_feltboots_Name"	"禮物襪"
"Decal_nyear2018_grenade_bow_Name"	"聖誕狂歡"
"Decal_nyear2018_lollipop_exhaust_Name"	"煙囪"
"Decal_nyear2018_magicancat_Name"	"必勝！"
"Decal_nyear2018_moonsanta_Name"	"月下的聖誕老人"
"Decal_nyear2018_snowflake_asid_Name"	"酸性雪花"
"Decal_nyear2018_snowflake_fall_Name"	"輻射雪花"
"Decal_nyear2018_snowman_eng_Name"	"雪人艾薇"
"Decal_nyear2018_snowman_lunatic_Name"	"雪人皮特"
"Decal_nyear2018_snowman_nomad_Name"	"雪人尤利西斯"
"Decal_nyear2018_tachanka_Name"	"購物車"
"Decal_redstar_Name"	"紅星"
"Decal_thailand_q_name"	"Q"
"Decal_tribal01_Desc"	"塗鴉可以被應用於各種表面，同時可以旋轉或改變大小。|一次最多可使用2個塗鴉。"
"Decal_tribal01_Name"	"摩羯座"
"Decal_wwi_dog01_Name"	"征戰之犬"
"Dye_23feb2016_Desc"	"特殊的節日配色方案。"
"Dye_23feb2016_Name"	"祖國保衛者"
"Dye_AcidGreen_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_AcidGreen_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_AcidGreen_glossy_Name"	"同位素239—金屬"
"Dye_AcidGreen_Name"	"同位素-239"
"Dye_Aircraft_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_Aircraft_Name"	"材質：鋁"
"Dye_Black01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Black01_Name"	"黑色1"
"dye_BlackScratch_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"dye_BlackScratch_Name"	"圖案：沙漠迷彩"
"Dye_Black_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Black_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Black_glossy_Name"	"暗夜 — 金屬"
"Dye_Black_Name"	"暗夜"
"Dye_Blue01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Blue01_Name"	"藍色"
"Dye_Blue02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Blue02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Blue02_glossy_Name"	"幕光 — 金屬"
"Dye_Blue02_Name"	"幕光"
"Dye_Blue03_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Blue03_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Blue03_glossy_Name"	"暮光 — 金屬"
"Dye_Blue03_Name"	"暮光"
"Dye_Brown01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Brown01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Brown01_glossy_Name"	"廢土 — 金屬"
"Dye_Brown01_Name"	"廢土"
"Dye_Brown02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Brown02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Brown02_glossy_Name"	"棕色 — 金屬"
"Dye_Brown02_Name"	"棕色"
"Dye_Carbon_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_Carbon_Name"	"材質：炭纖維"
"Dye_checker_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_checker_Name"	"圖案：跳棋"
"Dye_CherryNine_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_CherryNine_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_CherryNine_glossy_Name"	"櫻桃—金屬"
"Dye_CherryNine_Name"	"櫻桃"
"Dye_Chrome_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_Chrome_Name"	"材質：鉻合金"
"Dye_Crimson01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Crimson01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Crimson01_glossy_Name"	"颶風 — 金屬"
"Dye_Crimson01_Name"	"颶風"
"Dye_Crimson02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Crimson02_Name"	"深紅2"
"Dye_Cyan01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Cyan01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Cyan01_glossy_Name"	"極光 — 金屬"
"Dye_Cyan01_Name"	"極光"
"Dye_Cyan02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Cyan02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Cyan02_glossy_Name"	"磁場 — 金屬"
"Dye_Cyan02_Name"	"磁場"
"Dye_DangerStripes_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_DangerStripes_Name"	"圖案：危險！請勿靠近。"
"dye_Eraser_Desc"	"移除噴漆，恢復部件默認外觀。"
"dye_Eraser_Name"	"稀釋劑"
"Dye_ForestCamuflage_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_ForestCamuflage_Name"	"圖案：森林"
"Dye_Gold_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Gold_Name"	"材質：黃金"
"Dye_Gray_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Gray_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Gray_glossy_Name"	"灰燼 — 金屬"
"Dye_Gray_Name"	"灰燼"
"Dye_Green01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Green01_Name"	"微風"
"Dye_Green02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Green02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Green02_glossy_Name"	"寶石 — 金屬"
"Dye_Green02_Name"	"寶石"
"Dye_Green03_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Green03_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Green03_glossy_Name"	"翡翠 — 金屬"
"Dye_Green03_Name"	"翡翠"
"Dye_Green04_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Green04_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Green04_glossy_Name"	"鬣蜥 — 金屬"
"Dye_Green04_Name"	"鬣蜥"
"Dye_GreenKhaki_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_GreenKhaki_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_GreenKhaki_glossy_Name"	"卡其綠 — 金屬"
"Dye_GreenKhaki_Name"	"卡其色2"
"Dye_Grey01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Grey01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Grey01_glossy_Name"	"迷霧 — 金屬"
"Dye_Grey01_Name"	"迷霧"
"Dye_Grey02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Grey02_Name"	"炮銅"
"Dye_Grey03_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Grey03_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Grey03_glossy_Name"	"烏雲 — 金屬"
"Dye_Grey03_Name"	"烏雲"
"Dye_Grid_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_Grid_Name"	"材質：網格"
"Dye_Khaki01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Khaki01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Khaki01_glossy_Name"	"卡其色1 — 金屬"
"Dye_Khaki01_Name"	"卡其色1"
"Dye_Khaki02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Khaki02_Name"	"卡其色2"
"Dye_Khaki03_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Khaki03_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Khaki03_glossy_Name"	"卡其色3 — 金屬"
"Dye_Khaki03_Name"	"卡其色3"
"Dye_NewYear2016_Desc"	"新年快樂！"
"Dye_NewYear2016_Name"	"新年"
"Dye_Orange01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Orange01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Orange01_glossy_Name"	"水仙 — 金屬"
"Dye_Orange01_Name"	"水仙"
"Dye_Orange02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Orange02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Orange02_glossy_Name"	"末日黃昏 — 金屬"
"Dye_Orange02_Name"	"末日黃昏"
"Dye_Orange_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Orange_Name"	"橙色"
"Dye_Pink01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Pink01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Pink01_glossy_Name"	"伽馬射線 — 金屬"
"Dye_Pink01_Name"	"伽馬射線"
"Dye_Pink02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Pink02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Pink02_glossy_Name"	"珊瑚 — 金屬"
"Dye_Pink02_Name"	"珊瑚"
"Dye_Red01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Red01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Red01_glossy_Name"	"紅巨星—金屬"
"Dye_Red01_Name"	"紅巨星"
"Dye_Red02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Red02_Name"	"紅色2"
"Dye_Red03_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Red03_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Red03_glossy_Name"	"勝利 — 金屬"
"Dye_Red03_Name"	"勝利"
"Dye_Red4_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Red4_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Red4_glossy_Name"	"紅月"
"Dye_Red4_Name"	"深紅"
"Dye_RedBlue_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_RedBlue_Name"	"寒焰"
"Dye_Rusted_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_Rusted_Name"	"材質：鐵銹"
"Dye_Sand01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Sand01_Name"	"沙漠1"
"Dye_Sand02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Sand02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Sand02_glossy_Name"	"幻景：金屬"
"Dye_Sand02_Name"	"幻景"
"Dye_SandCamuflage_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_SandCamuflage_Name"	"圖案：沙丘"
"Dye_Sand_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Sand_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Sand_glossy_Name"	"沙塵暴 — 金屬"
"Dye_Sand_Name"	"沙塵暴"
"Dye_SeaCamuflage_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_SeaCamuflage_Name"	"圖案：海藍"
"Dye_SkyBlue_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_SkyBlue_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_SkyBlue_glossy_Name"	"晴空 — 金屬"
"Dye_SkyBlue_Name"	"晴空"
"Dye_UrbanCamouflage_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"Dye_UrbanCamouflage_Name"	"圖案：都市風"
"Dye_Valentine2016_Desc"	"特殊的節日配色方案。"
"Dye_Valentine2016_Name"	"情人節"
"Dye_Violet01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Violet01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Violet01_glossy_Name"	"電子 — 金屬"
"Dye_Violet01_Name"	"電子"
"Dye_Violet02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Violet02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Violet02_glossy_Name"	"海洋—金屬"
"Dye_Violet02_Name"	"海洋"
"Dye_WarmRed_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_WarmRed_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_WarmRed_glossy_Name"	"餘燼 — 金屬"
"Dye_WarmRed_Name"	"餘燼"
"Dye_White01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_White01_Name"	"白色1"
"Dye_White_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_White_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_White_glossy_Name"	"白日"
"Dye_White_Name"	"白色"
"Dye_Yellow01_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Yellow01_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Yellow01_glossy_Name"	"火花 — 金屬"
"Dye_Yellow01_Name"	"火花"
"Dye_Yellow02_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Yellow02_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Yellow02_glossy_Name"	"烈日 — 金屬"
"Dye_Yellow02_Name"	"烈日"
"Dye_Yellow03_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Yellow03_glossy_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"Dye_Yellow03_glossy_Name"	"大黃蜂—金屬"
"Dye_Yellow03_Name"	"大黃蜂"
"GarbageGun_Spread_Decreasing_DESC"	"車速越快，精確度越高，時速在60公里時達到最大精準度"
"GazelleBase_desc"	"座艙及車輪，僅此而已。"
"GazelleBase_name"	"麵包車底座"
"ItemDesc_ConstructionBonus"	"載具耐久度提升@ff00ff00$car_health$@ffffffff"
"ItemDesc_ExpBonus"	"獲得的聲望提高@ff00ff00$exp_reward_bonus$@ffffffff%"
"item_test_piece_desc"	"用於製造超級火炮。收集10個可以在工匠工程師處製造完整的超級火炮。"
"item_test_piece_name"	"超級火炮組件"
"KamazBase_desc"	"座艙及車輪，僅此而已。"
"KamazBase_name"	"卡車底座"
"KamazGrad_desc"	"先進的設計，由複雜的武器系統和功能模組組成。"
"KamazGrad_name"	"\"招手停\"卡車"
"mat_KhakiDark01_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"mat_KhakiDark01_Name"	"圖案：松木"
"metal_AlienColor_Desc"	"花式塗料|可以為部件著色，讓它們看起來更酷！"
"metal_AlienColor_Name"	"材質：石英"
"metal_BlackIron_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"metal_BlackIron_Name"	"水銀"
"metal_KnightIron_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"metal_KnightIron_Name"	"材質：鋼板"
"metal_oil_Desc"	"未經加工的原油色。"
"metal_oil_Name"	"原油"
"metal_PoliceBlack_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"metal_PoliceBlack_Name"	"遊蕩者"
"metal_PoliceWhite_Desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"metal_PoliceWhite_Name"	"廢土巡邏隊"
"metal_Yellow03_desc"	"噴漆罐|可以為部件著色，讓它們看起來更酷！"
"NewGazelDrone_desc"	"先進的設計，由複雜的武器系統和功能模組組成。"
"NewGazelDrone_name"	"四翼麵包車"
"NewGazelle_desc"	"配備了基礎武器部件，整裝待發。"
"NewGazelle_name"	"基礎麵包車"
"NewKamazTank_desc"	"先進的設計，由複雜的武器系統和功能模組組成。"
"NewKamazTank_name"	"槍炮坦克"
"NewKamaz_desc"	"配備了基礎武器部件，整裝待發。"
"NewKamaz_name"	"基礎卡車"
"NewPickupMiner_desc"	"先進的設計，由複雜的武器系統和功能模組組成。"
"NewPickupMiner_name"	"\"地雷狂人\"皮卡"
"NewPickupRocket_desc"	"先進的設計，由複雜的武器系統和功能模組組成。"
"NewPickupRocket_name"	"\"火箭人\"皮卡"
"NewPickup_desc"	"配備了基礎武器部件，整裝待發。"
"NewPickup_name"	"基礎皮卡"
"PARTINFO_ACCELERATION_TITLE"	"加速度"
"PARTINFO_CRIT_MASS_TITLE"	"重量上限"
"PARTINFO_POWER_GEN_TITLE"	"增加電量"
"PARTINFO_TONNAGE_TITLE"	"載重量"
"PARTSFILTER_8_Resource"	"資源"
"PARTTYPE_10_15_Cabin_Light"	"輕型座艙"
"PARTTYPE_10_16_Cabin_Medium"	"中型座艙"
"PARTTYPE_10_17_Cabin_Medium"	"中型座艙"
"PARTTYPE_10_18_Cabin_Heavy"	"重型座艙"
"PARTTYPE_10_19_Cabin_Tank"	"坦克座艙"
"PARTTYPE_10_20_Cabin"	"座艙"
"PARTTYPE_10_20_Chassis"	"框架塊"
"PARTTYPE_10_frenzied_armor"	"越野車部件"
"PARTTYPE_20_10_Machinegun"	"機關槍"
"PARTTYPE_20_11_AutoWeapon"	"自動武器"
"PARTTYPE_20_12_Revolver"	"輪轉槍械"
"PARTTYPE_20_15_MachinegunFrontal"	"前置機關槍"
"PARTTYPE_20_17_Minigun"	"轉輪機槍"
"PARTTYPE_20_20_Shotgun"	"霰彈槍"
"PARTTYPE_20_30_ShotgunFrontal"	"前置霰彈槍"
"PARTTYPE_20_40_AutoCannon"	"自動火炮"
"PARTTYPE_20_45_Crossbow"	"弓弩"
"PARTTYPE_20_46_Laser"	"鐳射武器"
"PARTTYPE_20_47_Energy"	"能量武器"
"PARTTYPE_20_47_PlazmaGun"	"等離子炮"
"PARTTYPE_20_48_Plazma"	"等離子發射器"
"PARTTYPE_20_49_Tesla"	"特斯拉炮"
"PARTTYPE_20_50_CannonFrontal"	"大炮"
"PARTTYPE_20_55_Howitzer"	"榴彈炮"
"PARTTYPE_20_60_Cannon"	"炮塔"
"PARTTYPE_20_70_GrenadeLauncher"	"榴彈發射器"
"PARTTYPE_20_75_Flamethrower"	"火焰噴射器"
"PARTTYPE_20_80_CourseMissile"	"非自動制導火箭彈"
"PARTTYPE_20_85_CourseMissileBurst"	"集束火箭"
"PARTTYPE_20_85_GuidedMissile"	"制導導彈"
"PARTTYPE_20_90_HomingMissile"	"追蹤導彈"
"PARTTYPE_20_90_Minelayer"	"佈雷器"
"PARTTYPE_20_95_HomingMissileBurst"	"追蹤導彈"
"PARTTYPE_20_97_Railgun"	"脈衝武器"
"PARTTYPE_20_mechanics_van"	"麵包車部件"
"PARTTYPE_22_MeleeActive"	"近戰武器"
"PARTTYPE_23_MeleeExplosive"	"感應炸彈"
"PARTTYPE_30_10_PassiveModule_Engine"	"引擎"
"PARTTYPE_30_20_PassiveModule_Generator"	"發電機"
"PARTTYPE_30_30_PassiveModule_Ammo"	"彈藥"
"PARTTYPE_30_40_PassiveModule_Fuel"	"燃料"
"PARTTYPE_30_50_PassiveModule_Cooler"	"冷卻模組"
"PARTTYPE_30_60_PassiveModule_Radar"	"雷達"
"PARTTYPE_30_70_PassiveModule_Radio"	"無線電"
"PARTTYPE_30_PassiveModule"	"被動型模組"
"PARTTYPE_30_vagabonds_avia"	"飛機部件"
"PARTTYPE_35_10_ActiveModule_Stealth"	"隱形裝置"
"PARTTYPE_35_20_ActiveModule_Turret"	"炮塔部署器"
"PARTTYPE_35_30_ActiveModule_Drone"	"無人機"
"PARTTYPE_35_35_ActiveModule_WheelDrone"	"無人車"
"PARTTYPE_35_40_ActiveModule_Nitro"	"推進器"
"PARTTYPE_35_50_ActiveModule_Aim"	"觀察窗"
"PARTTYPE_35_vagabonds_hotrod"	"改裝車部件"
"PARTTYPE_38_SpecialModule"	"專用組件"
"PARTTYPE_39_CouplingModule"	"聯結模組"
"PARTTYPE_40_10_Wheel"	"車輪"
"PARTTYPE_40_20_WheelSteering"	"方向盤"
"PARTTYPE_40_30_Track"	"履帶"
"PARTTYPE_40_31_Shnek"	"螺旋鑽"
"PARTTYPE_40_40_Hover"	"反重力裝置"
"PARTTYPE_40_50_MechaLeg"	"機械腿"
"PARTTYPE_40_scavengers_truck"	"集裝箱廢料"
"PARTTYPE_45_scavengers_pipes"	"鐵桶及斜面"
"PARTTYPE_48_military_apc"	"裝甲運兵車部件"
"PARTTYPE_50_10_StructureFrame"	"框架部件"
"PARTTYPE_50_15_frenzied_armor"	"越野車部件"
"PARTTYPE_50_20_mechanics_van"	"麵包車部件"
"PARTTYPE_50_20_StructureArmor"	"護甲"
"PARTTYPE_50_20_StructureSolid"	"結構部件"
"PARTTYPE_50_23_mechanics_angle"	"結構部件"
"PARTTYPE_50_25_mechanics_muscle"	"\"都靈\"部件"
"PARTTYPE_50_30_Finisher"	"外部部件"
"PARTTYPE_50_30_vagabonds_avia"	"飛機部件"
"PARTTYPE_50_35_vagabonds_hotrod"	"改裝車部件"
"PARTTYPE_50_40_MeleeAttack"	"防禦性保險杠"
"PARTTYPE_50_40_MeleeBumper"	"保險杠"
"PARTTYPE_50_40_MeleeDefence"	"戰鬥保險杠"
"PARTTYPE_50_40_scavengers_truck"	"集裝箱部件"
"PARTTYPE_50_45_scavengers_pipes"	"管狀結構"
"PARTTYPE_50_48_military_apc"	"裝甲運兵車部件"
"PARTTYPE_50_50_MeleePassive"	"被動近戰武器"
"PARTTYPE_50_80_MeleeBumper"	"保險杠"
"PARTTYPE_50_82_MeleePassive"	"被動近戰武器"
"PARTTYPE_50_MeleePassive"	"近戰武器"
"PARTTYPE_60_10_Decorum"	"裝飾品"
"PARTTYPE_60_20_RoadSign"	"裝飾品：警告牌"
"PARTTYPE_60_30_CarHorn"	"喇叭"
"PARTTYPE_60_40_CarLights"	"車頭燈"
"PARTTYPE_60_59_Eraser"	"噴漆：稀釋劑"
"PARTTYPE_60_60_Dye"	"噴漆"
"PARTTYPE_60_Decorum"	"裝飾品"
"PARTTYPE_60_generic_armor"	"裝甲片"
"PARTTYPE_70_0_Eraser"	"噴漆：稀釋劑"
"PARTTYPE_70_10_Pattern"	"噴漆：圖案"
"PARTTYPE_70_10_Skins"	"塗裝"
"PARTTYPE_70_20_Material"	"噴漆：材質"
"PARTTYPE_70_29_Eraser"	"噴漆：稀釋劑"
"PARTTYPE_70_30_Dye"	"噴漆"
"PARTTYPE_70_Dye"	"噴漆"
"PARTTYPE_70_unavailable"	"不可用"
"PARTTYPE_85_skins"	"塗裝"
"PARTTYPE_88_Piece"	"部件"
"PARTTYPE_90_Consumable"	"消耗品"
"PARTTYPE_95_ResourcePack"	"資源"
"PARTTYPE_ActiveModule"	"主動使用型模組"
"PARTTYPE_decoration_fireworks"	"煙花"
"PARTTYPE_structure_mechanics_muscle"	"\"都靈\"部件"
"PARTTYPE_structure_scavengers_pipes"	"管狀結構"
"PARTTYPE_structure_supercar"	"科里達部件"
"PARTTYPE_weapon_prototype"	"近戰武器"
"PERK_ACCURATE_SHOOTER_DESC"	"每次擊中目標，$perk_time$秒內的下一次傷害提高$perk_damage_mul$%，最多可疊加{$max_stack$;次;次}，一旦未命中則累計次數重置。"
"Perk_AimSpeedMul_Desc"	"精確瞄準用時減少$spread_dec_mul$%"
"Perk_AimSpeedMul_Name"	"午時已到"
"Perk_AmmoMul_Desc"	"模組的使用效果提升40%"
"Perk_AmmoMul_Name"	"彈藥箱"
"Perk_Ammo_Desc"	"彈藥容量提升$ammo_mul$%"
"Perk_Ammo_Name"	"彈藥載入"
"PERK_AMMO_REFUND_DESC"	"每連續命中$max_stack$次，則自動補充一發彈藥。"
"PERK_AMMO_REFUND_MAMMOTH_DESC"	"每次命中，彈藥量+1"
"PERK_Anti_Dynamo_Biggun_DESC"	"保持靜止狀態時，每過5秒，傷害提升20%。此技能最多可疊加3次。"
"PERK_Armor_Piercing_120mm_DESC"	"子彈具備穿甲屬性，在穿透$projectile_piercing_strength$點護甲或$projectile_piercing_depth$釐米厚的裝甲之後爆炸。"
"PERK_Armor_Piercing_DESC"	"子彈具有穿甲效果，穿透$projectile_piercing_strength$點護甲或$projectile_piercing_depth$釐米厚的裝甲後爆炸。"
"perk_atgm_desc"	"可控制飛行過程中的導彈"
"Perk_BlastDamage_Desc"	"傷害提升$blast_damage_mul$%"
"Perk_BlastDamage_Name"	"炸彈專精"
"Perk_BlastRadius_Desc"	"爆炸範圍增加$blast_radius_mul$%"
"Perk_BlastRadius_Name"	"燃燒彈"
"PERK_BLOODTHIRSTY_DESC"	"每使用此武器擊敗一名玩家，則其他相同的武器傷害提升$perk_damage_mul$%，持續$perk_time$秒，最多可疊加{$max_stack$;次;次}。"
"Perk_BoostMul_Desc"	"加速度提升$boost_value_mul$%"
"Perk_BoostMul_Name"	"放肆狂飆"
"Perk_BoundItem_Desc"	"此物品無法交易"
"Perk_BoundItem_Name"	"非賣品"
"Perk_BoundStartItem_Name"	"非賣品"
"Perk_BulletDamage_Desc"	"傷害提升$damage_mul$%"
